gx_company_name,ticker,mapped_company_name
日本軽金属ホールディングス株式会社,5703,日本軽金属ホールディングス
日本精工株式会社,6471,日本精工
日本ゼオン株式会社,4205,日本ゼオン
日本製紙株式会社,3863,日本製紙
日本製鉄株式会社,5401,日本製鉄
日本特殊陶業株式会社,5334,日本特殊陶業
日本冶金工業株式会社,5480,日本冶金工業
パナソニック ホールディングス株式会社,6752,パナソニック　ホールディングス
浜松ホトニクス株式会社,6965,浜松ホトニクス
ハリマ化成グループ株式会社,4410,ハリマ化成グループ
日立建機株式会社,6305,日立建機
日野自動車株式会社,7205,日野自動車
不二サッシ株式会社,5940,不二サッシ
富士石油株式会社,5017,富士石油
富士電機株式会社,6504,富士電機
富士フイルムホールディングス株式会社,4901,富士フイルムホールディングス
北越コーポレーション株式会社,3865,北越コーポレーション
ホシデン株式会社,6804,ホシデン
本田技研工業株式会社,7267,本田技研工業
マツダ株式会社,7261,マツダ
マブチモーター株式会社,6592,マブチモーター
三浦工業株式会社,6005,三浦工業
三井化学株式会社,4183,三井化学
三井金属株式会社,5706,三井金属
三菱ケミカルグループ株式会社,4188,三菱ケミカルグループ
三菱自動車工業株式会社,7211,三菱自動車工業
三菱重工業株式会社,7011,三菱重工業
三菱製紙株式会社,3864,三菱製紙
三菱製鋼株式会社,5632,三菱製鋼
三菱電機株式会社,6503,三菱電機
三菱マテリアル株式会社,5711,三菱マテリアル
明治ホールディングス株式会社,2269,明治ホールディングス
森永乳業株式会社,2264,森永乳業
ヤマハ株式会社,7951,ヤマハ
ヤマハ発動機株式会社,7272,ヤマハ発動機
ユニチカ株式会社,3103,ユニチカ
ユニ・チャーム株式会社,8113,ユニ・チャーム
横河電機株式会社,6841,横河電機
ライオン株式会社,4912,ライオン
リンナイ株式会社,5947,リンナイ
レンゴー株式会社,3941,レンゴー
ローム株式会社,6963,ローム
アミタホールディングス株式会社,2195,アミタホールディングス
応用地質株式会社,9755,応用地質
株式会社イボキン,5699,イボキン
株式会社エンビプロ・ホールディングス,5698,エンビプロ・ホールディングス
株式会社新日本科学,2395,新日本科学
株式会社ダイセキ,9793,ダイセキ
株式会社ベイカレント,6532,ベイカレント
株式会社船井総研ホールディングス,9757,船井総研ホールディングス
セコム株式会社,9735,セコム
株式会社オークネット,3964,オークネット
株式会社グローバルウェイ,3936,グローバルウェイ
株式会社野村総合研究所,4307,野村総合研究所
株式会社ファイバーゲート,9450,ファイバーゲート
株式会社フォーバルテレコム,9445,フォーバルテレコム
株式会社ヘッドウォータース,4011,ヘッドウォータース
株式会社メルカリ,4385,メルカリ
株式会社メンバーズ,2130,メンバーズ
ソフトバンク株式会社,9434,ソフトバンク
日本電気株式会社,6701,日本電気
富士通株式会社,6702,富士通
フューチャー株式会社,4722,フューチャー
オリックス株式会社,8591,オリックス
株式会社Ｔ＆Ｄホールディングス,8795,Ｔ＆Ｄホールディングス
株式会社オリエントコーポレーション,8585,オリエントコーポレーション
株式会社九州フィナンシャルグループ,7180,九州フィナンシャルグループ
株式会社京都フィナンシャルグループ,5844,京都フィナンシャルグループ
株式会社群馬銀行,8334,群馬銀行
株式会社佐賀銀行,8395,佐賀銀行
株式会社山陰合同銀行,8381,山陰合同銀行
株式会社滋賀銀行,8366,滋賀銀行
株式会社しずおかフィナンシャルグループ,5831,しずおかフィナンシャルグループ
株式会社七十七銀行,8341,七十七銀行
株式会社十六フィナンシャルグループ,7380,十六フィナンシャルグループ
株式会社第四北越フィナンシャルグループ,7327,第四北越フィナンシャルグループ
株式会社大和証券グループ本社,8601,大和証券グループ本社
株式会社千葉銀行,8331,千葉銀行
株式会社千葉興業銀行,8337,千葉興業銀行
株式会社ちゅうぎんフィナンシャルグループ,5832,ちゅうぎんフィナンシャルグループ
株式会社東京きらぼしフィナンシャルグループ,7173,東京きらぼしフィナンシャルグループ
株式会社東邦銀行,8346,東邦銀行
株式会社西日本フィナンシャルホールディングス,7189,西日本フィナンシャルホールディングス
株式会社日本取引所グループ,8697,日本取引所グループ
株式会社八十二銀行,8359,八十二銀行
株式会社ふくおかフィナンシャルグループ,8354,ふくおかフィナンシャルグループ
株式会社みずほフィナンシャルグループ,8411,みずほフィナンシャルグループ
株式会社三井住友フィナンシャルグループ,8316,三井住友フィナンシャルグループ
株式会社めぶきフィナンシャルグループ,7167,めぶきフィナンシャルグループ
株式会社山口フィナンシャルグループ,8418,山口フィナンシャルグループ
株式会社山梨中央銀行,8360,山梨中央銀行
株式会社横浜フィナンシャルグループ,7186,横浜フィナンシャルグループ
株式会社りそなホールディングス,8308,りそなホールディングス
株式会社琉球銀行,8399,琉球銀行
第一生命ホールディングス株式会社,8750,第一生命ホールディングス
東海東京フィナンシャル・ホールディングス株式会社,8616,東海東京フィナンシャル・ホールディングス
東京センチュリー株式会社,8439,東京センチュリー
野村ホールディングス株式会社,8604,野村ホールディングス
フィデアホールディングス株式会社,8713,フィデアホールディングス
みずほリース株式会社,8425,みずほリース
アスクル株式会社,2678,アスクル
石光商事株式会社,2750,石光商事
伊藤忠商事株式会社,8001,伊藤忠商事
岩谷産業株式会社,8088,岩谷産業
株式会社セブン＆アイ・ホールディングス,3382,セブン＆アイ・ホールディングス
株式会社フォーバル,8275,フォーバル
株式会社山善,8051,山善
株式会社理経,8226,理経
株式会社クラダシ,5884,クラダシ
シナネンホールディングス株式会社,8132,シナネンホールディングス
上新電機株式会社,8173,上新電機
住友商事株式会社,8053,住友商事
双日株式会社,2768,双日
豊田通商株式会社,8015,豊田通商
長瀬産業株式会社,8012,長瀬産業
日本紙パルプ商事株式会社,8032,日本紙パルプ商事
阪和興業株式会社,8078,阪和興業
丸紅株式会社,8002,丸紅
三井物産株式会社,8031,三井物産
三菱商事株式会社,8058,三菱商事
ユアサ商事株式会社,8074,ユアサ商事
エネルギーパワー株式会社,144A,エネルギーパワー
沖縄電力株式会社,9511,沖縄電力
株式会社エフオン,9514,エフオン
株式会社サーラコーポレーション,2734,サーラコーポレーション
関西電力株式会社,9503,関西電力
九州電力株式会社,9508,九州電力
四国電力株式会社,9507,四国電力
静岡ガス株式会社,9543,静岡ガス
西部ガスホールディングス株式会社,9536,西部ガスホールディングス
中国電力株式会社,9504,中国電力
中部電力株式会社,9502,中部電力
デジタルグリッド株式会社,350A,デジタルグリッド
電源開発株式会社,9513,電源開発
東京電力ホールディングス株式会社,9501,東京電力ホールディングス
東北電力株式会社,9506,東北電力
広島ガス株式会社,9535,広島ガス
北陸電力株式会社,9505,北陸電力
北海道電力株式会社,9509,北海道電力
レジル株式会社,176A,レジル
株式会社アスア,246A,アスア
株式会社建設技術研究所,9621,建設技術研究所
株式会社ドリームインキュベータ,4310,ドリームインキュベータ
株式会社三菱総合研究所,3636,三菱総合研究所
グロービング株式会社,277A,グロービング
アジア航測株式会社,9233,アジア航測
インフロニア・ホールディングス株式会社,5076,インフロニア・ホールディングス
鹿島建設株式会社,1812,鹿島建設
株式会社　安藤・間,1719,安藤・間
株式会社大林組,1802,大林組
