company_name,ticker,company_name_norm,is_gx
千葉銀行,8331,千葉銀行,1
群馬銀行,8334,群馬銀行,1
武蔵野銀行,8336,武蔵野銀行,0
千葉興業銀行,8337,千葉興業銀行,1
筑波銀行,8338,筑波銀行,0
七十七銀行,8341,七十七銀行,1
秋田銀行,8343,秋田銀行,0
山形銀行,8344,山形銀行,0
岩手銀行,8345,岩手銀行,0
東邦銀行,8346,東邦銀行,1
東北銀行,8349,東北銀行,0
ふくおかフィナンシャルグループ,8354,ふくおかフィナンシャルグループ,1
スルガ銀行,8358,スルガ銀行,0
八十二銀行,8359,八十二銀行,1
山梨中央銀行,8360,山梨中央銀行,1
大垣共立銀行,8361,大垣共立銀行,0
福井銀行,8362,福井銀行,0
清水銀行,8364,清水銀行,0
富山銀行,8365,富山銀行,0
滋賀銀行,8366,滋賀銀行,1
南都銀行,8367,南都銀行,0
百五銀行,8368,百五銀行,0
紀陽銀行,8370,紀陽銀行,0
ほくほくフィナンシャルグループ,8377,ほくほくフィナンシャルグループ,0
山陰合同銀行,8381,山陰合同銀行,1
鳥取銀行,8383,鳥取銀行,0
百十四銀行,8386,百十四銀行,0
四国銀行,8387,四国銀行,0
阿波銀行,8388,阿波銀行,0
大分銀行,8392,大分銀行,0
宮崎銀行,8393,宮崎銀行,0
佐賀銀行,8395,佐賀銀行,1
琉球銀行,8399,琉球銀行,1
セブン銀行,8410,セブン銀行,0
みずほフィナンシャルグループ,8411,みずほフィナンシャルグループ,1
高知銀行,8416,高知銀行,0
山口フィナンシャルグループ,8418,山口フィナンシャルグループ,1
信金中央金庫　優先出資証券,8421,信金中央金庫 優先出資証券,0
芙蓉総合リース,8424,芙蓉総合リース,1
みずほリース,8425,みずほリース,1
