ticker,yfinance_long_name,yfinance_short_name,english_name_norm,is_instrument,instrument_reason,source
1480,NEXT FUNDS Nomura Enterprise Value Allocation Index Exchange Traded Fund,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSNOMURAENTERPRISEVALUEALLOCATIONINDEXEXCHANGETRADEDFUND,1,Fund keyword (long name),cache
1481,Listed Index Fund Japanese Economy Contributor Stocks,AMOVA ASSET MANAGEMENT CO LTD L,LISTEDINDEXFUNDJAPANESEECONOMYCONTRIBUTORSTOCKS,1,Fund keyword (long name),cache
1482,iShares Core 7-10 Year US Treasury Bond JPY Hedged ETF,BLACKROCK JAPAN CO LTD ISHARES ,ISHARESCORE7-10YEARUSTREASURYBONDJPYHEDGEDETF,1,ETF keyword (long name),cache
1483,iShares JPX/S&P CAPEX & Human Capital ETF,BLACKROCK JAPAN CO LTD ISHARES ,ISHARESJPX/SPCAPEXHUMANCAPITALETF,1,ETF keyword (long name),cache
1484,One ETF JPX/S&P CAPEX & Human Capital Index,ASSET MGT ONE CO LTD ONE ETF JP,ONEETFJPX/SPCAPEXHUMANCAPITALINDEX,1,ETF keyword (long name),cache
1485,MAXIS JAPAN Proactive Investment in Physical and Human Capital 200 Idx ETF,MITSUBISHI UFJ ASSET MANAGEMENT,MAXISJAPANPROACTIVEINVESTMENTINPHYSICALANDHUMANCAPITAL200IDXETF,1,ETF keyword (long name),cache
1486,Listed Index Fund US Bond (No Currency Hedge),AMOVA ASSET MANAGEMENT CO LTD L,LISTEDINDEXFUNDUSBOND(NOCURRENCYHEDGE),1,Fund keyword (long name),cache
1487,Listed Index Fund US Bond (Currency Hedge),AMOVA ASSET MANAGEMENT CO LTD L,LISTEDINDEXFUNDUSBOND(CURRENCYHEDGE),1,Fund keyword (long name),cache
1488,Daiwa ETF Tokyo Stock Exchange REIT Index,DAIWA ASSET MANAGEMENT IFREEETF,DAIWAETFTOKYOSTOCKEXCHANGEREITINDEX,1,ETF keyword (long name),cache
1489,NEXT FUNDS Nikkei 225 High Dividend Yield Stock 50 Index Exchange Traded Fd,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSNIKKEI225HIGHDIVIDENDYIELDSTOCK50INDEXEXCHANGETRADEDFD,1,Index keyword (long name),cache
148A,,HATCH WORK CO. LTD,HATCHWORKCO.,0,,cache
1490,Listed Index Fund MSCI Japan Equity High Dividend Low Volatility(Beta Hdg),AMOVA ASSET MANAGEMENT CO LTD I,LISTEDINDEXFUNDMSCIJAPANEQUITYHIGHDIVIDENDLOWVOLATILITY(BETAHDG),1,Fund keyword (long name),cache
1491,"Chugai Mining Co., Ltd.",CHUGAI MINING CO,"CHUGAIMININGCO.,LTD.",0,,cache
1493,One ETF JPX-Nikkei Mid Small,ASSET MGT ONE CO LTD ONE ETF JP,ONEETFJPX-NIKKEIMIDSMALL,1,ETF keyword (long name),cache
1494,One ETF High Dividend Japan Equity,ASSET MGT ONE CO LTD ONE ETF HI,ONEETFHIGHDIVIDENDJAPANEQUITY,1,ETF keyword (long name),cache
1495,Listed Index Fund Asian REIT,AMOVA ASSET MANAGEMENT CO LTD L,LISTEDINDEXFUNDASIANREIT,1,REIT keyword (long name),cache
1496,iShares USD Investment Grade Corporate Bond JPY Hedged ETF,BLACKROCK JAPAN CO LTD USD INV ,ISHARESUSDINVESTMENTGRADECORPORATEBONDJPYHEDGEDETF,1,ETF keyword (long name),cache
1497,iShares USD High Yield Corporate Bond JPY Hedged ETF,BLACKROCK JAPAN CO LTD USD HIGH,ISHARESUSDHIGHYIELDCORPORATEBONDJPYHEDGEDETF,1,ETF keyword (long name),cache
1498,One ETF ESG,ASSET MGT ONE CO LTD ONE ETF ES,ONEETFESG,1,ETF keyword (long name),cache
1499,MAXIS Japan Equity High Dividend 70 Market Neutral ETF,MITSUBISHI UFJ ASSET MANAGEMENT,MAXISJAPANEQUITYHIGHDIVIDEND70MARKETNEUTRALETF,1,ETF keyword (long name),cache
149A,,THINCA CO LTD,THINCA,0,,cache
150A,,JSH CO LTD,JSH,0,,cache
1514,"Sumiseki Holdings,Inc.",SUMISEKI HOLDINGS INC,"SUMISEKIHOLDINGS,INC.",0,,cache
1515,"Nittetsu Mining Co., Ltd.",NITTETSU MINING CO,"NITTETSUMININGCO.,LTD.",0,,cache
1518,"Mitsui Matsushima Holdings Co., Ltd.",MITSUI MATSUSHIMA HOLDINGS CO L,"MITSUIMATSUSHIMAHOLDINGSCO.,LTD.",0,,cache
151A,,DIVE INC,DIVE,0,,cache
152A,,"152A.T,0P0001SGEQ,0","152A.T,0P0001SGEQ,0",0,,cache
153A,,CAULIS INC,CAULIS,0,,cache
1540,Japan Physical Gold ETF,MITSUBISHI UFJ TRUST & BANKING ,JAPANPHYSICALGOLDETF,1,ETF keyword (long name),cache
1541,Japan Physical Platinum ETF,MITSUBISHI UFJ TRUST & BANKING ,JAPANPHYSICALPLATINUMETF,1,ETF keyword (long name),cache
1542,Japan Physical Silver ETF,MITSUBISHI UFJ TRUST & BANKING ,JAPANPHYSICALSILVERETF,1,ETF keyword (long name),cache
1543,Japan Physical Palladium ETF,MITSUBISHI UFJ TRUST & BANKING ,JAPANPHYSICALPALLADIUMETF,1,ETF keyword (long name),cache
1545,NEXT FUNDS NASDAQ-100(R) (Unhedged) Exchange Traded Fund,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSNASDAQ-100(R)(UNHEDGED)EXCHANGETRADEDFUND,1,Fund keyword (long name),cache
1546,NEXT FUNDS DJIA (Unhedged) Exchange Traded Fund,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSDJIA(UNHEDGED)EXCHANGETRADEDFUND,1,Fund keyword (long name),cache
1547,Listed Index Fund US Equity (S&P500),AMOVA ASSET MANAGEMENT CO LTD L,LISTEDINDEXFUNDUSEQUITY(SP500),1,Fund keyword (long name),cache
154A,,"154A.T,0P0001SHLF,0","154A.T,0P0001SHLF,0",0,,cache
1550,MAXIS Global Equity (MSCI Kokusai) ETF,MITSUBISHI UFJ ASSET MANAGEMENT,MAXISGLOBALEQUITY(MSCIKOKUSAI)ETF,1,ETF keyword (long name),cache
1551,TSE Standard Top 20 ETF,SIMPLEX ASSET MANAGEMENT CO LTD,TSESTANDARDTOP20ETF,1,ETF keyword (long name),cache
1554,Listed Index Fund World Equity (MSCI ACWI) ex Japan,AMOVA ASSET MANAGEMENT CO LTD L,LISTEDINDEXFUNDWORLDEQUITY(MSCIACWI)EXJAPAN,1,Fund keyword (long name),cache
1555,Listed Index Fund Australian REIT (S&P/ASX200 A-REIT),AMOVA ASSET MANAGEMENT CO LTD L,LISTEDINDEXFUNDAUSTRALIANREIT(SP/ASX200A-REIT),1,REIT keyword (long name),cache
1557,SPDR S&P 500 ETF,SPDR S&P500 ETF TRUST S&P 500 E,SPDRSP500ETF,1,ETF keyword (long name),cache
1559,NEXT FUNDS Thai Stock SET50 Exchange Traded Fund,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSTHAISTOCKSET50EXCHANGETRADEDFUND,1,Fund keyword (long name),cache
155A,,INFORMATION STRATEGY AND TECHNO,INFORMATIONSTRATEGYANDTECHNO,0,,cache
1560,NEXT FUNDS FTSE Bursa Malaysia KLCI Exchange Traded Fund,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSFTSEBURSAMALAYSIAKLCIEXCHANGETRADEDFUND,1,Fund keyword (long name),cache
1563,TSE Growth Core ETF,SIMPLEX ASSET MANAGEMENT CO LTD,TSEGROWTHCOREETF,1,ETF keyword (long name),cache
1566,Listed Index Fund Emerging Bond,AMOVA ASSET MANAGEMENT CO LTD L,LISTEDINDEXFUNDEMERGINGBOND,1,Fund keyword (long name),cache
1568,TOPIX Bull 2x ETF,SIMPLEX ASSET MANAGEMENT CO LTD,TOPIXBULL2XETF,1,ETF keyword (long name),cache
1569,TOPIX Bear -1x ETF,SIMPLEX ASSET MANAGEMENT CO LTD,TOPIXBEAR-1XETF,1,ETF keyword (long name),cache
156A,,MATERIAL GROUP INC,MATERIAL,0,,cache
1570,NEXT FUNDS Nikkei 225 Leveraged Index Exchange Traded Fund,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSNIKKEI225LEVERAGEDINDEXEXCHANGETRADEDFUND,1,Fund keyword (long name),cache
1571,NEXT FUNDS Nikkei 225 Inverse Index Exchange Traded Fund,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSNIKKEI225INVERSEINDEXEXCHANGETRADEDFUND,1,Fund keyword (long name),cache
1572,China Bull 2x HSCEI ETF,SIMPLEX ASSET MANAGEMENT CO LTD,CHINABULL2XHSCEIETF,1,ETF keyword (long name),cache
1573,China Bear -1x HSCEI ETF,SIMPLEX ASSET MANAGEMENT CO LTD,CHINABEAR-1XHSCEIETF,1,ETF keyword (long name),cache
1577,NEXT FUNDS Nomura Japan Equity High Dividend 70 ETF,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSNOMURAJAPANEQUITYHIGHDIVIDEND70ETF,1,ETF keyword (long name),cache
1578,Listed Index Fund Nikkei 225 (Mini),AMOVA ASSET MANAGEMENT CO LTD N,LISTEDINDEXFUNDNIKKEI225(MINI),1,Fund keyword (long name),cache
1579,Nikkei225 Bull 2x ETF,SIMPLEX ASSET MANAGEMENT CO LTD,NIKKEI225BULL2XETF,1,ETF keyword (long name),cache
157A,,GREEN MONSTER INC,GREENMONSTER,0,,cache
1580,Nikkei225 Bear -1x ETF,SIMPLEX ASSET MANAGEMENT CO LTD,NIKKEI225BEAR-1XETF,1,ETF keyword (long name),cache
1585,Daiwa ETF TOPIX Ex-Financials,DAIWA ASSET MANAGEMENT IFREEETF,DAIWAETFTOPIXEX-FINANCIALS,1,ETF keyword (long name),cache
1586,Listed Index Fund TOPIX Ex-Financials,AMOVA ASSET MANAGEMENT CO LTD L,LISTEDINDEXFUNDTOPIXEX-FINANCIALS,1,Fund keyword (long name),cache
158A,,"158A.T,0P0001SIEX,0","158A.T,0P0001SIEX,0",0,,cache
1591,NEXT FUNDS JPX-Nikkei Index 400 Exchange Traded Fund,NOMURA ASSET MANAGEMENT CO LTD ,NEXTFUNDSJPX-NIKKEIINDEX400EXCHANGETRADEDFUND,1,Fund keyword (long name),cache
1592,Listed Index Fund JPX-Nikkei Index 400,AMOVA ASSET MANAGEMENT CO LTD L,LISTEDINDEXFUNDJPX-NIKKEIINDEX400,1,Fund keyword (long name),cache
