company_name,ticker,company_name_norm
関通,9326,関通
イー・ロジット,9327,イー・ロジット
揚羽,9330,揚羽
キャスター,9331,キャスター
ＮＩＳＳＯホールディングス,9332,ＮＩＳＳＯホールディングス
アイビスホールディングス,9334,アイビスホールディングス
テクノクリエイティブ,9335,テクノクリエイティブ
大栄環境,9336,大栄環境
トリドリ,9337,トリドリ
ＩＮＦＯＲＩＣＨ,9338,ＩＮＦＯＲＩＣＨ
コーチ・エィ,9339,コーチ・エィ
アソインターナショナル,9340,アソインターナショナル
ＧＥＮＯＶＡ,9341,ＧＥＮＯＶＡ
スマサポ,9342,スマサポ
アイビス,9343,アイビス
アクシスコンサルティング,9344,アクシスコンサルティング
ビズメイツ,9345,ビズメイツ
ココルポート,9346,ココルポート
日本管財ホールディングス,9347,日本管財ホールディングス
ｉｓｐａｃｅ,9348,ｉｓｐａｃｅ
東洋埠頭,9351,東洋埠頭
櫻島埠頭,9353,櫻島埠頭
リンコーコーポレーション,9355,リンコーコーポレーション
鈴与シンワート,9360,鈴与シンワート
伏木海陸運送,9361,伏木海陸運送
兵機海運,9362,兵機海運
大運,9363,大運
上組,9364,上組
トレーディア,9365,トレーディア
サンリツ,9366,サンリツ
大東港運,9367,大東港運
キムラユニティー,9368,キムラユニティー
キユーソー流通システム,9369,キユーソー流通システム
ユーラシア旅行社,9376,ユーラシア旅行社
東海運,9380,東海運
エーアイテイー,9381,エーアイテイー
ショーエイコーポレーション,9385,ショーエイコーポレーション
ビート・ホールディングス・リミテッド,9399,ビート・ホールディングス・リミテッド
ＴＢＳホールディングス,9401,ＴＢＳホールディングス
日本テレビホールディングス,9404,日本テレビホールディングス
朝日放送グループホールディングス,9405,朝日放送グループホールディングス
ＢＳＮメディアホールディングス,9408,ＢＳＮメディアホールディングス
テレビ朝日ホールディングス,9409,テレビ朝日ホールディングス
スカパーＪＳＡＴホールディングス,9412,スカパーＪＳＡＴホールディングス
テレビ東京ホールディングス,9413,テレビ東京ホールディングス
日本ＢＳ放送,9414,日本ＢＳ放送
ビジョン,9416,ビジョン
スマートバリュー,9417,スマートバリュー
Ｕ－ＮＥＸＴ　ＨＯＬＤＩＮＧＳ,9418,Ｕ－ＮＥＸＴ ＨＯＬＤＩＮＧＳ
ワイヤレスゲート,9419,ワイヤレスゲート
エヌジェイホールディングス,9421,エヌジェイホールディングス
フォーバル・リアルストレート,9423,フォーバル・リアルストレート
日本通信,9424,日本通信
ＲｅＹｕｕ　Ｊａｐａｎ,9425,ＲｅＹｕｕ Ｊａｐａｎ
クロップス,9428,クロップス
ＮＴＴ,9432,ＮＴＴ
ＫＤＤＩ,9433,ＫＤＤＩ
ソフトバンク,9434,ソフトバンク
ソフトバンク第１回社債型種類株式,94345,ソフトバンク第１回社債型種類株式
ソフトバンク第２回社債型種類株式,94346,ソフトバンク第２回社債型種類株式
光通信,9435,光通信
沖縄セルラー電話,9436,沖縄セルラー電話
エムティーアイ,9438,エムティーアイ
エム・エイチ・グループ,9439,エム・エイチ・グループ
ベルパーク,9441,ベルパーク
トーシンホールディングス,9444,トーシンホールディングス
フォーバルテレコム,9445,フォーバルテレコム
サカイホールディングス,9446,サカイホールディングス
ＧＭＯインターネットグループ,9449,ＧＭＯインターネットグループ
ファイバーゲート,9450,ファイバーゲート
アイドママーケティングコミュニケーション,9466,アイドママーケティングコミュニケーション
アルファポリス,9467,アルファポリス
ＫＡＤＯＫＡＷＡ,9468,ＫＡＤＯＫＡＷＡ
学研ホールディングス,9470,学研ホールディングス
ゼンリン,9474,ゼンリン
昭文社ホールディングス,9475,昭文社ホールディングス
