gx_company_name,ticker,mapped_company_name,name_norm,会社名,業種,emission_label
株式会社フジクラ,5803,フジクラ,フジクラ,株式会社フジクラ,非鉄金属製造業,2.0
株式会社ブリヂストン,5108,ブリヂストン,ブリヂストン,株式会社ブリヂストン,ゴム製品製造業,2.0
株式会社明電舎,6508,明電舎,明電舎,株式会社明電舎,電気機械器具製造業,1.0
株式会社村田製作所,6981,村田製作所,村田製作所,株式会社村田製作所,電子部品・デバイス・電子回路製造業,1.0
株式会社ヨロズ,7294,ヨロズ,ヨロズ,株式会社ヨロズ,輸送用機械器具製造業,1.0
株式会社レゾナック・ホールディングス,4004,レゾナック・ホールディングス,レゾナック・ホールディングス,※ 株式会社レゾナック・ホールディングス,化学工業,2.0
川崎重工業株式会社,7012,川崎重工業,川崎重工業,川崎重工業株式会社,輸送用機械器具製造業,1.0
キオクシアホールディングス株式会社,285A,キオクシアホールディングス,キオクシアホールディングス,キオクシアホールディングス株式会社,電子部品・デバイス・電子回路製造業,1.0
木村工機株式会社,6231,木村工機,木村工機,木村工機株式会社,はん用、生産用、業務用機械器具製造業,1.0
共英製鋼株式会社,5440,共英製鋼,共英製鋼,共英製鋼株式会社,鉄鋼業,2.0
京セラ株式会社,6971,京セラ,京セラ,京セラ株式会社,電子部品・デバイス・電子回路製造業,1.0
キリンホールディングス株式会社,2503,キリンホールディングス,キリンホールディングス,キリンホールディングス株式会社,食料品、飲料・たばこ・飼料製造業,1.0
合同製鐵株式会社,5410,合同製鐵,合同製鐵,合同製鐵株式会社,鉄鋼業,2.0
古河電気工業株式会社,5801,古河電気工業,古河電気工業,古河電気工業株式会社,非鉄金属製造業,2.0
コスモエネルギーホールディングス株式会社,5021,コスモエネルギーホールディングス,コスモエネルギーホールディングス,コスモエネルギーホールディングス株式会社,石油製品・石炭製品製造業,2.0
小林製薬株式会社,4967,小林製薬,小林製薬,小林製薬株式会社,化学工業,2.0
堺化学工業株式会社,4078,堺化学工業,堺化学工業,堺化学工業株式会社,化学工業,2.0
酒井重工業株式会社,6358,酒井重工業,酒井重工業,酒井重工業株式会社,その他の製造業,1.0
サカタインクス株式会社,4633,サカタインクス,サカタインクス,サカタインクス株式会社,化学工業,2.0
三協立山株式会社,5932,三協立山,三協立山,三協立山株式会社,金属製品製造業,1.0
三洋化成工業株式会社,4471,三洋化成工業,三洋化成工業,三洋化成工業株式会社,化学工業,2.0
