page,block_id,x0,y0,x1,y1,text
1,0,832.8931884765625,266.2007141113281,901.2232055664062,277.5565185546875,統合レポート 2025
1,1,832.8931884765625,279.40985107421875,884.5447387695312,290.7656555175781,2025年3月期
1,2,831.3920288085938,148.18685913085938,992.210205078125,257.8592834472656,"Integrated
Report
2025"
2,0,42.5192985534668,41.94197463989258,161.65858459472656,51.90297317504883,表紙のグラフィック写真とCMについて
2,1,39.268699645996094,137.58868408203125,244.19281005859375,218.689208984375,"このたび、豊田通商グループのMissionである「未来の子供たちにより
良い地球を届ける」を伝えるCMシリーズ「心をひらく。未来をえがく。」
の新篇を制作しました。本シリーズは、豊田通商の事業が描かれた絵画
が飾られているToyota Tsusho Gallery を舞台に、俳優・大月美里果
（おおつき みりか）さんが現場へと足を踏み入れ、未来を描くストーリー
です。新篇は、自動車の再資源化に取り組む「循環型静脈事業」と、インド
における病院運営や医療周辺サービス等の「ヘルスケア事業」をテーマ
にしています。実写とアニメーションと音楽が融合した豊田通商なら
ではのグラフィックおよびCMをご覧ください。"
2,2,578.8120727539062,533.9204711914062,665.2981567382812,543.8814697265625,豊田通商コーポレートサイト
2,3,574.2908935546875,544.2426147460938,670.9391479492188,552.6246337890625,https://www.toyota-tsusho.com/
2,4,455.0690002441406,388.0023193359375,518.4885864257812,396.3843078613281,"サステナビリティ
環境"
2,5,455.2430114746094,431.4540100097656,467.1830139160156,439.83599853515625,社会
2,6,714.3005981445312,388.0023193359375,738.12060546875,396.3843078613281,経営方針
2,7,506.35760498046875,431.4540100097656,755.9406127929688,439.83599853515625,"決算説明会資料
ガバナンス"
2,8,454.96759033203125,442.89599609375,564.82861328125,466.194091796875,"豊田通商 
コーポレートサイト サステナビリティ
https://www.toyota-tsusho.com/sustainability/"
2,9,485.131591796875,336.1725158691406,756.6596069335938,347.5564880371094,"非財務情報
財務情報"
2,10,697.7828979492188,442.89691162109375,780.2340087890625,466.194091796875,"豊田通商
コーポレートサイト 投資家情報
https://www.toyota-tsusho.com/ir/"
2,11,508.1268005371094,478.9482116699219,585.1920776367188,514.2453002929688,"豊田通商 
Human Capital Report
https://www.toyota-tsusho.com/
sustainability/human-
capital-report.html"
2,12,49.519798278808594,324.22088623046875,405.44415283203125,333.9999084472656,豊田通商グループは、統合レポート（以下、本レポート）を幅広いステークホルダーの皆さまとのコミュニケーションの
2,13,42.519798278808594,336.2188720703125,405.39599609375,345.9978942871094,媒体と位置付け、対話を通じた持続的な企業価値向上に努めています。本レポートは、IFRS財団が提唱する「統合報告
2,14,42.09280014038086,348.2168884277344,405.375244140625,357.99591064453125,フレームワーク」や、経済産業省が策定する「価値協創ガイダンス2.0」を参照しつつ、ステークホルダーの皆さまとの対話
2,15,42.32379913330078,360.21490478515625,405.6988525390625,369.9939270019531,"を活かし、当社グループの価値創造を「社長メッセージ」
「価値創造ストーリー」
「豊田通商の価値創造」
「価値創造を支える"
2,16,42.31679916381836,372.212890625,405.3380432128906,381.9919128417969,"サステナブルな取り組み」
「データセクション」の５つの大項目にまとめ、お伝えしています。なお、本レポートは、豊田通商"
2,17,42.32379913330078,384.21087646484375,405.3473205566406,393.9898986816406,および連結子会社の活動について報告していますが、一部は豊田通商単体について掲載しています。当社グループの持続的
2,18,42.379798889160156,396.2088928222656,405.4969787597656,405.9879150390625,な企業価値向上において重要性が高い財務情報および非財務情報を掲載していますので、より詳細な情報は、当社コーポ
2,19,42.148799896240234,408.2069091796875,405.78253173828125,417.9859313964844,レートサイトを併せてご参照ください。今後も、ステークホルダーの皆さまからのご意見を参考に、より分かりやすいレポート
2,20,42.05080032348633,420.20489501953125,140.6829071044922,429.9839172363281,となるよう進化させていきます。
2,21,42.5192985534668,300.96649169921875,78.51930236816406,313.77349853515625,編集方針
2,22,49.519798278808594,461.831298828125,408.84747314453125,471.6103210449219,本レポートには豊田通商グループの将来の収益計画・戦略および業績見通し等歴史的事実でない「将来に関する見通し」
2,23,42.43579864501953,473.82928466796875,408.85235595703125,483.6083068847656,が含まれています。これらは読者の皆さまに当社グループの経営に関する情報を提供することのみを目的としています。
2,24,42.519798278808594,485.8273010253906,405.4195251464844,495.6063232421875,従って、読者の皆さまにおかれましては、これらの将来に関する見通しに全面的に依拠して投資、その他判断をすることは
2,25,42.32379913330078,497.8252868652344,146.96676635742188,507.60430908203125,お控えくださるようお願いします。
2,26,42.5192985534668,438.576904296875,138.79229736328125,451.3839111328125,見通しに関する注意事項
2,27,42.519798278808594,539.4013671875,408.8555908203125,549.3623657226562,統合レポートの対象期間：2024年4月1日～2025年3月31日（一部に報告対象期間以前・以後の活動内容等を含みます）
2,28,42.519798278808594,551.3994140625,205.4525146484375,561.3604125976562,対象組織：豊田通商株式会社および豊田通商グループ
2,29,42.5192985534668,516.2169799804688,78.51930236816406,529.0239868164062,報告範囲
2,30,598.9987182617188,394.9625244140625,645.1747436523438,406.34649658203125,統合レポート
2,31,47.17559814453125,228.77439880371094,198.7115478515625,253.30838012695312,"WEB
詳細はこちらをご覧ください
https://www.toyota-tsusho.com/press/detail/
250717_006638.html"
2,32,43.56669998168945,14.975208282470703,803.4553833007812,33.55120849609375,"Toyota Tsusho Integrated Report 2025
01"
2,33,868.577880859375,94.28360748291016,955.835205078125,108.46760559082031,"01
社長メッセージ"
2,34,868.577880859375,119.82379913330078,978.4343872070312,134.00770568847656,"02
価値創造ストーリー​"
2,35,868.577880859375,145.38380432128906,929.2396240234375,159.5478973388672,"03
成長戦略"
2,36,868.577880859375,170.90408325195312,929.5543212890625,185.0880889892578,"04
事業戦略"
