pdf,txt,blocks,total_pages,low_text_pages
data/source/corpus/日本紙パルプ商事.pdf,OK,,data/interim/phase3/20260104_2047_pymupdf/corpus_text/日本紙パルプ商事.txt,data/interim/phase3/20260104_2047_pymupdf/corpus_text/日本紙パルプ商事_blocks.csv,116,2
data/source/corpus/日本郵船.pdf,OK,,data/interim/phase3/20260104_2047_pymupdf/corpus_text/日本郵船.txt,data/interim/phase3/20260104_2047_pymupdf/corpus_text/日本郵船_blocks.csv,62,1
data/source/corpus/横河電機_removed.pdf,OK,,data/interim/phase3/20260104_2047_pymupdf/corpus_text/横河電機_removed.txt,data/interim/phase3/20260104_2047_pymupdf/corpus_text/横河電機_removed_blocks.csv,64,1
data/source/corpus/王子ホールディングス.pdf,OK,,data/interim/phase3/20260104_2047_pymupdf/corpus_text/王子ホールディングス.txt,data/interim/phase3/20260104_2047_pymupdf/corpus_text/王子ホールディングス_blocks.csv,98,1
data/source/corpus/豊田通商.pdf,OK,,data/interim/phase3/20260104_2047_pymupdf/corpus_text/豊田通商.txt,data/interim/phase3/20260104_2047_pymupdf/corpus_text/豊田通商_blocks.csv,94,1
data/source/corpus/酉島製作所（サステナビリティ）.pdf,OK,,data/interim/phase3/20260104_2047_pymupdf/corpus_text/酉島製作所（サステナビリティ）.txt,data/interim/phase3/20260104_2047_pymupdf/corpus_text/酉島製作所（サステナビリティ）_blocks.csv,51,1
data/source/corpus/長瀬産業.pdf,OK,,data/interim/phase3/20260104_2047_pymupdf/corpus_text/長瀬産業.txt,data/interim/phase3/20260104_2047_pymupdf/corpus_text/長瀬産業_blocks.csv,51,0
data/source/corpus/阪和興業.pdf,OK,,data/interim/phase3/20260104_2047_pymupdf/corpus_text/阪和興業.txt,data/interim/phase3/20260104_2047_pymupdf/corpus_text/阪和興業_blocks.csv,51,0
data/source/corpus/静岡ガス.pdf,OK,,data/interim/phase3/20260104_2047_pymupdf/corpus_text/静岡ガス.txt,data/interim/phase3/20260104_2047_pymupdf/corpus_text/静岡ガス_blocks.csv,74,0
data/source/corpus/高砂熱学工業.pdf,OK,,data/interim/phase3/20260104_2047_pymupdf/corpus_text/高砂熱学工業.txt,data/interim/phase3/20260104_2047_pymupdf/corpus_text/高砂熱学工業_blocks.csv,56,1
