page,block_id,x0,y0,x1,y1,text
1,0,293.389404296875,200.2412109375,558.9955444335938,338.34381103515625,"静岡ガスグループ統合報告書
SHIZUOKA GAS
GROUP REPORT 
2025"
1,1,334.7643127441406,370.9564514160156,512.5103759765625,396.85089111328125,湧く想い、沸かせる未来。
2,0,62.36220169067383,51.39744567871094,161.68893432617188,70.71187591552734,Who We Are
2,1,346.5917053222656,565.3534545898438,495.7021484375,579.1752319335938,"SHIZUOKA GAS GROUP
INTEGRATED REPORT 2025
01"
2,2,823.142578125,90.51104736328125,832.121337890625,102.60511016845703,02
2,3,824.2227783203125,106.7720947265625,831.66796875,153.00575256347656,TOP MESSAGE
2,4,823.1187744140625,160.432373046875,832.13720703125,172.5264434814453,03
2,5,824.2227783203125,176.69329833984375,831.66796875,234.42713928222656,SPECIAL FEATURE
2,6,823.1331787109375,241.6922607421875,832.1268310546875,253.7863311767578,04
2,7,824.2227783203125,257.95318603515625,831.66796875,334.2071838378906,HOW WE CREATE VALUE
2,8,823.1619873046875,339.9599609375,832.10107421875,352.05401611328125,05
2,9,824.2227783203125,356.22088623046875,831.66796875,394.2792053222656,OUR VISION
2,10,823.123779296875,401.37725830078125,832.1322631835938,413.4713134765625,06
2,11,824.2227783203125,417.63818359375,831.66796875,467.1973571777344,OUR STRATEGY
2,12,823.1956787109375,474.1331481933594,832.0653076171875,486.2272033691406,07
2,13,824.2227783203125,490.39410400390625,831.66796875,576.9207153320312,CORPORATE GOVERNANCE
2,14,891.1132202148438,116.16907501220703,934.4122924804688,124.7725601196289,Who We Are
2,15,887.043212890625,129.51824951171875,938.3926391601562,140.74989318847656,グループ企業理念
2,16,866.518798828125,143.69015502929688,958.9992065429688,154.9217987060547,静岡ガスグループの歴史とDNA
2,17,896.4539184570312,157.86465454101562,929.058349609375,169.09629821777344,成長の軌跡
2,18,892.3244018554688,172.86196899414062,933.2073974609375,181.4654541015625,At a Glance
2,19,871.5413208007812,186.21115112304688,950.7130126953125,197.4427947998047,「初」へのチャレンジの歴史
2,20,899.7639770507812,200.383056640625,925.75439453125,211.6147003173828,編集方針
2,21,903.029541015625,214.55496215820312,922.4569702148438,225.78660583496094,目　次
2,22,897.4265747070312,235.22415161132812,936.9600830078125,243.82763671875,CONTENTS
2,23,823.076171875,17.755279541015625,832.1838989257812,29.84934425354004,01
2,24,824.2227783203125,34.01617431640625,831.66796875,83.8441390991211,INTRODUCTION
2,25,884.27880859375,24.44235610961914,941.170166015625,102.18956756591797,01
2,26,879.0452880859375,367.913330078125,946.550537109375,378.5209045410156,グループ2030年ビジョン
2,27,862.757080078125,440.19683837890625,962.9107666015625,450.8044128417969,2050年カーボンニュートラルビジョン
2,28,890.6218872070312,512.480224609375,935.4923706054688,523.0878295898438,サステナビリティ
3,0,62.2489013671875,121.4083480834961,420.775390625,172.4604034423828,エネルギーを中心とした
3,1,62.07882308959961,166.05410766601562,356.48553466796875,217.1061553955078,グループ総合力で、
3,2,62.36228942871094,210.69985961914062,427.6607360839844,261.75189208984375,豊かで持続可能な未来を
3,3,62.36228942871094,255.34561157226562,258.0665283203125,306.39764404296875,追い求めます
3,4,62.234798431396484,96.36119079589844,145.9558868408203,115.0804443359375,グループ企業理念
3,5,62.36220169067383,325.9024963378906,361.1888122558594,343.06634521484375,創業以来、変わらない「私たちが社会に存在する意義」。
3,6,62.36220169067383,344.3276062011719,247.07797241210938,361.491455078125,それは、地域社会に貢献すること。
3,7,62.36220169067383,374.09149169921875,322.68450927734375,391.2553405761719,大きく進化する社会からの期待や要望に対して、
3,8,62.36220169067383,392.5165710449219,216.38771057128906,409.680419921875,私たちも進化し続けながら、
3,9,62.25320053100586,410.9418029785156,386.4097900390625,428.10565185546875,エネルギーを中心としたグループ総合力で応えていきます。
3,10,62.362335205078125,440.7056884765625,326.5636291503906,457.8695373535156,多様性を活かしながら、知恵を絞り、技術を磨き、
3,11,62.36220169067383,459.13079833984375,285.2320251464844,476.2946472167969,同じ志をもつ仲間と力を合わせることで、
3,12,57.173500061035156,477.5559997558594,326.12115478515625,494.7198486328125,「豊かで持続可能な未来」を追い求めていきます。
3,13,346.5917053222656,565.3534545898438,495.7021484375,579.1752319335938,"SHIZUOKA GAS GROUP
INTEGRATED REPORT 2025
02"
3,14,823.142578125,24.44235610961914,941.170166015625,102.60511016845703,"01
02"
3,15,824.2227783203125,106.7720947265625,831.66796875,153.00575256347656,TOP MESSAGE
3,16,823.1187744140625,160.432373046875,832.13720703125,172.5264434814453,03
3,17,824.2227783203125,176.69329833984375,831.66796875,234.42713928222656,SPECIAL FEATURE
3,18,823.1331787109375,241.6922607421875,832.1268310546875,253.7863311767578,04
3,19,824.2227783203125,257.95318603515625,831.66796875,334.2071838378906,HOW WE CREATE VALUE
3,20,823.1619873046875,339.9599609375,832.10107421875,352.05401611328125,05
3,21,824.2227783203125,356.22088623046875,831.66796875,394.2792053222656,OUR VISION
3,22,823.1956787109375,474.1331481933594,832.0653076171875,486.2272033691406,07
3,23,824.2227783203125,490.39410400390625,831.66796875,576.9207153320312,CORPORATE GOVERNANCE
3,24,823.076171875,17.755279541015625,832.1838989257812,29.84934425354004,01
3,25,824.2227783203125,34.01617431640625,831.66796875,83.8441390991211,INTRODUCTION
3,26,823.123779296875,401.37725830078125,832.1322631835938,413.4713134765625,06
3,27,824.2227783203125,417.63818359375,831.66796875,467.1973571777344,OUR STRATEGY
3,28,891.1132202148438,116.16907501220703,934.4122924804688,124.7725601196289,Who We Are
