page,block_id,x0,y0,x1,y1,text
1,0,42.51969909667969,38.059322357177734,503.5290832519531,69.60072326660156,"OBAYASHI コーポレートレポート 2025
統合報告書"
2,0,861.3536987304688,471.12542724609375,987.9694213867188,475.2621154785156,Obayashi Sustainability Vision 2050「地球・社会・人」と大林グループのサステナビリティの実現​
2,1,906.2528076171875,461.8588562011719,942.1801147460938,467.3355712890625,持続可能な社会の実現
2,2,894.1204833984375,547.7179565429688,955.6494750976562,551.8546752929688,大林組基本理念（企業理念・企業行動規範・三箴）
2,3,905.085205078125,541.6721801757812,944.6845092773438,545.8088989257812,ESG重要課題（マテリアリティ）
2,4,880.5499267578125,535.618896484375,967.883056640625,539.755615234375,大林グループのDNA：多様性を受け入れ、相互に尊重し合える企業風土
2,5,909.2161254882812,486.33258056640625,971.4281616210938,489.9837341308594,社員のエンゲージメントの向上、ウェルビーイングの実現​
2,6,892.5051879882812,492.4827880859375,909.6333618164062,496.1339416503906,個のあるべき姿​
2,7,893.674072265625,495.5379943847656,908.4644165039062,499.18914794921875,自律した人材​
2,8,879.4569702148438,501.6889953613281,1000.0181274414062,505.34014892578125,"社員の能力開発​
働きがいの向上​
多様性の確保​"
2,9,959.3214111328125,492.4827880859375,999.8279418945312,499.18914794921875,"組織のあるべき姿​
より自由闊達に​議論し合える​企業風土​"
2,10,922.406494140625,480.6766662597656,958.2373657226562,484.32781982421875,個と組織のパフォーマンス最大化​
2,11,887.0098266601562,520.8848266601562,1014.255859375,524.5360107421875,"人材育成​
職場環境整備​
適材適所の人材配置​
公平な評価・処遇​
採用ダイバーシティ"
2,12,864.1212158203125,513.98974609375,876.9107666015625,523.7529296875,"人材​
マネジメント
方針"
2,13,884.0416259765625,513.1493530273438,900.498291015625,516.800537109375,学びを楽しみ、​
2,14,884.6489868164062,515.8241577148438,899.5767211914062,519.475341796875,皆が成長する​
2,15,911.088623046875,513.1493530273438,929.3330688476562,516.800537109375,安全に、健康に、​
2,16,913.7702026367188,515.8241577148438,926.3372192382812,519.475341796875,活躍できる​
2,17,938.1700439453125,513.1493530273438,956.9874877929688,519.4752807617188,"個が躍動し、
チームが活性する"
2,18,967.2913208007812,513.1493530273438,983.7479858398438,519.475341796875,"業績への貢献が
報われる​"
2,19,995.232177734375,513.1493530273438,1012.520751953125,516.800537109375,魅力ある多様な​
2,20,996.41259765625,515.8241577148438,1011.34033203125,519.475341796875,人材が集まる​
2,21,903.6627197265625,529.698974609375,944.7703247070312,533.835693359375,経営基盤戦略 ①人材マネジメント
2,22,831.6339721679688,507.5218811035156,840.8019409179688,511.17303466796875,基本戦略
2,23,832.8250732421875,511.3442687988281,858.2328491210938,517.26904296875,"● 建設事業の基盤の強化と
深化"
2,24,832.8250732421875,517.233642578125,851.9300537109375,523.158447265625,"● 技術とビジネスの
イノベーション"
2,25,832.8250732421875,523.123046875,858.2747192382812,529.0478515625,"● 持続的成長のための​事業
ポートフォリオの拡充"
2,26,833.3397216796875,495.664794921875,857.8897705078125,499.9244689941406,中期経営計画2022​
2,27,844.1130981445312,500.7226257324219,848.495361328125,503.3125915527344,P.26
2,28,778.9061279296875,103.28629302978516,826.6180419921875,112.84429168701172,■ROIC逆ツリー
2,29,787.7601928710938,127.05101013183594,833.5633544921875,131.85250854492188,● 受注ポートフォリオの最適化
2,30,787.7601928710938,131.4510040283203,827.5573120117188,136.25250244140625,● 施工キャパシティの拡充
2,31,787.7601928710938,135.8509979248047,832.5403442382812,140.65249633789062,● 適切な工程・安全・品質管理
2,32,787.7601928710938,146.2504119873047,848.5454711914062,155.4508056640625,"● 顧客ニーズを的確に捉えた提案による
提供価値の向上"
2,33,787.7601928710938,155.05039978027344,834.619873046875,159.85189819335938,● 提供価値に見合う価格競争力
2,34,787.7601928710938,189.04908752441406,846.2352905273438,193.8505859375,● 期末未収残高を意識した取り下げ協議
2,35,787.7601928710938,198.84889221191406,836.5993041992188,203.650390625,● 外注化を含む事業用資産の圧縮
2,36,787.7601928710938,203.24888610839844,823.3993530273438,208.05038452148438,● 事業用資産の有効活用
2,37,787.7601928710938,213.04908752441406,844.7838134765625,217.8505859375,● 株式保有に代わる関係強化策の推進
2,38,787.7601928710938,223.04859924316406,826.71630859375,227.85009765625,● 人材の確保と育成・強化
2,39,787.7601928710938,227.44859313964844,812.4730834960938,232.25009155273438,● 建設DXの推進
2,40,787.7601928710938,231.8485870361328,838.727783203125,236.65008544921875,● 営業力・生産力に資する技術開発
2,41,787.7601928710938,241.8481903076172,834.2233276367188,246.64968872070312,● 社会課題や法令などへの対応
2,42,787.7600708007812,251.2071075439453,815.4166870117188,256.00860595703125,● 大林DNAの継承
2,43,787.7600708007812,255.6071014404297,850.6904907226562,264.8074951171875,"● チームワークとエンゲージメントの強化・
向上"
2,44,787.7600708007812,264.4072265625,816.7993774414062,269.2087097167969,● 組織運営の効率化
2,45,787.7601928710938,165.2498016357422,827.3626708984375,170.05130004882812,● BPRなどのプロセス改善
2,46,787.7601928710938,169.64979553222656,817.32763671875,174.4512939453125,● 費用対効果の向上
2,47,998.0952758789062,126.19416809082031,1008.7828369140625,132.15011596679688,ROIC
2,48,989.964111328125,135.31385803222656,1016.9139404296875,141.26980590820312,税引後営業利益
2,49,995.7391357421875,142.3555145263672,1011.1390380859375,148.31146240234375,投下資本
2,50,860.968017578125,126.61160278320312,905.9303588867188,131.71670532226562,工事規模・業種別の完成工事高
2,51,871.6021728515625,136.2113037109375,895.2960815429688,141.31640625,完成工事利益率
