spEmitCode,repDivID,gasID,gas_name_raw,gas_name_norm,unit,year,value,label,is_reported,fetched_at,source_url
580004067,1,0,合計,合計,千,2009,49220.0,49,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580004067&repDivID=1
580004067,1,0,合計,合計,千,2010,51054.0,51,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580004067&repDivID=1
580004067,1,0,合計,合計,千,2011,41037.0,41,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580004067&repDivID=1
580004067,1,0,合計,合計,千,2012,44164.0,44,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580004067&repDivID=1
580004067,1,0,合計,合計,千,2013,43728.0,44,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580004067&repDivID=1
580004067,1,0,合計,合計,千,2014,52953.0,53,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580004067&repDivID=1
580004067,1,0,合計,合計,千,2015,39853.0,40,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580004067&repDivID=1
580004067,1,0,合計,合計,千,2016,38369.0,38,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580004067&repDivID=1
580004067,1,0,合計,合計,千,2017,41535.0,42,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580004067&repDivID=1
580004067,1,0,合計,合計,千,2018,39489.0,39,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580004067&repDivID=1
580004067,1,0,合計,合計,千,2019,37084.0,37,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580004067&repDivID=1
580004067,1,0,合計,合計,千,2020,33075.0,33,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580004067&repDivID=1
580004067,1,0,合計,合計,千,2021,30801.0,31,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580004067&repDivID=1
580004067,1,0,合計,合計,千,2022,34359.0,34,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580004067&repDivID=1
580004067,1,0,合計,合計,千,2023,36587.0,37,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580004067&repDivID=1
580004067,1,1,エネルギー起源CO<sub>2</sub>,エネルギー起源CO_2,千,2009,49220.0,49,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=1&spEmitCode=580004067&repDivID=1
580004067,1,1,エネルギー起源CO<sub>2</sub>,エネルギー起源CO_2,千,2010,51054.0,51,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=1&spEmitCode=580004067&repDivID=1
580004067,1,1,エネルギー起源CO<sub>2</sub>,エネルギー起源CO_2,千,2011,41037.0,41,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=1&spEmitCode=580004067&repDivID=1
580004067,1,1,エネルギー起源CO<sub>2</sub>,エネルギー起源CO_2,千,2012,44164.0,44,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=1&spEmitCode=580004067&repDivID=1
580004067,1,1,エネルギー起源CO<sub>2</sub>,エネルギー起源CO_2,千,2013,43728.0,44,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=1&spEmitCode=580004067&repDivID=1
580004067,1,1,エネルギー起源CO<sub>2</sub>,エネルギー起源CO_2,千,2014,52953.0,53,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=1&spEmitCode=580004067&repDivID=1
580004067,1,1,エネルギー起源CO<sub>2</sub>,エネルギー起源CO_2,千,2015,39853.0,40,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=1&spEmitCode=580004067&repDivID=1
580004067,1,1,エネルギー起源CO<sub>2</sub>,エネルギー起源CO_2,千,2016,38369.0,38,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=1&spEmitCode=580004067&repDivID=1
580004067,1,1,エネルギー起源CO<sub>2</sub>,エネルギー起源CO_2,千,2017,41535.0,42,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=1&spEmitCode=580004067&repDivID=1
580004067,1,1,エネルギー起源CO<sub>2</sub>,エネルギー起源CO_2,千,2018,39489.0,39,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=1&spEmitCode=580004067&repDivID=1
580004067,1,1,エネルギー起源CO<sub>2</sub>,エネルギー起源CO_2,千,2019,37084.0,37,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=1&spEmitCode=580004067&repDivID=1
580004067,1,1,エネルギー起源CO<sub>2</sub>,エネルギー起源CO_2,千,2020,33075.0,33,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=1&spEmitCode=580004067&repDivID=1
580004067,1,1,エネルギー起源CO<sub>2</sub>,エネルギー起源CO_2,千,2021,30801.0,31,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=1&spEmitCode=580004067&repDivID=1
580004067,1,1,エネルギー起源CO<sub>2</sub>,エネルギー起源CO_2,千,2022,34359.0,34,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=1&spEmitCode=580004067&repDivID=1
580004067,1,1,エネルギー起源CO<sub>2</sub>,エネルギー起源CO_2,千,2023,36587.0,37,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=1&spEmitCode=580004067&repDivID=1
580004067,1,11,エネルギー起源CO<sub>2</sub>（廃棄物の原燃料使用）,エネルギー起源CO_2（廃棄物の原燃料使用）,,2023,1.0,0,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=11&spEmitCode=580004067&repDivID=1
580004067,1,20,調整後排出量,調整後排出量,千,2009,44370.0,44,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=580004067&repDivID=1
580004067,1,20,調整後排出量,調整後排出量,千,2010,47310.0,47,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=580004067&repDivID=1
580004067,1,20,調整後排出量,調整後排出量,千,2011,40190.0,40,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=580004067&repDivID=1
580004067,1,20,調整後排出量,調整後排出量,千,2012,39028.0,39,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=580004067&repDivID=1
580004067,1,20,調整後排出量,調整後排出量,千,2013,34344.0,34,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=580004067&repDivID=1
580004067,1,20,調整後排出量,調整後排出量,千,2014,53183.0,53,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=580004067&repDivID=1
580004067,1,20,調整後排出量,調整後排出量,千,2015,41440.0,41,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=580004067&repDivID=1
580004067,1,20,調整後排出量,調整後排出量,千,2016,40234.0,40,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=580004067&repDivID=1
580004067,1,20,調整後排出量,調整後排出量,千,2017,40642.0,41,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=580004067&repDivID=1
580004067,1,20,調整後排出量,調整後排出量,千,2018,39300.0,39,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=580004067&repDivID=1
580004067,1,20,調整後排出量,調整後排出量,千,2019,38477.0,38,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=580004067&repDivID=1
580004067,1,20,調整後排出量,調整後排出量,千,2020,33561.0,34,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=580004067&repDivID=1
580004067,1,20,調整後排出量,調整後排出量,千,2021,28634.0,29,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=580004067&repDivID=1
580004067,1,20,調整後排出量,調整後排出量,千,2022,28285.0,28,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=580004067&repDivID=1
580004067,1,20,調整後排出量,調整後排出量,千,2023,26508.0,27,1,2025-12-30T08:54:46.217401+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=580004067&repDivID=1
