spEmitCode,repDivID,gasID,gas_name_raw,gas_name_norm,unit,year,value,label,is_reported,fetched_at,source_url
580000489,1,0,合計,合計,千,2009,19214.0,19,1,2025-12-30T08:55:36.030408+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580000489&repDivID=1
580000489,1,0,合計,合計,千,2010,14526.0,15,1,2025-12-30T08:55:36.030408+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580000489&repDivID=1
580000489,1,0,合計,合計,千,2011,11877.0,12,1,2025-12-30T08:55:36.030408+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580000489&repDivID=1
580000489,1,0,合計,合計,千,2012,14384.0,14,1,2025-12-30T08:55:36.030408+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580000489&repDivID=1
580000489,1,0,合計,合計,千,2013,13990.0,14,1,2025-12-30T08:55:36.030408+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580000489&repDivID=1
580000489,1,0,合計,合計,千,2014,,報告なし,0,2025-12-30T08:55:36.030408+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580000489&repDivID=1
580000489,1,0,合計,合計,千,2015,10460.0,10,1,2025-12-30T08:55:36.030408+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580000489&repDivID=1
580000489,1,0,合計,合計,千,2016,11559.0,12,1,2025-12-30T08:55:36.030408+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580000489&repDivID=1
580000489,1,0,合計,合計,千,2017,11246.0,11,1,2025-12-30T08:55:36.030408+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580000489&repDivID=1
580000489,1,0,合計,合計,千,2018,10343.0,10,1,2025-12-30T08:55:36.030408+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580000489&repDivID=1
580000489,1,0,合計,合計,千,2019,9282.0,9,1,2025-12-30T08:55:36.030408+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580000489&repDivID=1
580000489,1,0,合計,合計,千,2020,2866.0,3,1,2025-12-30T08:55:36.030408+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580000489&repDivID=1
580000489,1,0,合計,合計,千,2021,7882.0,8,1,2025-12-30T08:55:36.030408+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580000489&repDivID=1
580000489,1,0,合計,合計,千,2022,3118.0,3,1,2025-12-30T08:55:36.030408+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580000489&repDivID=1
580000489,1,0,合計,合計,千,2023,7397.0,7,1,2025-12-30T08:55:36.030408+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=0&spEmitCode=580000489&repDivID=1
580000489,1,1,エネルギー起源CO<sub>2</sub>,エネルギー起源CO_2,千,2009,19214.0,19,1,2025-12-30T08:55:36.030408+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=1&spEmitCode=580000489&repDivID=1
580000489,1,1,エネルギー起源CO<sub>2</sub>,エネルギー起源CO_2,千,2010,14526.0,15,1,2025-12-30T08:55:36.030408+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=1&spEmitCode=580000489&repDivID=1
580000489,1,1,エネルギー起源CO<sub>2</sub>,エネルギー起源CO_2,千,2011,11877.0,12,1,2025-12-30T08:55:36.030408+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=1&spEmitCode=580000489&repDivID=1
580000489,1,1,エネルギー起源CO<sub>2</sub>,エネルギー起源CO_2,千,2012,14384.0,14,1,2025-12-30T08:55:36.030408+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=1&spEmitCode=580000489&repDivID=1
