spEmitCode,repDivID,gasID,gas_name_raw,gas_name_norm,unit,year,value,label,is_reported,fetched_at,source_url
430015561,1,1,エネルギー起源CO<sub>2</sub>,エネルギー起源CO_2,千,2017,8842.0,9,1,2025-12-30T09:32:43.072678+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=1&spEmitCode=430015561&repDivID=1
430015561,1,1,エネルギー起源CO<sub>2</sub>,エネルギー起源CO_2,千,2018,8908.0,9,1,2025-12-30T09:32:43.072678+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=1&spEmitCode=430015561&repDivID=1
430015561,1,1,エネルギー起源CO<sub>2</sub>,エネルギー起源CO_2,千,2019,8512.0,9,1,2025-12-30T09:32:43.072678+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=1&spEmitCode=430015561&repDivID=1
430015561,1,1,エネルギー起源CO<sub>2</sub>,エネルギー起源CO_2,千,2020,8160.0,8,1,2025-12-30T09:32:43.072678+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=1&spEmitCode=430015561&repDivID=1
430015561,1,1,エネルギー起源CO<sub>2</sub>,エネルギー起源CO_2,千,2021,7700.0,8,1,2025-12-30T09:32:43.072678+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=1&spEmitCode=430015561&repDivID=1
430015561,1,1,エネルギー起源CO<sub>2</sub>,エネルギー起源CO_2,千,2022,8068.0,8,1,2025-12-30T09:32:43.072678+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=1&spEmitCode=430015561&repDivID=1
430015561,1,1,エネルギー起源CO<sub>2</sub>,エネルギー起源CO_2,千,2023,30612.0,31,1,2025-12-30T09:32:43.072678+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=1&spEmitCode=430015561&repDivID=1
430015561,1,11,エネルギー起源CO<sub>2</sub>（廃棄物の原燃料使用）,エネルギー起源CO_2（廃棄物の原燃料使用）,,2023,1.0,0,1,2025-12-30T09:32:43.072678+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=11&spEmitCode=430015561&repDivID=1
430015561,1,20,調整後排出量,調整後排出量,千,2009,36350.0,36,1,2025-12-30T09:32:43.072678+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=430015561&repDivID=1
430015561,1,20,調整後排出量,調整後排出量,千,2010,38384.0,38,1,2025-12-30T09:32:43.072678+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=430015561&repDivID=1
430015561,1,20,調整後排出量,調整後排出量,千,2011,33870.0,34,1,2025-12-30T09:32:43.072678+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=430015561&repDivID=1
430015561,1,20,調整後排出量,調整後排出量,千,2012,38887.0,39,1,2025-12-30T09:32:43.072678+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=430015561&repDivID=1
430015561,1,20,調整後排出量,調整後排出量,千,2013,31719.0,32,1,2025-12-30T09:32:43.072678+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=430015561&repDivID=1
430015561,1,20,調整後排出量,調整後排出量,千,2014,19026.0,19,1,2025-12-30T09:32:43.072678+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=430015561&repDivID=1
430015561,1,20,調整後排出量,調整後排出量,千,2015,16667.0,17,1,2025-12-30T09:32:43.072678+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=430015561&repDivID=1
430015561,1,20,調整後排出量,調整後排出量,千,2016,17444.0,17,1,2025-12-30T09:32:43.072678+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=430015561&repDivID=1
430015561,1,20,調整後排出量,調整後排出量,千,2017,8738.0,9,1,2025-12-30T09:32:43.072678+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=430015561&repDivID=1
430015561,1,20,調整後排出量,調整後排出量,千,2018,8832.0,9,1,2025-12-30T09:32:43.072678+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=430015561&repDivID=1
430015561,1,20,調整後排出量,調整後排出量,千,2019,6571.0,7,1,2025-12-30T09:32:43.072678+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=430015561&repDivID=1
430015561,1,20,調整後排出量,調整後排出量,千,2020,4833.0,5,1,2025-12-30T09:32:43.072678+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=430015561&repDivID=1
430015561,1,20,調整後排出量,調整後排出量,千,2021,7251.0,7,1,2025-12-30T09:32:43.072678+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=430015561&repDivID=1
430015561,1,20,調整後排出量,調整後排出量,千,2022,2714.0,3,1,2025-12-30T09:32:43.072678+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=430015561&repDivID=1
430015561,1,20,調整後排出量,調整後排出量,千,2023,23033.0,23,1,2025-12-30T09:32:43.072678+00:00,https://eegs.env.go.jp/ghg-santeikohyo-result/corporate/graph?gasID=20&spEmitCode=430015561&repDivID=1
