ticker,yf_symbol,gx_company_name,mapped_company_name,emission_label,gx_industry,rank_company_name,asof_is,asof_bs,asof_cf,revenue,gross_profit,operating_income,pretax_income,net_income,total_assets,total_liabilities,total_equity,total_debt,operating_cf,capex,free_cf,market_cap,last_price,shares_outstanding,pe,pb,ps_est,net_margin,op_margin,roe,roa,debt_to_equity,revenue_yoy,net_income_yoy,exclude_reason
5947,5947.T,リンナイ株式会社,リンナイ,1.0,金属製品製造業,リンナイ株式会社,2025-03-31,2025-03-31,2025-03-31,460319000000.0,156062000000.0,46011000000.0,49886000000.0,29691000000.0,606586000000.0,,405844000000.0,,,,40101000000.0,550649790464.0,3988.0,138076675.0,16.788752,1.3718992,1.1962351987730249,0.0645009221865706,0.0999545967035903,0.0731586520929224,0.0489477172239385,,0.0700464450261049,0.1133985825177186,missing_required_fields;debt_to_equity_gt_3.0
6963,6963.T,ローム株式会社,ローム,1.0,電子部品・デバイス・電子回路製造業,ローム株式会社,2025-03-31,2025-03-31,2025-03-31,448466000000.0,74263000000.0,-40061000000.0,-56731000000.0,-50065000000.0,1440765000000.0,,889031000000.0,400000000000.0,,,-51836000000.0,817236738048.0,2117.0,386035306.0,24.36414,0.9042271,1.8222936366368911,-0.1116361106527585,-0.08932895693319,-0.0563141217797804,-0.0347489007575836,0.4499280677501684,-0.041288639958955,-1.9277309367182431,both_operating_and_net_income_negative
144A,144A.T,エネルギーパワー株式会社,エネルギーパワー,2.0,電気業,エネルギーパワー株式会社,,,,,,,,,,,,,,,,3600000000.0,,8000000.0,,4.3425813,,,,,,,,,missing_required_fields;non_positive_equity;non_positive_revenue;debt_to_equity_gt_3.0
9508,9508.T,九州電力株式会社,九州電力,2.0,電気業,九州電力株式会社,2025-03-31,2025-03-31,2025-03-31,2356832000000.0,199565000000.0,199565000000.0,180549000000.0,128766000000.0,5774025000000.0,,999468000000.0,3362954000000.0,,,431880000000.0,793093406720.0,1677.5,472782937.0,4.612191,0.7233369,0.3365082478174091,0.0546352052246405,0.0846751062443144,0.1288345399752668,0.0223009079454972,3.364744043831318,0.1016085472594308,-0.2263704308956766,debt_to_equity_gt_3.0
9504,9504.T,中国電力株式会社,中国電力,2.0,電気業,中国電力株式会社,2025-03-31,2025-03-31,2025-03-31,1529217000000.0,129148000000.0,129148000000.0,126745000000.0,98474000000.0,4360959000000.0,,707533000000.0,2931714000000.0,,,186022000000.0,355919134720.0,989.8,359586926.0,3.1903303,0.47478408,0.2327459966244162,0.0643950466153593,0.0844536779279853,0.1391793739655959,0.0225808130734547,4.143572101937295,-0.0611296525506144,-0.2623725664976292,debt_to_equity_gt_3.0
9509,9509.T,北海道電力株式会社,北海道電力,2.0,電気業,北海道電力株式会社,2025-03-31,2025-03-31,2025-03-31,902052000000.0,75838000000.0,75838000000.0,84355000000.0,64218000000.0,2244003000000.0,,391929000000.0,1262210000000.0,,,125588000000.0,213671444480.0,1040.5,205354571.0,3.7509012,0.4825832,0.2368726464549715,0.0711910178127203,0.0840727585549391,0.1638511056849582,0.0286176087999882,3.220506775461882,-0.0542386955537103,-0.0299542302986359,debt_to_equity_gt_3.0
1963,1963.T,日揮ホールディングス株式会社,日揮ホールディングス,2.0,建設業,日揮ホールディングス株式会社,2025-03-31,2025-03-31,2025-03-31,858082000000.0,18926000000.0,-11474000000.0,8263000000.0,-398000000.0,784175000000.0,,390655000000.0,34889000000.0,,,32350000000.0,452261642240.0,1870.0,241851155.0,15.353038,1.1002758,0.5270610993354947,-0.0004638251355931,-0.0133716824266212,-0.0010188017560251,-0.000507539771097,0.0893089810702538,0.0306115218083222,-0.9491698595146872,both_operating_and_net_income_negative
6178,6178.T,日本郵政株式会社,日本郵政,2.0,その他の運輸業・郵便業,日本郵政株式会社,2025-03-31,2025-03-31,2025-03-31,11468366000000.0,,,762878000000.0,370564000000.0,297149653000000.0,,9089547000000.0,3418135000000.0,,,2488602000000.0,4545039564800.0,1606.0,2830036983.0,13.025142,0.49027148,0.3963109971202523,0.0323118393675262,,0.0407681482916585,0.0012470618634711,0.3760511937503596,-0.0428792757761711,0.3791763589333234,missing_required_fields
8424,8424.T,芙蓉総合リース株式会社,芙蓉総合リース,1.0,不動産業・物品賃貸業,芙蓉総合リース株式会社,2025-03-31,2025-03-31,2025-03-31,678395000000.0,119630000000.0,64760000000.0,68863000000.0,45277000000.0,3567110000000.0,,475561000000.0,2803985000000.0,,,-136377000000.0,383019646976.0,4247.0,90185930.0,14.167529,0.82484406,0.5645968012382167,0.0667413527517154,0.0954606092320845,0.0952075548667784,0.0126929082646736,5.896162637390367,-0.042542531240385,-0.0411275122302462,debt_to_equity_gt_3.0
7832,7832.T,株式会社バンダイナムコホールディングス,バンダイナムコホールディングス,1.0,その他の製造業,株式会社バンダイナムコホールディングス,2025-03-31,2025-03-31,2025-03-31,1241513000000.0,495185000000.0,180229000000.0,184122000000.0,129301000000.0,1102636000000.0,,792853000000.0,,,,144901000000.0,2729953722368.0,4217.0,647368679.0,21.484613,3.2456787,2.198892578948428,0.1041479227362097,0.145168838344826,0.163083194488764,0.1172653532081303,,0.1821569019529427,0.273989339166248,missing_required_fields;debt_to_equity_gt_3.0
6319,6319.T,田中鉄工株式会社,田中鉄工,1.0,はん用、生産用、業務用機械器具製造業,田中鉄工株式会社,,,,,,,,,,,,,,,,,,36709400.0,,,,,,,,,,,missing_required_fields;non_positive_equity;non_positive_market_cap;non_positive_revenue;debt_to_equity_gt_3.0
