scenario,n_entities,spearman_rank_corr_vs_baseline,spearman_rank_corr_vs_default,pearson_score_corr_vs_default,top10_overlap_vs_baseline,top10_jaccard_vs_baseline,top10_overlap_vs_default,top10_jaccard_vs_default
S1_energy_heavy,183,0.998998416852923,0.998384544892029,0.998835479475005,8.0,0.6666666666666666,10.0,1.0
S2_adjusted_heavy,183,0.9957009270768041,0.9980183750675555,0.9984866278420634,8.0,0.6666666666666666,9.0,0.8181818181818182
S3_equal_core,183,0.9975381407064662,0.9974989805495412,0.9976737950077942,8.0,0.6666666666666666,10.0,1.0
