spEmitCode,year,score__energy_co2,score__adjusted_emissions,score__total_emissions,score__non_energy_co2,score__energy_co2_pre_allocation,score__total,rank__total,n_scored_metrics
580000120,2023,0.9972677595628415,0.9971910112359551,0.9972677595628415,,,0.9972433396406505,1.0,3
580006221,2023,0.9972677595628415,0.9775280898876404,0.9972677595628415,,,0.9909869555752776,2.0,3
420015816,2023,0.9890710382513661,0.9831460674157303,0.9890710382513661,,,0.9871858202582093,3.0,3
985405005,2023,0.9836065573770492,0.9606741573033708,0.9836065573770492,,,0.9763098846263335,4.0,3
280263436,2023,0.9781420765027322,0.9719101123595506,0.9781420765027322,,,0.9761591788208108,5.0,3
580038181,2023,0.9726775956284153,0.949438202247191,0.9726775956284153,,,0.965283243188935,6.0,3
260094087,2023,0.9672131147540983,0.9550561797752809,0.9672131147540983,,,0.9633449990790202,7.0,3
400095131,2023,0.9453551912568307,0.9887640449438202,0.9453551912568307,,,0.9591670992481456,8.0,3
985036501,2023,0.9398907103825137,0.9971910112359551,0.9398907103825137,,,0.958122624290427,9.0,3
800162996,2023,0.9617486338797814,0.9382022471910112,0.9617486338797814,,,0.9542566017515363,10.0,3
985642304,2023,0.9508196721311475,,0.9508196721311475,,,0.9508196721311475,11.0,2
580006526,2023,0.9562841530054644,0.9325842696629213,0.9562841530054644,,,0.9487432810328372,12.0,3
985146306,2023,0.9289617486338798,0.9662921348314607,0.9289617486338798,,,0.9408395987876557,13.0,3
985091807,2023,0.9344262295081968,0.9269662921348315,0.9344262295081968,,,0.932052613071217,14.0,3
400231841,2023,0.9234972677595629,0.9044943820224719,0.9234972677595629,,,0.9174508950250341,15.0,3
985456201,2023,0.907103825136612,0.9157303370786517,0.907103825136612,,,0.9098486243908974,16.0,3
985101000,2023,0.9180327868852459,0.8820224719101124,0.9180327868852459,,,0.9065749593931581,17.0,3
985851108,2023,0.912568306010929,0.8707865168539326,0.912568306010929,,,0.8992741003700666,18.0,3
985780104,2023,0.8688524590163934,0.9438202247191011,0.8688524590163934,,0.9333333333333333,0.8960914635394283,19.0,4
580028819,2023,0.9016393442622951,0.8651685393258427,0.9016393442622951,,,0.8900349972370603,20.0,3
580191442,2023,0.8961748633879781,0.8426966292134831,0.8961748633879781,,,0.8791590616051845,21.0,3
985794404,2023,0.8633879781420765,0.9101123595505618,0.8633879781420765,,,0.8782548267720492,22.0,3
985786805,2023,0.8524590163934426,0.9213483146067416,0.8524590163934426,,,0.8743783385522197,23.0,3
580031215,2023,0.8743169398907104,,0.8743169398907104,,,0.8743169398907102,24.0,2
500107029,2023,0.8907103825136612,0.8258426966292135,0.8907103825136612,,,0.8700706642777007,25.0,3
580000489,2023,0.8797814207650273,0.848314606741573,0.8797814207650273,,,0.8697692526666557,26.0,3
800351401,2023,0.8852459016393442,0.8202247191011236,0.8852459016393442,,,0.8645573435590014,27.0,3
580021818,2023,0.8579234972677595,0.8089887640449438,0.8579234972677595,,,0.8423533548786819,28.0,3
986331452,2023,0.8415300546448088,,0.8415300546448088,,,0.8415300546448087,29.0,2
580014081,2023,0.8087431693989071,0.898876404494382,0.8087431693989071,,,0.8374219260201946,30.0,3
985836308,2023,0.819672131147541,0.8595505617977528,0.819672131147541,,,0.8323607227180629,31.0,3
581100003,2023,0.8469945355191257,0.7921348314606742,0.8469945355191257,,,0.8295391751368912,32.0,3
740054417,2023,0.8306010928961749,0.8033707865168539,0.8306010928961749,,,0.8219369045027546,33.0,3
985376100,2023,0.825136612021858,0.797752808988764,0.825136612021858,,,0.8164235837840554,34.0,3
580004129,2023,0.8360655737704918,0.7696629213483146,0.8360655737704918,,,0.8149374570907082,35.0,3
500015052,2023,0.7704918032786885,0.8932584269662921,0.7704918032786885,,,0.8095539108156534,36.0,3
985681705,2023,0.7868852459016393,0.8370786516853933,0.7868852459016393,,,0.802855875014652,37.0,3
985331903,2023,0.8142076502732241,0.7752808988764045,0.8142076502732241,,,0.8018218657378725,38.0,3
985134029,2023,0.8032786885245902,0.7808988764044944,0.8032786885245902,,,0.7961578392136507,39.0,3
600019161,2023,0.7978142076502732,0.7584269662921348,0.7978142076502732,,,0.7852819035817749,40.0,3
710038762,2023,0.7923497267759563,0.7415730337078652,0.7923497267759563,,,0.776193506254291,41.0,3
580042649,2023,0.7759562841530054,,0.7759562841530054,,,0.7759562841530053,42.0,2
430018867,2023,0.7814207650273224,0.7471910112359551,0.7814207650273224,,,0.7705294797300694,43.0,3
987601839,2023,0.7158469945355191,0.8764044943820225,0.7213114754098361,,,0.7681753992308423,44.0,3
985794601,2023,0.726775956284153,0.8146067415730337,0.73224043715847,,,0.7559640427111417,45.0,3
985035755,2023,0.7650273224043715,0.7359550561797753,0.7650273224043715,,,0.7557770558783637,46.0,3
675007221,2023,0.7486338797814208,0.7640449438202247,0.7540983606557377,,,0.7547793276288395,47.0,3
400108462,2023,0.73224043715847,0.7865168539325843,0.7377049180327869,,,0.7507521336034876,48.0,3
985866101,2023,0.7595628415300546,0.7303370786516854,0.7595628415300546,,,0.7502637351596644,49.0,3
500011492,2023,0.6885245901639344,0.8539325842696629,0.6721311475409836,,,0.7374286240559957,50.0,3
200106551,2023,0.7431693989071039,0.7191011235955056,0.7486338797814208,,,0.7367532387793948,51.0,3
348007181,2023,0.7540983606557377,0.7078651685393258,0.7158469945355191,,,0.7306943072277388,52.0,3
985855107,2023,0.6775956284153005,0.8314606741573034,0.6885245901639344,,,0.7290365433669911,53.0,3
400108551,2023,0.7377049180327869,0.6910112359550562,0.7431693989071039,,,0.7240897648431266,54.0,3
