ticker,yf_symbol,gx_company_name,mapped_company_name,emission_label,gx_industry,rank_company_name,asof_is,asof_bs,asof_cf,revenue,gross_profit,operating_income,pretax_income,net_income,total_assets,total_liabilities,total_equity,total_debt,operating_cf,capex,free_cf,market_cap,last_price,shares_outstanding,pe,pb,ps_est,net_margin,op_margin,roe,roa,debt_to_equity,revenue_yoy,net_income_yoy
281A,281A.T,インフォメティス株式会社,インフォメティス,1.0,電気機械器具製造業,インフォメティス株式会社,2024-12-31,2024-12-31,2024-12-31,982352000.0,656546000.0,49517000.0,55133000.0,56471000.0,1994355000.0,,1273763000.0,516300000.0,,,-306265000.0,1945168128.0,398.0,4887357.0,,2.4561381,1.9801131651383619,0.057485504177728554,0.050406575239832566,0.04433399305836329,0.028315420273722584,0.40533443034536254,0.06393219266951289,-1.180402968434033
4088,4088.T,エア・ウォーター株式会社,エア・ウォーター,2.0,化学工業,エア・ウォーター株式会社,2025-03-31,2025-03-31,2025-03-31,1075929000000.0,231529000000.0,70981000000.0,73975000000.0,49074000000.0,1250149000000.0,,517139000000.0,418228000000.0,,,22097000000.0,507465138176.0,2214.5,229155635.0,10.320641,0.9879387,0.4716529977126743,0.04561081632709965,0.0659718252784338,0.0948951829198726,0.039254520861113355,0.8087342087910601,0.050158119741542606,0.1062669071235347
3861,3861.T,王子ホールディングス株式会社,王子ホールディングス,1.0,パルプ・紙・紙加工品製造業,王子ホールディングス株式会社,2025-03-31,2025-03-31,2025-03-31,1849264000000.0,349395000000.0,67687000000.0,84359000000.0,46171000000.0,2635030000000.0,,1101822000000.0,903388000000.0,,,-49514000000.0,773689245696.0,852.1,907979457.0,24.669947,0.7525802,0.418376849220014,0.024967230206179324,0.0366021292795404,0.0419042277246234,0.017522001647040073,0.8199037594094146,0.09019565304539134,-0.09133669211997164
6136,6136.T,オーエスジー株式会社,オーエスジー,1.0,はん用、生産用、業務用機械器具製造業,オーエスジー株式会社,2024-11-30,2024-11-30,2024-11-30,155517000000.0,63475000000.0,18869000000.0,19803000000.0,13439000000.0,257256000000.0,,166630000000.0,49097000000.0,,,12365000000.0,186863534080.0,2274.5,82155876.0,17.227146,1.1095107,1.201563392297948,0.08641499000109312,0.12133078698791772,0.08065174338354437,0.05223979226917934,0.2946468223009062,0.05290346167647231,-0.060669602292584
4221,4221.T,大倉工業株式会社,大倉工業,2.0,化学工業,大倉工業株式会社,2024-12-31,2024-12-31,2024-12-31,81192000000.0,15173000000.0,4568000000.0,6000000000.0,4359000000.0,103014000000.0,,62043000000.0,6119000000.0,,,-3240000000.0,55184171008.0,4885.0,11296657.0,12.631878,0.88773584,0.6796749803921569,0.053687555424179724,0.05626170066016356,0.07025772448140806,0.042314636845477316,0.09862514707541543,0.029532226773011372,0.010196987253765943
4578,4578.T,大塚ホールディングス株式会社,大塚ホールディングス,1.0,その他の製造業,大塚ホールディングス株式会社,2024-12-31,2024-12-31,2024-12-31,2329861000000.0,1669428000000.0,415992000000.0,335854000000.0,343120000000.0,3739251000000.0,,2733580000000.0,189383000000.0,,,225276000000.0,4870502875136.0,9222.0,528139537.0,12.113808,1.703471,2.090469292003257,0.14727058824539319,0.17854799063120075,0.12552037986815823,0.0917616923817096,0.06928021129800481,0.15421477007462725,1.8213392974608604
4528,4528.T,小野薬品工業株式会社,小野薬品工業,1.0,その他の製造業,小野薬品工業株式会社,2025-03-31,2025-03-31,2025-03-31,486871000000.0,338921000000.0,59748000000.0,59328000000.0,50047000000.0,1064046000000.0,,782451000000.0,146678000000.0,,,74469000000.0,1020404432896.0,2171.5,469907657.0,19.37974,1.2654613,2.0958414711412265,0.10279314233133623,0.12271833812241846,0.06396183275374433,0.04703462068369225,0.18745966201078407,-0.03143401661520828,-0.6089375434648414
6645,6645.T,オムロン株式会社,オムロン,1.0,電気機械器具製造業,オムロン株式会社,2025-03-31,2025-03-31,2025-03-31,801753000000.0,357142000000.0,56782000000.0,29001000000.0,16271000000.0,1361790000000.0,,771885000000.0,184203000000.0,,,6791000000.0,766465146880.0,3898.0,196630370.0,26.764626,0.9854182,0.9559866279016106,0.020294280158602462,0.07082231061187173,0.021079564961101718,0.011948244589841311,0.23864047105462602,-0.02077285068536483,1.0075262183837137
7004,7004.T,カナデビア株式会社,カナデビア,1.0,その他の製造業,カナデビア株式会社,2025-03-31,2025-03-31,2025-03-31,610523000000.0,114184000000.0,26947000000.0,23678000000.0,22103000000.0,609666000000.0,,189363000000.0,135763000000.0,,,-3665000000.0,159832621056.0,950.0,168244866.0,9.018416,0.89846575,0.2617962321747092,0.036203386277011675,0.04413756729885688,0.11672290785422706,0.03625427693195946,0.7169457602593959,0.0983711257115305,0.16337701984314967
7013,7013.T,株式会社ＩＨＩ,ＩＨＩ,1.0,金属製品製造業,株式会社ＩＨＩ,2025-03-31,2025-03-31,2025-03-31,1626831000000.0,374514000000.0,143517000000.0,138488000000.0,112740000000.0,2240392000000.0,,481726000000.0,514723000000.0,,,117385000000.0,2931313868800.0,2765.0,1060149699.0,22.649082,5.4218025,1.801855182744858,0.069300376007096,0.08821875167119388,0.23403345470246573,0.05032155087145464,1.0684974446054396,0.23003332095863338,-2.6527399067640074
5741,5741.T,株式会社ＵＡＣＪ,ＵＡＣＪ,2.0,非鉄金属製造業,株式会社ＵＡＣＪ,2025-03-31,2025-03-31,2025-03-31,998781000000.0,132478000000.0,55688000000.0,43028000000.0,27979000000.0,970006000000.0,,290622000000.0,349553000000.0,,,-29289000000.0,360872017920.0,1993.0,181069756.0,19.807196,1.2127031,0.3613124578060656,0.028013148027445457,0.05575596652319177,0.09627282174095561,0.028844151479475385,1.2027754264990262,0.11873012530508609,1.0189782075335545
7259,7259.T,株式会社 アイシン,アイシン,1.0,輸送用機械器具製造業,株式会社アイシン,2025-03-31,2025-03-31,2025-03-31,4896104000000.0,563489000000.0,202942000000.0,173440000000.0,107586000000.0,4643016000000.0,,2135837000000.0,794660000000.0,,,103448000000.0,2208217694208.0,3028.0,729266020.0,13.703837,1.0988764,0.45101527545329917,0.021973797942200574,0.041449691428123256,0.050371821445175824,0.023171576406370343,0.37206022744245,-0.002740165762409874,0.18469822602490837
7936,7936.T,株式会社アシックス,アシックス,1.0,繊維工業,株式会社アシックス,2024-12-31,2024-12-31,2024-12-31,678526000000.0,378878000000.0,100112000000.0,93244000000.0,63806000000.0,518994000000.0,,233287000000.0,117276000000.0,,,80519000000.0,2742080765952.0,3826.0,716696535.0,36.458927,10.043708,4.0412316785974305,0.09403619021231316,0.14754335132330965,0.2735085967070604,0.1229416910407442,0.5027112526630289,0.18943033991687463,0.8089702880471763
6113,6113.T,株式会社アマダ,アマダ,1.0,はん用、生産用、業務用機械器具製造業,株式会社アマダ,2025-03-31,2025-03-31,2025-03-31,396670000000.0,172388000000.0,49076000000.0,49157000000.0,32386000000.0,649891000000.0,,519212000000.0,10954000000.0,,,34991000000.0,584398340096.0,1860.0,314192636.0,21.690962,1.1285148,1.473260745950034,0.08164469206141124,0.12371996873975849,0.062375291788325384,0.04983297199068767,0.021097355222914723,-0.016926889714993787,-0.20306117427038728
5852,5852.T,株式会社アーレスティ,アーレスティ,2.0,非鉄金属製造業,株式会社アーレスティ,2025-03-31,2025-03-31,2025-03-31,162929000000.0,15412000000.0,3376000000.0,-576000000.0,-2892000000.0,134094000000.0,,51988000000.0,40142000000.0,,,432000000.0,18805352448.0,754.0,24940786.0,10.041285,0.3718374,0.11542053561980986,-0.017750062910838464,0.02072068201486537,-0.05562822189736093,-0.021566960490402257,0.7721397245518197,0.029541117444108922,-0.6243668008832316
2593,2593.T,株式会社伊藤園,伊藤園,1.0,食料品、飲料・たばこ・飼料製造業,株式会社伊藤園,2025-04-30,2025-04-30,2025-04-30,472716000000.0,179638000000.0,22970000000.0,22231000000.0,14156000000.0,344598000000.0,,174360000000.0,73071000000.0,,,5752000000.0,355776888832.0,3089.0,115175420.0,25.203981,1.940657,0.7526229043061796,0.029946098714661657,0.04859154333680265,0.08118834595090617,0.041079750898147985,0.41908121128699244,0.041456359234102846,-0.09546325878594253
7972,7972.T,株式会社イトーキ,イトーキ,1.0,木材・木製品、家具・装備品製造業,株式会社イトーキ,2024-12-31,2024-12-31,2024-12-31,138460000000.0,55200000000.0,10077000000.0,10071000000.0,7183000000.0,120521000000.0,,49258000000.0,37549000000.0,,,-7036000000.0,125693829120.0,2544.0,49407950.0,13.863005,2.2911282,0.9077988525205836,0.05187779864220714,0.07277914199046656,0.14582402858418936,0.05959957185884618,0.762292419505461,0.041170056773320196,0.21642675698560532
7296,7296.T,株式会社エフ・シー・シー,エフ・シー・シー,1.0,輸送用機械器具製造業,株式会社エフ・シー・シー,2025-03-31,2025-03-31,2025-03-31,256619000000.0,49305000000.0,17330000000.0,20052000000.0,15859000000.0,246208000000.0,,184221000000.0,3000000000.0,,,12757000000.0,181148303360.0,3740.0,48435378.0,10.603312,0.956953,0.7059037068962158,0.06179978879194448,0.06753202218074265,0.08608681963511218,0.06441301663634001,0.016284788379175012,0.06798649925296418,0.2966233341509279
6361,6361.T,株式会社荏原製作所,荏原製作所,1.0,はん用、生産用、業務用機械器具製造業,株式会社荏原製作所,2024-12-31,2024-12-31,2024-12-31,866668000000.0,286969000000.0,97954000000.0,99852000000.0,71402000000.0,1005085000000.0,,473277000000.0,150432000000.0,,,50048000000.0,1641951789056.0,3593.0,456986292.0,22.591803,3.446361,1.8945568419002432,0.08238679632800565,0.11302367227127343,0.15086725110241994,0.07104075774685722,0.3178519133615198,0.14136183572843364,0.18444669309755657
6932,6932.T,株式会社遠藤照明,遠藤照明,1.0,電気機械器具製造業,株式会社遠藤照明,2025-03-31,2025-03-31,2025-03-31,53735000000.0,20820000000.0,4930000000.0,5412000000.0,4799000000.0,67667000000.0,,44050000000.0,13082000000.0,,,-1552000000.0,35149312000.0,2380.0,14768618.0,6.8390803,0.7770551,0.6541232343909928,0.08930864427282033,0.0917465339164418,0.10894438138479001,0.07092083290230097,0.2969807037457435,0.03924109387691943,0.03226500322650039
