事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業,推移_合計_千tCO2_2023
西部石油株式会社,8010001067484,985352734,山口県山陽小野田市,運輸業，郵便業 倉庫業 倉庫業（冷蔵倉庫業を除く） 倉庫業（冷蔵倉庫業を除く）,392 人,（記載なし）,（記載なし）,西部石油株式会社山陽小野田事業所,倉庫業,山口県山陽小野田市,"975,075 tCO2",975075,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985352734&office=西部石油株式会社山陽小野田事業所,西部石油株式会社,西部石油株式会社山陽小野田事業所,山口県,985352734,運輸業，郵便業 倉庫業 倉庫業（冷蔵倉庫業を除く） 倉庫業（冷蔵倉庫業を除く）,
西部石油株式会社,8010001067484,985352734,山口県山陽小野田市,運輸業，郵便業 倉庫業 倉庫業（冷蔵倉庫業を除く） 倉庫業（冷蔵倉庫業を除く）,392 人,（記載なし）,（記載なし）,山陽小野田事業所,倉庫業,山口県山陽小野田市,"4,362 tCO2",4362,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985352734&office=山陽小野田事業所,西部石油株式会社,山陽小野田事業所,山口県,985352734,運輸業，郵便業 倉庫業 倉庫業（冷蔵倉庫業を除く） 倉庫業（冷蔵倉庫業を除く）,985352734.0
