事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業
大王製紙株式会社,9500001014345,710034905,愛媛県四国中央市,製造業 パルプ・紙・紙加工品製造業 紙製造業 洋紙製造業,"2,840 人",3880,JP3440400004,大王製紙株式会社　三島工場,パルプ・紙・紙加工品製造業,愛媛県四国中央市,"2,399,315 tCO2",2399315,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=710034905&office=大王製紙株式会社　三島工場,大王製紙株式会社,大王製紙株式会社　三島工場,愛媛県,710034905,製造業 パルプ・紙・紙加工品製造業 紙製造業 洋紙製造業
大王製紙株式会社,9500001014345,710034905,愛媛県四国中央市,製造業 パルプ・紙・紙加工品製造業 紙製造業 洋紙製造業,"2,840 人",3880,JP3440400004,大王製紙株式会社　可児工場,パルプ・紙・紙加工品製造業,岐阜県可児市,"206,277 tCO2",206277,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=710034905&office=大王製紙株式会社　可児工場,大王製紙株式会社,大王製紙株式会社　可児工場,岐阜県,710034905,製造業 パルプ・紙・紙加工品製造業 紙製造業 洋紙製造業
大王製紙株式会社,9500001014345,710034905,愛媛県四国中央市,製造業 パルプ・紙・紙加工品製造業 紙製造業 洋紙製造業,"2,840 人",3880,JP3440400004,大王製紙株式会社　可児工場（川辺）,パルプ・紙・紙加工品製造業,岐阜県川辺町,"5,306 tCO2",5306,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=710034905&office=大王製紙株式会社　可児工場（川辺）,大王製紙株式会社,大王製紙株式会社　可児工場（川辺）,岐阜県,710034905,製造業 パルプ・紙・紙加工品製造業 加工紙製造業 塗工紙製造業（印刷用紙を除く）
