事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL
西日本電信電話株式会社,7120001077523,586770621,大阪府大阪市,情報通信業 通信業 固定電気通信業 地域電気通信業（有線放送電話業を除く）,（記載なし）,（記載なし）,（記載なし）,（記載なし）,（記載なし）,400 tCO2,（未公開年度）,,
西日本電信電話株式会社,7120001077523,586770621,大阪府大阪市,情報通信業 通信業 固定電気通信業 地域電気通信業（有線放送電話業を除く）,（記載なし）,（記載なし）,（記載なし）,（記載なし）,（記載なし）,"354,605 tCO2",（未公開年度）,,
