事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL
エヌ・ティ・ティコミュニケーションズ株式会社,7010001064648,986105907,東京都千代田区,情報通信業 通信業 固定電気通信業 長距離電気通信業,（記載なし）,（記載なし）,（記載なし）,100 tCO2,"5,260 tCO2","107,474 tCO2",（未公開年度）,,
エヌ・ティ・ティコミュニケーションズ株式会社,7010001064648,986105907,東京都千代田区,情報通信業 通信業 固定電気通信業 長距離電気通信業,（記載なし）,（記載なし）,（記載なし）,（記載なし）,（記載なし）,（記載なし）,（未公開年度）,,
