事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL
ソフトバンク株式会社,9010401052465,987072669,東京都港区,情報通信業 通信業 移動電気通信業 移動電気通信業,（記載なし）,（記載なし）,（記載なし）,（記載なし）,300 tCO2,（記載なし）,（未公開年度）,,
ソフトバンク株式会社,9010401052465,987072669,東京都港区,情報通信業 通信業 移動電気通信業 移動電気通信業,（記載なし）,（記載なし）,（記載なし）,（記載なし）,"235,853 tCO2","364,556 tCO2",（未公開年度）,,
