事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL
株式会社アイシン,6180301013611,400000066,愛知県刈谷市,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車部分品・附属品製造業,"35,099 人",（記載なし）,（記載なし）,（記載なし）,"1,868 tCO2","1,737 tCO2",（未公開年度）,,
株式会社アイシン,6180301013611,400000066,愛知県刈谷市,製造業 輸送用機械器具製造業 自動車・同附属品製造業 自動車部分品・附属品製造業,"35,099 人",（記載なし）,（記載なし）,（記載なし）,"108,896 tCO2","97,032 tCO2",（未公開年度）,,
