事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL
横浜市,3000020141003,995500008,神奈川県横浜市,公務（他に分類されるものを除く） 地方公務 市町村の機関 市町村の機関,"20,490 人",（記載なし）,（記載なし）,413 tCO2,"1,010 tCO2","15,589 tCO2",（未公開年度）,,
横浜市,3000020141003,995500008,神奈川県横浜市,公務（他に分類されるものを除く） 地方公務 市町村の機関 市町村の機関,"20,490 人",（記載なし）,（記載なし）,（記載なし）,（記載なし）,（記載なし）,（未公開年度）,,
