事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業,推移_合計_千tCO2_2022
東洋紡株式会社,2120001059666,580005000,大阪府大阪市,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業,（記載なし）,（記載なし）,（記載なし）,敦賀事業所第１,繊維工業,福井県敦賀市,"284,712 tCO2",284712,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580005000&office=敦賀事業所第１,東洋紡株式会社,敦賀事業所第１,福井県,580005000,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業,580005000.0
東洋紡株式会社,2120001059666,580005000,大阪府大阪市,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業,（記載なし）,（記載なし）,（記載なし）,岩国事業所,繊維工業,山口県岩国市,"155,058 tCO2",155058,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580005000&office=岩国事業所,東洋紡株式会社,岩国事業所,山口県,580005000,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業,580005000.0
東洋紡株式会社,2120001059666,580005000,大阪府大阪市,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業,（記載なし）,（記載なし）,（記載なし）,犬山工場,プラスチック製品製造業（別掲を除く）,愛知県犬山市,"142,587 tCO2",142587,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580005000&office=犬山工場,東洋紡株式会社,犬山工場,愛知県,580005000,製造業 プラスチック製品製造業（別掲を除く） プラスチックフィルム・シート・床材・合成皮革製造業 プラスチックフィルム製造業,580005000.0
東洋紡株式会社,2120001059666,580005000,大阪府大阪市,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業,（記載なし）,（記載なし）,（記載なし）,宇都宮工場,プラスチック製品製造業（別掲を除く）,栃木県宇都宮市,"62,323 tCO2",62323,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580005000&office=宇都宮工場,東洋紡株式会社,宇都宮工場,栃木県,580005000,製造業 プラスチック製品製造業（別掲を除く） プラスチックフィルム・シート・床材・合成皮革製造業 プラスチックフィルム製造業,
東洋紡株式会社,2120001059666,580005000,大阪府大阪市,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業,（記載なし）,（記載なし）,（記載なし）,敦賀事業所第２,繊維工業,福井県敦賀市,"12,469 tCO2",12469,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580005000&office=敦賀事業所第２,東洋紡株式会社,敦賀事業所第２,福井県,580005000,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業,580005000.0
東洋紡株式会社,2120001059666,580005000,大阪府大阪市,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業,（記載なし）,（記載なし）,（記載なし）,富山事業所　庄川工場,繊維工業,富山県射水市,"12,005 tCO2",12005,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580005000&office=富山事業所　庄川工場,東洋紡株式会社,富山事業所　庄川工場,富山県,580005000,製造業 繊維工業 染色整理業 綿・スフ・麻織物機械染色業,
東洋紡株式会社,2120001059666,580005000,大阪府大阪市,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業,（記載なし）,（記載なし）,（記載なし）,総合研究所,繊維工業,滋賀県大津市,"10,865 tCO2",10865,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580005000&office=総合研究所,東洋紡株式会社,総合研究所,滋賀県,580005000,製造業 繊維工業 管理，補助的経済活動を行う事業所（11繊維工業） 主として管理事務を行う本社等,580005000.0
東洋紡株式会社,2120001059666,580005000,大阪府大阪市,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 化学繊維製造業,（記載なし）,（記載なし）,（記載なし）,富山事業所　井波工場,繊維工業,富山県南砺市,"1,555 tCO2",1555,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=580005000&office=富山事業所　井波工場,東洋紡株式会社,富山事業所　井波工場,富山県,580005000,製造業 繊維工業 製糸業，紡績業，化学繊維・ねん糸等製造業 綿紡績業,
