事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL,詳細_事業者名,詳細_事業所名,詳細_所在都道府県,詳細_特定排出者コード,詳細_事業所において行われる事業,推移_合計_千tCO2_2022
出光興産株式会社,9010001011318,985052701,東京都千代田区,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,"4,917 人",5019,（記載なし）,千葉事業所(石油),石油製品・石炭製品製造業,千葉県市原市,"2,073,739 tCO2",2073739,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985052701&office=千葉事業所(石油),出光興産株式会社,千葉事業所(石油),千葉県,985052701,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,
出光興産株式会社,9010001011318,985052701,東京都千代田区,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,"4,917 人",5019,（記載なし）,愛知事業所,石油製品・石炭製品製造業,愛知県知多市,"2,048,889 tCO2",2048889,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985052701&office=愛知事業所,出光興産株式会社,愛知事業所,愛知県,985052701,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,985052701.0
出光興産株式会社,9010001011318,985052701,東京都千代田区,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,"4,917 人",5019,（記載なし）,徳山事業所,化学工業,山口県周南市,"1,976,282 tCO2",1976282,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985052701&office=徳山事業所,出光興産株式会社,徳山事業所,山口県,985052701,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）,
出光興産株式会社,9010001011318,985052701,東京都千代田区,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,"4,917 人",5019,（記載なし）,北海道製油所,石油製品・石炭製品製造業,北海道苫小牧市,"1,527,738 tCO2",1527738,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985052701&office=北海道製油所,出光興産株式会社,北海道製油所,北海道,985052701,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,985052701.0
出光興産株式会社,9010001011318,985052701,東京都千代田区,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,"4,917 人",5019,（記載なし）,千葉事業所(化学),化学工業,千葉県市原市,"1,097,271 tCO2",1097271,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985052701&office=千葉事業所(化学),出光興産株式会社,千葉事業所(化学),千葉県,985052701,製造業 化学工業 有機化学工業製品製造業 石油化学系基礎製品製造業（一貫して生産される誘導品を含む）,
出光興産株式会社,9010001011318,985052701,東京都千代田区,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,"4,917 人",5019,（記載なし）,次世代技術研究所,学術・開発研究機関,千葉県袖ケ浦市,"6,297 tCO2",6297,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985052701&office=次世代技術研究所,出光興産株式会社,次世代技術研究所,千葉県,985052701,学術研究，専門・技術サービス業 学術・開発研究機関 自然科学研究所 理学研究所,985052701.0
出光興産株式会社,9010001011318,985052701,東京都千代田区,製造業 石油製品・石炭製品製造業 石油精製業 石油精製業,"4,917 人",5019,（記載なし）,営業研究所,学術・開発研究機関,千葉県市原市,"3,040 tCO2",3040,https://eegs.env.go.jp/ghg-santeikohyo-result/office?spEmitCode=985052701&office=営業研究所,出光興産株式会社,営業研究所,千葉県,985052701,学術研究，専門・技術サービス業 学術・開発研究機関 自然科学研究所 工学研究所,
