事業者名,法人番号,特定排出者コード,所在地,主たる事業,従業員数,株式銘柄コード,ISINコード,事業所名,一覧_事業,一覧_所在地,一覧_温室効果ガス算定排出量_text,一覧_温室効果ガス算定排出量_tCO2,詳細ページURL
ＴＯＰＰＡＮ株式会社,8010501050089,818061741,東京都台東区,製造業 印刷・同関連業 印刷業 オフセット印刷業（紙に対するもの）,"10,911 人",（記載なし）,（記載なし）,（記載なし）,-20 tCO2,（記載なし）,（未公開年度）,,
ＴＯＰＰＡＮ株式会社,8010501050089,818061741,東京都台東区,製造業 印刷・同関連業 印刷業 オフセット印刷業（紙に対するもの）,"10,911 人",（記載なし）,（記載なし）,（記載なし）,-50 tCO2,（記載なし）,（未公開年度）,,
