rank,entity_id,core_yes,core_den,structure_coverage,impl_strength,transparency_strength,supplychain_strength,transition_strength,innovation_strength,regulation_strength,company_key,notion__rank,notion__company_name,notion__sbti_joined,notion__scope12_disclosure,notion__scope3_disclosure,notion__icp_status,notion__voluntary_credit_usage,notion__cdp_climate_score,notion__jplatpat_patent_count,notion__survey_answered,notion_matched,patent__company_name,patent__source_files,patent__asof,patent__doc_count_total,patent__apps_count_5y,patent__grant_count,patent__grant_rate,patent__valid_patent_count,patent__valid_patent_rate,patent__maintenance_event_count,patent__maintenance_event_rate,patent__coapp_count,patent__coapp_rate,patent__fi_unique_count,patent_matched,notion__sbti_joined_num,notion__scope12_disclosure_num,notion__scope3_disclosure_num,notion__icp_status_num,notion__voluntary_credit_usage_num,notion__survey_answered_num,phase3_core_ratio,structure_coverage_norm,impl_strength_norm,transparency_strength_norm,supplychain_strength_norm,transition_strength_norm,innovation_strength_norm,regulation_strength_norm,phase3_score,notion_score,patent_score,credibility_score,mcda_A,mcda_B,mcda_C,final_score,final_rank,final_top20_flag
11,日本紙パルプ商事,14,27,7,5,3,2,2,1,1,日本紙パルプ商事,1.0,日本紙パルプ商事株式会社,いいえ,両方,はい,検討中,なし,1.0,1.0,いいえ,True,日本紙パルプ商事,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/日本紙パルプ商事_国内文献.csv,2026-01-06,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,True,0,1,1,0.5,0,0,0.5185185185185185,1.0,0.7142857142857143,0.75,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.6576719576719579,0.5,0.35328505356684453,1.0,0.5946031746031747,0.35328505356684453,1.0,0.5912211973198243,20,True
12,王子ホールディングス,14,27,6,5,4,2,1,2,0,王子ホールディングス,20.0,王子ホールディングス株式会社,いいえ,両方,はい,いいえ,,1.0,4800.0,はい,True,,,,,,,,,,,,,,,False,0,1,1,0,,1,0.5185185185185185,0.8,0.7142857142857143,1.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6443386243386243,0.5,0.0,0.7,0.5866031746031746,0.0,0.7,0.40397142857142854,29,False
13,伊藤忠商事,14,27,6,5,3,3,2,1,0,伊藤忠商事,13.0,伊藤忠商事株式会社,いいえ,両方,はい,いいえ,なし,1.0,25.0,いいえ,True,伊藤忠商事,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/伊藤忠商事_国内文献.csv,2026-01-06,25.0,2.0,24.0,0.96,25.0,1.0,18.0,0.72,19.0,0.76,130.0,True,0,1,1,0,0,0,0.5185185185185185,0.8,0.7142857142857143,0.75,1.0,0.5,0.3333333333333333,0.0,0.6610052910052912,0.4,0.6442824180045927,1.0,0.5566031746031748,0.6442824180045927,1.0,0.6759702748730361,12,True
14,JR西日本,13,27,6,4,3,3,1,2,0,JR西日本,,,,,,,,,,,False,,,,,,,,,,,,,,,False,,,,,,,0.48148148148148145,0.8,0.5714285714285714,0.75,1.0,0.0,0.6666666666666666,0.0,0.6111375661375661,0.0,0.0,0.0,0.36668253968253967,0.0,0.0,0.16500714285714285,35,False
15,三浦工業,13,27,6,4,1,3,2,3,0,三浦工業,34.0,三浦工業株式会社,はい,両方,はい,はい,補完的利用,1.0,4918.0,いいえ,True,,,,,,,,,,,,,,,False,1,1,1,1,0.5,0,0.48148148148148145,0.8,0.5714285714285714,0.25,1.0,0.5,1.0,0.0,0.6028042328042329,0.9,0.0,0.5,0.7216825396825397,0.0,0.5,0.42475714285714283,28,False
16,キリンホールディングス,12,27,7,4,3,1,1,2,1,キリンホールディングス,16.0,キリンホールディングス株式会社,はい,両方,はい,はい,なし,4.0,351.0,いいえ,True,キリンホールディングス,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/キリンホールディングス_国内文献.csv,2026-01-06,351.0,59.0,349.0,0.9943019943019944,351.0,1.0,217.0,0.6182336182336182,213.0,0.6068376068376068,698.0,True,1,1,1,1,0,0,0.4444444444444444,1.0,0.5714285714285714,0.75,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.5615079365079365,0.8,0.9400151901205793,1.0,0.6569047619047619,0.9400151901205793,1.0,0.8246124593993456,4,True
17,双日_removed,12,27,6,6,2,1,2,1,0,双日,3.0,双日株式会社,いいえ,両方,はい,いいえ,検討中,1.0,8.0,いいえ,True,双日,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/双日_国内文献.csv,2026-01-06,8.0,2.0,8.0,1.0,8.0,1.0,6.0,0.75,7.0,0.875,48.0,True,0,1,1,0,0.25,0,0.4444444444444444,0.8,0.8571428571428571,0.5,0.3333333333333333,0.5,0.3333333333333333,0.0,0.571984126984127,0.45,0.6059228634938567,1.0,0.5231904761904762,0.6059228634938567,1.0,0.6475087165085642,15,True
18,オムロン,12,27,6,5,2,1,2,2,0,オムロン,37.0,オムロン株式会社,はい,両方,はい,いいえ,補完的利用,2.0,39533.0,いいえ,True,,,,,,,,,,,,,,,False,1,1,1,0,0.5,0,0.4444444444444444,0.8,0.7142857142857143,0.5,0.3333333333333333,0.5,0.6666666666666666,0.0,0.5600793650793651,0.7,0.0,0.5,0.616047619047619,0.0,0.5,0.3772214285714286,33,False
19,山善,12,27,6,5,1,2,3,1,0,山善,2.0,株式会社山善,いいえ,両方,はい,いいえ,検討中,1.0,23.0,いいえ,True,山善,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/山善_国内文献.csv,2026-01-06,23.0,17.0,23.0,1.0,23.0,1.0,5.0,0.217391304347826,2.0,0.0869565217391304,62.0,True,0,1,1,0,0.25,0,0.4444444444444444,0.8,0.7142857142857143,0.25,0.6666666666666666,1.0,0.3333333333333333,0.0,0.5767460317460319,0.45,0.708360579768752,1.0,0.5260476190476191,0.708360579768752,1.0,0.6846476314904918,11,True
20,豊田通商,11,27,7,4,2,1,2,1,1,豊田通商,12.0,豊田通商株式会社,はい,両方,はい,はい,なし,4.0,91.0,いいえ,True,豊田通商,/Users/shou/hobby/CPX/nikkei-stock/data/source/patent_counts/豊田通商_国内文献.csv,2026-01-06,91.0,14.0,91.0,1.0,91.0,1.0,34.0,0.3736263736263736,85.0,0.934065934065934,298.0,True,1,1,1,1,0,0,0.4074074074074074,1.0,0.5714285714285714,0.5,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5318783068783068,0.8,0.7793456144798905,1.0,0.6391269841269842,0.7793456144798905,1.0,0.7603781079251046,8,True
