spEmitCode,year,score__energy_co2,score__adjusted_emissions,score__total_emissions,score__non_energy_co2,score__energy_co2_pre_allocation,score__total,rank__total,n_scored_metrics,quality_weight,score__phaseE,rank__phaseE,gap_to_next
985642304,2023,0.9508196721311476,,0.9508196721311476,,,0.9508196721311476,11.0,2,0.6615384615384615,0.6290037831021438,1.0,0.05060949978982776
580031215,2023,0.8743169398907104,,0.8743169398907104,,,0.8743169398907102,24.0,2,0.6615384615384615,0.578394283312316,2.0,0.021689785624211866
986331452,2023,0.8415300546448088,,0.8415300546448088,,,0.8415300546448087,29.0,2,0.6615384615384615,0.5567044976881041,3.0,0.04337957124842373
580042649,2023,0.7759562841530054,,0.7759562841530054,,,0.7759562841530053,42.0,2,0.6615384615384615,0.5133249264396804,4.0,0.014703256619355232
580000120,2023,0.9972677595628416,0.9971910112359552,0.9972677595628416,,,0.9972433396406504,1.0,3,0.5,0.4986216698203252,5.0,0.0031281920326863832
580006221,2023,0.9972677595628416,0.9775280898876404,0.9972677595628416,,,0.9909869555752776,2.0,3,0.5,0.4954934777876388,6.0,0.0019005676585341913
420015816,2023,0.989071038251366,0.9831460674157304,0.989071038251366,,,0.9871858202582092,3.0,3,0.5,0.4935929101291046,7.0,0.005437967815937805
985405005,2023,0.9836065573770492,0.9606741573033708,0.9836065573770492,,,0.9763098846263336,4.0,3,0.5,0.4881549423131668,8.0,7.535290276139417e-05
280263436,2023,0.9781420765027322,0.9719101123595506,0.9781420765027322,,,0.9761591788208108,5.0,3,0.5,0.4880795894104054,9.0,0.005437967815937916
580038181,2023,0.9726775956284152,0.949438202247191,0.9726775956284152,,,0.965283243188935,6.0,3,0.5,0.4826416215944675,10.0,0.0009691220549574164
