row_index,ticker,yf_symbol,gx_company_name,mapped_company_name,emission_label,gx_industry,rank_company_name,asof_is,asof_bs,asof_cf,revenue,gross_profit,operating_income,pretax_income,net_income,total_assets,total_liabilities,total_equity,total_debt,operating_cf,capex,free_cf,market_cap,last_price,shares_outstanding,pe,pb,ps_est,net_margin,op_margin,roe,roa,debt_to_equity,revenue_yoy,net_income_yoy,exclude_reason,equity_ratio,free_cf_margin,operating_cf_margin,s_op_margin,s_net_margin,s_roe,s_revenue_yoy,s_net_income_yoy,s_debt_to_equity,s_equity_ratio,s_roa,s_free_cf_margin,s_operating_cf_margin,s_pe,s_pb,s_ps,missing_score_items,score_profitability,score_growth,score_balance,score_cashflow,score_valuation,score_raw,missing_penalty,score_final,top_strengths,_screen_name_raw,_screen_key,env_match_status,env_matched_key,env_matched_name_raw,env_spEmitCode,env_match_score,env_candidate_count,top_candidates
0,1662,1662.T,石油資源開発株式会社,石油資源開発,2.0,鉱業・採石業・砂利採取業,※ 石油資源開発株式会社,2025-03-31,2025-03-31,2025-03-31,389082000000.0,99157000000.0,62013000000.0,108614000000.0,81153000000.0,681598000000.0,,527742000000.0,0.0,,,39919000000.0,399806398464.0,1562.0,255958000.0,4.6045456,0.73912317,1.0275633374558577,0.2085755701882893,0.1593828550279889,0.153774003206112,0.1190628493628209,0.0023212372930829,0.1940048425258467,0.5123273886062503,,0.7742716381210039,0.1025979099521437,,94.37229437229438,98.7012987012987,90.9090909090909,94.8051948051948,87.87878787878788,99.13419913419914,96.96969696969695,97.83549783549785,86.14718614718615,50.0,96.0698689956332,73.91304347826086,28.13852813852814,1,94.66089466089466,91.34199134199132,97.97979797979798,68.07359307359307,66.04048020414072,86.37973725428634,2.0,84.37973725428634,"balance=98.0,profitability=94.7",石油資源開発株式会社,石油資源開発,EXACT,石油資源開発,石油資源開発株式会社,985354701,1.0,1.0,"[{""env_key"": ""石油資源開発"", ""score"": 1.0}]"
1,9107,9107.T,川崎汽船株式会社,川崎汽船,2.0,水運業,川崎汽船株式会社,2025-03-31,2025-03-31,2025-03-31,1047944000000.0,182253000000.0,102855000000.0,319973000000.0,305384000000.0,2210049000000.0,,1648433000000.0,344860000000.0,,,141083000000.0,1328030023680.0,2101.0,632094302.0,6.997968,0.7886593,1.267271937889811,0.2303279133303631,0.0981493285900773,0.1852571502754434,0.1300885645005022,0.2092047417153138,0.0939569221004676,1.9942836972614693,,0.7458807474404414,0.134628377088852,,74.45887445887446,99.56709956709958,95.23809523809524,78.35497835497836,96.96969696969695,73.59307359307358,93.5064935064935,99.56709956709958,92.2077922077922,50.0,89.51965065502183,70.0,22.077922077922075,1,89.75468975468976,87.66233766233766,88.88888888888887,71.1038961038961,60.53252424431464,81.98211528888385,2.0,79.98211528888385,"profitability=89.8,balance=88.9",川崎汽船株式会社,川崎汽船,EXACT,川崎汽船,川崎汽船株式会社,985134029,1.0,1.0,"[{""env_key"": ""川崎汽船"", ""score"": 1.0}]"
2,9101,9101.T,日本郵船株式会社,日本郵船,2.0,水運業,日本郵船株式会社,2025-03-31,2025-03-31,2025-03-31,2588700000000.0,469338000000.0,210820000000.0,515422000000.0,477707000000.0,4320269000000.0,,2918874000000.0,738461000000.0,,,304249000000.0,2022373588992.0,4898.0,412897838.0,6.7640724,0.7262661,0.7812313473913547,0.1845354811295244,0.0814385598949279,0.1636613981967019,0.1105734388298506,0.2529951618329534,0.0843903419848863,1.089679488020717,,0.6756232077215563,0.1175296480859118,,66.23376623376623,98.26839826839829,92.64069264069263,75.75757575757575,95.23809523809524,68.39826839826839,85.28138528138528,96.96969696969695,88.74458874458875,50.0,90.82969432314412,75.65217391304347,43.290043290043286,1,85.71428571428572,85.4978354978355,83.54978354978354,69.37229437229438,69.92397050874362,80.41824925596522,2.0,78.41824925596522,"profitability=85.7,growth=85.5",日本郵船株式会社,日本郵船,EXACT,日本郵船,日本郵船株式会社,985681705,1.0,1.0,"[{""env_key"": ""日本郵船"", ""score"": 1.0}]"
4,9104,9104.T,株式会社商船三井,商船三井,2.0,水運業,株式会社商船三井,2025-03-31,2025-03-31,2025-03-31,1775470000000.0,317665000000.0,150852000000.0,452735000000.0,425492000000.0,4984449000000.0,,2686669000000.0,1815443000000.0,,,360499000000.0,1546629021696.0,4503.0,343466354.0,5.381471,0.5985447,0.8711096338975032,0.2303279133303631,0.0849645445994581,0.1583715746152577,0.0853638987980416,0.6757226141366874,0.0906424917317398,0.6261814401626595,,0.5390102296161522,0.1983050640169281,,69.6969696969697,99.56709956709958,92.2077922077922,77.05627705627705,89.6103896103896,35.930735930735935,65.36796536796537,92.2077922077922,99.56709956709958,50.0,93.88646288209608,85.65217391304347,36.36363636363637,1,87.15728715728717,83.33333333333333,64.5021645021645,74.78354978354979,71.96742438625864,77.72693183975699,2.0,75.72693183975699,"profitability=87.2,growth=83.3",株式会社商船三井,商船三井,EXACT,商船三井,株式会社　商船三井,985091807,1.0,1.0,"[{""env_key"": ""商船三井"", ""score"": 1.0}]"
5,6988,6988.T,日東電工株式会社,日東電工,2.0,化学工業,日東電工株式会社,2025-03-31,2025-03-31,2025-03-31,1013878000000.0,395513000000.0,185668000000.0,185329000000.0,137237000000.0,1321920000000.0,,1044083000000.0,455000000.0,,,111905000000.0,2457510608896.0,3648.0,673659700.0,19.911575,2.3448393,2.4238721117294193,0.1353584948090401,0.1831265694689104,0.1314426151943858,0.1038164185427257,0.0023212372930829,0.1078950847903978,0.3365634647785818,,0.7898231360445412,0.1103732401728807,,96.1038961038961,93.5064935064935,83.11688311688312,83.98268398268398,82.25108225108225,99.13419913419914,98.26839826839829,95.23809523809524,87.01298701298701,50.0,30.567685589519655,10.434782608695649,6.060606060606055,1,90.90909090909092,83.11688311688312,97.54689754689754,68.50649350649351,15.68769141960712,76.0346111443985,2.0,74.0346111443985,"balance=97.5,profitability=90.9",日東電工株式会社,日東電工,EXACT,日東電工,日東電工株式会社,580064771,1.0,1.0,"[{""env_key"": ""日東電工"", ""score"": 1.0}]"
6,4021,4021.T,日産化学株式会社,日産化学,2.0,化学工業,日産化学株式会社,2025-03-31,2025-03-31,2025-03-31,251365000000.0,116541000000.0,56833000000.0,59470000000.0,43043000000.0,330763000000.0,,233290000000.0,40474000000.0,,,40810000000.0,733207461888.0,5437.0,134855146.0,16.339594,3.0805092,2.916903554146361,0.1712370457303124,0.2260975076084578,0.1845042650778001,0.1300885645005022,0.1734922199837112,0.1087757217529388,0.1317277101464518,,0.7053086348835873,0.1623535496190798,,98.7012987012987,97.4025974025974,94.8051948051948,84.4155844155844,66.23376623376623,78.35497835497836,88.74458874458875,99.56709956709958,96.96969696969695,50.0,41.92139737991266,6.521739130434778,3.8961038961038974,1,96.96969696969695,75.32467532467533,88.8888888888889,73.48484848484848,17.446413468817113,75.57331122667176,2.0,73.57331122667176,"profitability=97.0,balance=88.9",日産化学株式会社,日産化学,EXACT,日産化学,日産化学株式会社,985612501,1.0,1.0,"[{""env_key"": ""日産化学"", ""score"": 1.0}]"
7,6223,6223.T,株式会社西部技研,西部技研,1.0,はん用、生産用、業務用機械器具製造業,株式会社西部技研,2024-12-31,2024-12-31,2024-12-31,32069000000.0,10904000000.0,4031000000.0,4221000000.0,3336000000.0,42795000000.0,,29912000000.0,1524000000.0,,,4833000000.0,34501500928.0,1683.0,20500000.0,10.335299,1.121257,1.0758520979138733,0.1040256945960273,0.125697714303533,0.111527146295801,0.0779530318962495,0.0509494517250601,0.1164142732811139,-0.0276887204896532,,0.6989601588970674,0.1507062895631295,,87.87878787878788,90.9090909090909,74.89177489177489,85.71428571428571,46.75324675324675,93.07359307359307,87.01298701298701,90.04329004329004,95.23809523809524,50.0,74.67248908296943,45.21739130434783,25.97402597402597,1,84.55988455988455,66.23376623376623,90.04329004329004,72.61904761904762,48.621302120447744,74.80942908430093,2.0,72.80942908430093,"balance=90.0,profitability=84.6",株式会社西部技研,西部技研,EXACT,西部技研,株式会社西部技研,800162996,1.0,1.0,"[{""env_key"": ""西部技研"", ""score"": 1.0}]"
10,6845,6845.T,アズビル株式会社,アズビル,1.0,電気機械器具製造業,アズビル株式会社,2025-03-31,2025-03-31,2025-03-31,300378000000.0,131863000000.0,41486000000.0,53132000000.0,40955000000.0,315072000000.0,,237203000000.0,5482000000.0,,,33736000000.0,724408008704.0,1428.0,507288530.0,17.077253,3.1432283,2.411654677453076,0.1363448721277856,0.1381126447343014,0.1726580186591232,0.1299861618931545,0.023111006184576,0.0324467756016746,0.3558115668553647,,0.7528533160674385,0.1123118204395794,,91.34199134199136,93.93939393939394,93.93939393939394,41.125541125541126,83.54978354978356,96.53679653679652,94.8051948051948,98.7012987012987,87.87878787878788,50.0,39.30131004366813,5.21739130434783,6.493506493506496,1,93.07359307359307,62.33766233766234,96.68109668109668,68.93939393939394,17.004069280507483,72.61734920881494,2.0,70.61734920881494,"balance=96.7,profitability=93.1",アズビル株式会社,アズビル,EXACT,アズビル,アズビル株式会社,985836308,1.0,1.0,"[{""env_key"": ""アズビル"", ""score"": 1.0}]"
11,6507,6507.T,シンフォニアテクノロジー株式会社,シンフォニアテクノロジー,1.0,電気機械器具製造業,シンフォニアテクノロジー株式会社,2025-03-31,2025-03-31,2025-03-31,119150000000.0,31855000000.0,15734000000.0,16789000000.0,12097000000.0,136467000000.0,,80127000000.0,14935000000.0,,,8082000000.0,265477586944.0,9410.0,28212283.0,21.95674,3.2094254,2.228095568140999,0.1015274863617289,0.1320520352496852,0.1509728306313727,0.0886441410743989,0.186391603329714,0.1606612310899402,0.6116440181188383,,0.5871529380729407,0.0678304657994125,,89.17748917748918,90.04329004329004,89.6103896103896,92.2077922077922,89.17748917748918,77.48917748917748,72.2943722943723,93.07359307359307,72.2943722943723,50.0,24.017467248908297,4.7826086956521685,9.090909090909092,1,89.61038961038962,90.6926406926407,80.95238095238095,61.14718614718615,12.63032834515652,72.27874838597262,2.0,70.27874838597262,"growth=90.7,profitability=89.6",シンフォニアテクノロジー株式会社,シンフォニアテクノロジー,EXACT,シンフォニアテクノロジー,シンフォニアテクノロジー株式会社,985331903,1.0,1.0,"[{""env_key"": ""シンフォニアテクノロジー"", ""score"": 1.0}]"
12,5334,5334.T,日本特殊陶業株式会社,日本特殊陶業,2.0,窯業・土石製品製造業,日本特殊陶業株式会社,2025-03-31,2025-03-31,2025-03-31,652993000000.0,258100000000.0,128595000000.0,133313000000.0,92625000000.0,990966000000.0,,674573000000.0,156683000000.0,,,98143000000.0,1352460402688.0,6829.0,198046621.0,14.124971,1.8799715,2.071171364299464,0.1418468498130914,0.1969316669550822,0.13730908293098,0.0934694025829342,0.2322698951781349,0.0626653821242468,0.1207438956513322,,0.6807226484056971,0.1502971701074896,,98.26839826839829,94.8051948051948,85.71428571428571,64.06926406926407,62.77056277056276,71.86147186147186,85.71428571428571,93.93939393939394,94.8051948051948,50.0,51.09170305676856,19.565217391304344,10.822510822510822,1,92.92929292929294,63.419913419913414,83.83838383838383,72.4025974025974,27.159810423527905,72.26480850436613,2.0,70.26480850436613,"profitability=92.9,balance=83.8",日本特殊陶業株式会社,日本特殊陶業,EXACT,日本特殊陶業,日本特殊陶業株式会社,400108551,1.0,1.0,"[{""env_key"": ""日本特殊陶業"", ""score"": 1.0}]"
