"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2010-229021","特願2010-045818","2010/03/02","2010/10/14","フラーレン膜の製造方法","三菱商事株式会社","B82Y30/00,C01B31/02,101@F,C01B32/152,C01B32/154,C01B32/156","(57)【要約】      （修正有）
【課題】湿式法により容易に製造でき、かつ量産も可能であり、フラーレン本来の性質を損なうことなく保持でき、さらに熱分解によって発生する分解物が分解温度において窒素化合物を含まない気体であり、前記分解物が膜内に残留することのないフラーレン膜を形成することが可能な、フラーレン誘導体を原料とするフラーレン膜の製造方法の提供。
【解決手段】１００℃～４００℃で熱分解し、熱分解によって発生する分解物が分解温度において窒素化合物を含まない気体であるフラーレン誘導体の溶液を基材上に塗布して得られる塗布膜を、前記フラーレン誘導体の熱分解温度よりも高く、前記フラーレンの熱分解温度よりも低い温度で加熱して、前記フラーレン誘導体の少なくとも一部を熱分解させることを特徴とするフラーレン膜の製造方法。
【選択図】図４
","特開2010-229021","","特許5670068","拒絶2014-014362","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2010-229021/11/ja"
"特開2010-116380","特願2008-292688","2008/11/14","2010/05/27","フラーレン誘導体並びにその溶液及び膜","三菱商事株式会社","C07C69/33,C07C69/734@Z,C07C69/96@Z,H01L21/312@A,H10P14/68@A","(57)【要約】
【課題】低コストで製造でき、ＰＧＭＥＡ等のエステル溶媒への高溶解性を示す水酸化フラーレン誘導体並びにその溶液及びその膜を提供する。
【解決手段】下記式（１）で表わされることを特徴とする、フラーレン誘導体並びにその溶液及び膜。

（上記式（１）中、Ciはフラーレン骨格を表し、mは０以上６以下の整数を表し、nは０又は１を表し、ｐは１以上４６以下の数字を表し、ｑは０以上４５以下の数字を表し、ｐ＋ｑが２以上４６以下の整数を表す。また、Ｒは炭素数1以上30以下の有機基を表す。（－ＣＨ２－）ｍを構成するメチレン鎖は、有機基で置換されていてもよい。）
【選択図】なし
","特開2010-116380","","特許5394702","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2010-116380/11/ja"
"特開2010-083864","特願2009-120902","2009/05/19","2010/04/15","アミノ化フラーレン及びアミノ化フラーレンの製造方法","三菱商事株式会社","C07D211/22,C07D211/46,C07D295/08@A,C07D295/088,C07D295/096","(57)【要約】
【課題】工業的に容易に合成できるとともに、アルコールへの高い溶解性を有し、付加基の数が少なくフラーレンの特性を損なわず、生理活性物質、電子伝導材料、樹脂添加剤等の種々の用途に好適に用いられるアミノ化フラーレンを提供すること。
【解決手段】下記式で表わされる置換されていてもよい水酸基含有環状２級アミノ基が、フラーレンに６個以上結合していることを特徴とするアミノ化フラーレン。
 

（上記式中、ｎは０以上４以下の整数を表わし、ＸはＮＨまたはＣＨ２を表わし、Ｌは環状２級アミノ基と水酸基とを連結する２価の有機基を表わし、ｐは０または１を表わす。）
【選択図】なし
","特開2010-083864","","特許5448565","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2010-083864/11/ja"
"特開2010-059110","特願2008-227387","2008/09/04","2010/03/18","フラーレン誘導体並びにその溶液、及びその膜","三菱商事株式会社","C07C39/17,C07C39/38,C07C39/42,G03F7/038,505","(57)【要約】
【課題】ＰＧＭＥＡ等のエステル溶媒に対する高い溶解性に加えて、アルカリ溶媒への溶解性を有しているとともに、安価な原料のみで簡便に製造できるフラーレン誘導体並びにその溶液、及びその膜を提供する。
【解決手段】下記式（Ｉ）で表わされる
ことを特徴とするフラーレン誘導体。
 

（式（Ｉ）において、
Ｒ１は１以上３以下の水酸基を含み、且つ水酸基以外の置換基を有していてもよい炭素数６～１８の芳香族性を有する炭化水素基を表し、
ａは１以上１５以下のＲ１の平均付加数を表し、
ｂは１以上１５以下のＨ（水素原子）の平均付加数を表し、
","特開2010-059110","","特許5530084","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2010-059110/11/ja"
"特開2010-024221","特願2009-057320","2009/03/11","2010/02/04","フラーレン誘導体並びにその溶液及びその膜","三菱商事株式会社","C07C39/17,C07C39/23,G03F7/004,501,G03F7/039,601,G03F7/11,H01L21/30,502@D,H01L21/30,502@R,H01L29/28,100@A,H01L29/28,250@E,H01L29/28,310@E,H10K71/10,H10K71/18,H10K85/20,H10K71/00,H10K71/15,H10K85/00,H10P76/00,600","(57)【要約】      （修正有）
【課題】ＰＧＭＥＡ等のエステル溶媒への高溶解性を示すだけではなく、イソプロピルアルコール等のアルコール溶媒並びにアルカリ溶媒への高溶解性を同時に満たすとともに、アルカリ溶媒並びにアルコール溶媒への高い溶解速度を有する多重付加フラーレン誘導体並びにそれを含む溶液及び膜を提供する。
【解決手段】フラーレン骨格上に式（１）で表わされる基を６個以上１２個以下有することを特徴とする、フラーレン誘導体。

（式（１）中、ｑは０以上４以下の整数を表し、ｒは、ｒ＋ｑが５以下となる自然数を表わす。また、Ｒは、各々独立に、任意の有機基又はハロゲン原子を表わす。）
【選択図】図１
","特開2010-024221","","特許5658434","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2010-024221/11/ja"
"特開2009-286761","特願2008-143844","2008/05/30","2009/12/10","フラーレン誘導体溶液、フラーレン誘導体膜及びフラーレン誘導体","三菱商事株式会社","C07D323/00,C07D493/22","(57)【要約】
【課題】安価な試薬のみで簡便に製造できるフラーレン誘導体溶液を提供する。
【解決手段】下記式で表されるフラーレン誘導体を溶液に含有させる。
 

Ｒ１は置換基を有しても良い炭素数６～１８の芳香族性を有する炭化水素基を表し、ａは１以上２０以下の、Ｒ１の平均付加数を表し、ｂは１以上２０以下の、Ｈの平均付加数を表し、ｃは０以上１０以下の、Ｏの平均付加数を表し、丸で示される構造はフラーレン骨格を表す。
【選択図】なし
","特開2009-286761","","特許5690043","拒絶2014-021464","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2009-286761/11/ja"
"特開2009-185014","特願2008-125863","2008/05/13","2009/08/20","フラーレン誘導体並びにその溶液及びその膜","三菱商事株式会社","B82Y10/00,B82Y20/00,B82Y40/00,C07C39/17,C07C39/23,G03F7/004,501,G03F7/11,503,H01L21/30,502@D,H01L21/30,502@R,H01L29/28,100@A,H01L29/28,250@E,H01L29/28,310@E,H10K71/10,H10K71/18,H10K85/20,H10K71/00,H10K71/15,H10K85/00,H10P76/00,600","(57)【要約】      （修正有）
【課題】特定の芳香族性を有する炭化水素基を付加置換基として有する多重付加フラーレン誘導体及びこれを用いたエステル溶媒に対して高い溶解性を有し、且つ優れた光学特性を持つフラーレン誘導体膜を提供する。
【解決手段】フラーレン骨格の下記式(Ｉ)で表される部分構造において、Ｃ１が、水素原子又は任意の置換基と結合しており、Ｃ６～Ｃ８が、各々独立に、－Ａｒ－（ＯＨ）ｎ（式中Ａｒは炭素数８～１８の芳香族性を有する炭化水素基を表し、ｎは１～３の整数を表す。）で表される構造の有機基と結合していることを特徴とするフラーレン誘導体。（式(Ｉ)中、Ｃ１～Ｃ１０は何れも、フラーレン骨格を構成する炭素原子を表す。）

","特開2009-185014","","特許5332302","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2009-185014/11/ja"
"特開2009-167165","特願2008-224609","2008/09/02","2009/07/30","アミノ化フラーレン","三菱商事株式会社","C07D303/36,C07D405/14","(57)【要約】
【課題】工業的に容易に合成できるとともに、アルコールへの高い溶解性を有し、付加基の数が少なくフラーレンの特性を損なわず、生理活性物質、電子伝導材料、樹脂添加剤等の種々の用途に好適に用いられるアミノ化フラーレンを提供する。
【解決手段】１つ以上の分岐を有する炭素鎖を含むエステル基と２個の窒素原子を含む環状アミノ基を構成する一方の窒素原子とをアルキレン鎖を介して結合させ、当該環状アミノ基を構成する他方の窒素原子と、フラーレンとを直接結合させることにより、工業的に容易に合成できるとともに、アルコールへの高い溶解性を有し、付加基の数が少なくフラーレンの特性を損なわず、生理活性物質、電子伝導材料、樹脂添加剤等の種々の用途に好適に用いられるアミノ化フラーレンを提供する。
【選択図】なし
","特開2009-167165","","特許5350718","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2009-167165/11/ja"
"特開2009-142233","特願2007-325196","2007/12/17","2009/07/02","低カロリービール風味アルコール飲料及びその製造方法","麒麟麦酒株式会社,松谷化学工業株式会社,三菱商事株式会社","C12C5/02,C12G3/02,C12G3/04,C12G3/021,C12C12/00,C12C12/02","(57)【要約】
【課題】低カロリー、低糖質でありながら、風味やキレ（味質）等の香味及びボディ感のバランスに優れた低カロリービール風味アルコール飲料、及びその製造方法を提供すること。
【解決手段】ビール風味アルコール飲料の製造に際して、水溶性食物繊維及び非発酵性糖質を含有する副原料を添加することにより、風味やキレ（味質）等の香味及びボディ感のバランスに優れた低カロリービール風味アルコール飲料を製造する。本発明におけるビール風味アルコール飲料には、ビール、発泡酒、或いは麦芽を使用しないビール風発酵飲料等が包含される。本発明において用いられる特に好ましい水溶性食物繊維としては、難消化性デキストリン及び／又はポリデキストロースが、また、本発明において用いられる非発酵性糖質としては、糖アルコール及び非発酵性オリゴ糖が用いられる。
【選択図】なし
","特開2009-142233","","特許4908390","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2009-142233/11/ja"
"特許4271718","特願2007-311061","2007/11/30","2009/06/03","ブドウ糖シロップおよびブドウ糖混合シロップの安定化された製造方法および供給方法","日本食品化工株式会社,麒麟麦酒株式会社,三菱商事株式会社","A23L1/09,A61K31/7004,A61K31/7016,A61K31/702,A61K47/26,C12P19/02,C13K1/00,A23L29/30","(57)【要約】
【課題】ブドウ糖シロップまたはブドウ糖混合シロップを、高濃度のままで、あるいはブドウ糖を増量し、かつ結晶を析出させずに製造する方法および供給ないし貯蔵する方法の提供。
【解決手段】ブドウ糖と、グルコオリゴ糖および／またはショ糖の混合液を調製し、その混合液を貯蔵および／または運搬した後、加熱および／または酵素によってグルコオリゴ糖および／またはショ糖を単糖に分解する工程を含んでなる、ブドウ糖シロップまたはブドウ糖とフルクトースの混合シロップの製造方法および供給方法。
【選択図】なし
","特開2009-131221","","特許4271718","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-4271718/15/ja"
"特許4260207","特願2007-310250","2007/11/30","2009/04/30","低糖質ビール風味アルコール飲料の製造方法","麒麟麦酒株式会社,日本食品化工株式会社,三菱商事株式会社","C12G3/02,C12G3/021,C12G3/022","(57)【要約】
【課題】醸造中の酵母の死滅率を抑制するとともに、味質・風味のバランスに優れた低糖質ビール風味アルコール飲料とその製造方法の提供。
【解決手段】単糖類と二糖類とから本質的になる糖化液を糖源として発酵前液に添加して発酵を行うことを特徴とする、ビール風味アルコール飲料の製造方法、並びにその製造方法により製造されたビール風味アルコール飲料。
【選択図】なし
","特開2009-131202","","特許4260207","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-4260207/15/ja"
"特開2009-049202","特願2007-214074","2007/08/20","2009/03/05","ＮｄＦｅＢ系焼結磁石の製造方法およびＮｄＦｅＢ焼結磁石製造用モールド","インターメタリックス株式会社,三菱商事株式会社","B22F3/00@F,B22F3/02@R,B22F3/10@M,C22C38/00,303@D,H01F1/04@H,H01F1/08@B,H01F41/02@G,H01F1/057,H01F1/08,H01F1/057,170","(57)【要約】
【課題】安価で加工しやすく脆化が生じないモールドを用いて、NdFeB系焼結磁石を湾曲や変形が生じることなく製造することができる方法及びモールドを提供する。
【解決手段】モールドのうちの少なくとも一部（例えば底板１１）に炭素材料を用いる。炭素材料は金属よりも、焼結時に焼結体との間に生じる摩擦が小さいため、焼結収縮による摩擦を原因とする湾曲や変形を生じさせることなく、NdFeB系焼結磁石を製造することができる。しかも、炭素材料は安価で加工しやすく、モールドを繰り返し使用しても脆化が生じることがない。このような効果は、焼結時に焼結体の荷重が掛かる底板１１に炭素材料を使用することにより、特に顕著に得ることができる。
【選択図】図１
","特開2009-049202","","特許4879843","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2009-049202/11/ja"
