"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2013-245117","特願2012-117685","2012/05/23","2013/12/09","フラーレン多量体の製造方法","三菱商事株式会社","C01B31/02,101@F,C07B61/00,300,C07D307/93,C07D319/14,C01B32/152,C01B32/156","(57)【要約】
【課題】フラーレンおよび／またはその誘導体を原料として、安価で取扱い容易な試薬のみを用い、有機溶媒を用いた汎用的な合成条件で、フラーレン多量体を高い転化率で製造する方法を提供する。
【解決手段】フラーレンおよび／またはその誘導体（原料ＦＬＮ類）を、溶媒の存在下で鉄含有化合物と接触させることにより、複数のフラーレン環を一分子中に有するフラーレン多量体を製造する方法。フラーレンおよび／またはその誘導体に鉄含有化合物を作用させることにより、同一分子内に複数のフラーレン環を有するフラーレン多量体を、有機溶媒を用いた汎用的な合成条件で、簡便かつ効率的に、高い転化率で製造することができる。
【選択図】図２
","特開2013-245117","","特許5906942","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2013-245117/11/ja"
"特開2013-241379","特願2012-116722","2012/05/22","2013/12/05","フラーレン類の製造方法","三菱商事株式会社","C01B31/02,101@F,C07B61/00,300,C07C4/12,C07C13/64,C07C67/333,C07C69/616,C01B32/152,C01B32/156","(57)【要約】
【課題】温和な条件で速やかに、様々なフラーレン誘導体から置換基の付加数を低減させたフラーレン誘導体又は未修飾のフラーレンを製造する方法を提供する。
【解決手段】置換基を有するフラーレン誘導体（原料ＦＬＮ誘導体）を、鉄含有化合物と接触させることにより、該原料ＦＬＮ誘導体よりも置換基数が減少したフラーレン又はフラーレン誘導体を得ることを特徴とするフラーレン類の製造方法。１以上の置換基を有するフラーレン誘導体を鉄含有化合物と接触させることにより、レトロ反応でフラーレン環に結合する置換基の数を低減させることができる。
【選択図】図１
","特開2013-241379","","特許5910308","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2013-241379/11/ja"
"特開2013-180980","特願2012-045527","2012/03/01","2013/09/12","架橋性フラーレン組成物","三菱商事株式会社","C07C39/23,C07D309/12,G03F7/11,503,G03F7/20,521,H01L21/30,502@R,C08G61/10","(57)【要約】      （修正有）
【課題】フラーレン構造の含有率が高い架橋高分子を形成することができ、耐熱性、エッチング耐性、ウィグリング耐性に優れたフォトレジスト膜又はフォトレジスト下層膜を形成することができる架橋性フラーレン組成物の提供。
【解決手段】下記式（１）で表される構造を有するフラーレン誘導体と、メチロール基又は保護されたメチロール基と反応可能な部位を有する化合物とを含有する架橋性フラーレン組成物。

（ＦＬＮはフラーレン骨格、Ｒ１は、－Ａ－（ＣＨ（３－ａ）－（ＯＸ）ａ）ｂで表される置換基（Ａは置換基を有していてもよい芳香族炭化水素基、Ｏは酸素原子、Ｘは水素原子又はアルコール性水酸基の保護基。ａは１又は２、ｂは１～５の整数。）、Ｒ２は、水素原子、水酸基又は炭素数１～３０の有機基、ｍは２～２０の整数、ｎは０～２０の整数。）
","特開2013-180980","","特許5895602","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2013-180980/11/ja"
"特開2013-159517","特願2012-021985","2012/02/03","2013/08/19","有機系炭素膜の製造方法及び積層体の製造方法","三菱商事株式会社","B82Y30/00,B82Y40/00,C01B31/02,101@F,C01B32/152,C01B32/156","(57)【要約】
【課題】湿式製膜法で形成可能な高硬度有機系炭素膜を提供する。
【解決手段】鉛筆硬度法で評価した硬度が２Ｈ以上である有機系炭素膜。フラーレン誘導体の溶液を用いて湿式製膜された膜を４００℃以上、１０００℃以下で加熱処理する有機系炭素膜の製造方法。湿式製膜法で形成したフラーレン誘導体膜をフラーレンの分解が始まる高温領域で加熱処理すると、高硬度有機系炭素膜を得ることができる。
【選択図】図３
","特開2013-159517","","特許5849745","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2013-159517/11/ja"
"特開2013-103928","特願2011-251299","2011/11/17","2013/05/30","フラーレン誘導体及びその製造方法、並びにフラーレン誘導体組成物、フラーレン誘導体溶液及びフラーレン誘導体膜","三菱商事株式会社","C07B49/00,C07C33/36,C07C39/17,C07C43/21,C07D309/12","(57)【要約】      （修正有）
【課題】エッチング耐性に優れ、高硬度な炭素膜形成に適したフラーレン誘導体を提供。
【解決手段】式（Ｉ）で示されるフラーレン誘導体。

（丸はフラーレン骨格を表し、Ｒ1は式（ＩＩ）で表される基、ｍは１～２０の整数を表す。Ｒ2は水素原子、水酸基又は炭素数１～３０の有機基、ｎは０～２０の整数を表す。）

（Ａは置換基を有していてもよいアリーレン基、Ｂは炭素原子数１～２０の二価鎖状炭化水素連結基、Ｒ3は水素原子、置換基を有していてもよいアルキル基又はアリール基、も
","特開2013-103928","","特許5792033","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2013-103928/11/ja"
"特開2013-010736","特願2011-285656","2011/12/27","2013/01/17","フラーレン誘導体及びその製造方法","三菱商事株式会社","C07C67/04,C07C69/03,C07C69/75@D,C07C69/76@Z,C07F7/18@J,C07C69/75@Z,C07F7/18@F","(57)【要約】      （修正有）
【課題】Ｃ６０等のフラーレン骨格に－ＯＣ（＝Ｘ）－Ｒ１基が任意の付加数で直接付加したフラーレンエステル型誘導体であって、温和な条件で速やかに合成することができるフラーレン誘導体及びその製造方法を提供する。
【解決手段】下記式（Ｉ）で示されるフラーレン誘導体。

（（Ｉ）式中、ＦＬＮはフラーレン骨格。Ｒ１は、水素原子、又は置換基を有していてもよい炭素原子数１～２４の炭化水素基。Ｘは、酸素原子、又はイオウ原子。Ｒ２は、水素原子、置換基を有していてもよい炭素原子数１～２４の炭化水素基など、ａ及びｂは、それぞれ独立に１以上３以下の整数。）
【選択図】図１
","特開2013-010736","","特許5966355","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2013-010736/11/ja"
"特開2012-194348","特願2011-058039","2011/03/16","2012/10/11","ＥＵＶ光露光用レジスト組成物並びにこれを用いたレジストパターン形成方法","三菱商事株式会社","C09K3/00@K,G03F7/004,501,G03F7/004,503@A,G03F7/038,601,G03F7/039,601,G03F7/20,521,H01L21/30,502@R","(57)【要約】      （修正有）
【課題】極微細パターンを形成可能なＥＵＶリソグラフィーにおいて、エッチング耐性が高く、ＬＷＲを低減したレジスト膜を与えるレジスト組成物を提供する。
【解決手段】フラーレン誘導体（Ａ）、酸の作用によりアルカリ溶解性が変化する基材成分（Ｂ）、露光により酸を発生する酸発生剤（Ｃ）、含窒素有機化合物（Ｄ）及び有機溶媒（Ｅ）を含有するＥＵＶ（極紫外線）光露光用レジスト組成物。［フラーレン骨格を構成する炭素原子の一部は、下記一般式（２）で表される基と結合している。

（Ａｒは炭素数６～１８の芳香族性を有する炭化水素基。Ｒ１は水素原子、置換基を有してもよいアルキル基、又は置換基を有してもよいアリール基。ｎは１～３の整数。）］
【選択図】図１
","特開2012-194348","","特許5678747","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2012-194348/11/ja"
"特開2012-177830","特願2011-041375","2011/02/28","2012/09/13","光酸発生剤が連結したフラーレン誘導体を含有するレジスト組成物並びにこれを用いたレジストパターン形成方法","三菱商事株式会社","C09K3/00@K,G03F7/004,503@A,G03F7/039,601,G03F7/20,521,H01L21/30,502@R","(57)【要約】
【課題】リソグラフィーにおいて、解像度、感度、ＬＷＲの３つの性能をバランスよく向上させることが可能な分子性材料を基盤成分として含有するレジスト組成物を提供する。
【解決手段】下記一般式（１）で表される光酸発生剤が連結したフラーレン誘導体（Ａ）、含窒素有機化合物（Ｂ）、及び有機溶媒（Ｃ）を含有することを特徴とするレジスト組成物を提供する。

（式（１）において、Ａｒ１、Ａｒ２は、それぞれ独立に炭素数６～１８の芳香族性を有する炭化水素基を表し、Ｘは光酸発生剤を有する有機基を表わし、ａは１～３の整数を表し、Ｒは水素原子又は酸不安定基を表わし、ｂは１～３の整数を表し、ｍは１以上１０以下の整数を表わし、ｎは０以上２０以下の整数を表わし、ｍ＋ｎは２以上２０以下の整数を表わし、丸で示される構造はフラーレン骨格を表わす。）
","特開2012-177830","","特許5714357","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2012-177830/11/ja"
"特開2012-162506","特願2011-026156","2011/02/09","2012/08/30","フラーレン誘導体の製造方法","三菱商事株式会社","C07B61/00,300,C07C37/14,C07C37/82,C07C39/23","(57)【要約】      （修正有）
【課題】エステル溶媒に対する高い溶解性に加えて、アルカリ溶媒への溶解性を有しているとともに、安価な原料のみで簡便に製造できるフラーレン誘導体、その溶液、及びその膜を提供する。
【解決手段】下式（Ｉ）で表わされるフラーレン誘導体。

（式中、Ｒ１は１以上３以下の水酸基を含み且つ水酸基以外の置換基を有していてもよい炭素数６～１８の芳香族性を有する炭化水素基を表し、ａは１以上１５以下のＲ１の平均付加数を表し、ｂは０以上４以下の水素原子（Ｈ）の平均付加数を表し、かつａ＞ｂを満たし、丸で示される構造はフラーレン骨格を表す。）
【選択図】なし
","特開2012-162506","","特許5792964","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2012-162506/11/ja"
"再表2012/017937","特願2012-527710","2011/07/29","2012/02/09","電力需給平準化システム","三菱自動車工業株式会社,三菱商事株式会社,三菱電機株式会社,株式会社三菱総合研究所","B60L11/18@C,H01M10/44@P,H01M10/48@P,H02J3/32,H02J7/00@P,B60L50/60,B60L53/62,B60L53/68,B60L55/00,B60L58/12,B60L58/22,H02J3/00,H02J7/00,H02J7/50,H02J7/80,H02J7/82","(57)【要約】
  各電力需要者２の個別の電力需給状況に基づき電力需要者２全体の総電力需給状況を判定する一方、各電力需要者２に駐車された電気自動車１０のバッテリ１７の使用可能容量に基づき全バッテリ１７の使用可能総容量を判定し、電力需要者２全体の総電力需給状況と全バッテリ１７の使用可能総容量との比較結果に基づき全バッテリ１７の要求充放電量を求め、この要求充放電量と各電力需要者２の電力需給状況及び各バッテリ１７の使用可能容量とに基づき各バッテリ１７を充放電制御する。
","WO2012/017937","","特許5562423","","再表2012/017937","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2012-017937/19/ja"
"再表2012/017936","特願2012-527709","2011/07/29","2012/02/09","電力需給平準化システムのバッテリ情報出力装置","三菱自動車工業株式会社,三菱商事株式会社,三菱電機株式会社,株式会社三菱総合研究所","H01M10/44@P,H01M10/48,301,H02J3/32,H02J3/38@G,H02J3/46@D,H02J7/00@P,H02J7/35@K,H02J3/00,H02J7/00","(57)【要約】
  電力需要者２に駐車中の電気自動車１０の運用予定に基づき、確保しておきたいバッテリ容量である必要容量を車両の使用開始までの複数の時刻と対応して運転者に入力させ、バッテリの全体容量から必要容量を減算した時刻毎の使用許諾容量を電力需給管理センター３に出力する。電力需給の平準化のためにバッテリ１７を充放電制御する際には、電力需給管理センター３からの充放電指令に基づき時刻毎の使用許諾容量の範囲内で充放電を行う。
","WO2012/017936","","特許5666593","","再表2012/017936","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2012-017936/19/ja"
"特開2011-236109","特願2010-158045","2010/07/12","2011/11/24","フラーレン精製物及びその製造方法","三菱商事株式会社","B82Y30/00,B82Y40/00,C01B31/02,101@F,G01N27/62@F,G01N27/62@V,H01L31/04@D,H01L31/04,154@F,C01B32/152,C01B32/156,H10K30/50,H10K85/20,H10K85/60,H10K85/00","(57)【要約】
【課題】有機半導体デバイスの製造に適した昇華速度および純度（不純物酸素量）を有するフラーレン精製物およびその製造方法を提供する。
【解決手段】７２０℃における昇華速度が５０μｇ／ｍｉｎ以上であり、かつ、酸素含有量が８０重量ｐｐｍ以下であるフラーレン精製物。該フラーレン精製物は、原料フラーレンを７３０℃以上の温度に加熱して昇華させ、該加熱温度よりも低い析出温度にて、フラーレン精製物を析出させることにより製造することができる。
【選択図】なし
","特開2011-236109","","特許5653667","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2011-236109/11/ja"
"特開2011-028201","特願2009-238842","2009/10/16","2011/02/10","ＥＵＶ光露光用フラーレン誘導体含有レジスト組成物並びにこれを用いたレジストパターン形成方法","三菱商事株式会社","C07C25/02,C07C43/205@C,C07C309/06,C07C381/12,C09K3/00@K,G03F7/004,501,G03F7/004,503@A,G03F7/004,531,G03F7/038,601,G03F7/039,601,G03F7/20,521,H01L21/30,502@R","(57)【要約】
【課題】極微細パターンを形成可能なＥＵＶリソグラフィーにおいて、ＬＥＲ及びＬＷＲの低減が可能な分子性材料を基盤材料として含有するレジスト組成物であって、ＥＵＶ露光時でのアウトガスが低く、またエッチング耐性の高いレジスト膜を与えるレジスト組成物、およびこれを用いたレジストパターン形成方法を提供する。
【解決手段】特定の置換基を特定の箇所に有するフラーレン誘導体、露光により酸を発生する酸発生剤、含窒素有機化合物、及び有機溶媒を含有するＥＵＶ（極紫外線）光露光用レジスト組成物、酸発生剤としてはオニウム塩系のものが好ましい。
【選択図】    なし
","特開2011-028201","","特許5457785","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2011-028201/11/ja"
