"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特許7721725","特願2024-055764","2024/03/29","2025/08/12","学習済みモデル、情報処理装置、情報処理方法、情報処理プログラム","戸田建設株式会社","G06Q50/08","特開2025-153330","","特許7721725","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7721725/15/ja"
"特開2025-026963","特願2024-202510","2024/11/20","2025/02/26","無線通信システム","古野電気株式会社,戸田建設株式会社","H04W16/26,H04W4/33,B66B7/00@F,H04W84/12","特開2025-026963","","特許7660755","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2025-026963/11/ja"
"特許7531006","特願2023-017096","2023/02/07","2024/08/08","シールド工法用裏込め材の注入方法、その注入装置、及びシールド工法用裏込め材","花王株式会社,株式会社立花マテリアル,戸田建設株式会社,西松建設株式会社,日本シビックコンサルタント株式会社","C04B28/02,C04B22/08@A,C04B24/38@D,C04B24/12@A,C04B24/26@D,C04B24/26@H,B28C7/04,E21D11/00@A,E02D3/12,101,C04B111:70","特開2024-112190","","特許7531006","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7531006/15/ja"
"特開2024-101110","特願2023-004846","2023/01/17","2024/07/29","情報処理装置、情報処理方法、情報処理プログラム","戸田建設株式会社","G06Q50/08","特開2024-101110","","特許7787376","拒絶2025-012966","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-101110/11/ja"
"特開2024-086098","特願2022-201033","2022/12/16","2024/06/27","所定層の層剛性推定方法及び層剛性推定装置","戸田建設株式会社","G01M99/00@Z,G01H17/00@Z","特開2024-086098","","特許7628529","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-086098/11/ja"
"特許7494341","特願2023-026120","2023/02/22","2024/06/03","鉄筋検査方法及び鉄筋検査装置","戸田建設株式会社","G06T7/00,610@Z,G01B11/02@H,E04G21/12,105@Z,G06V10/34","特開2024-119313","","特許7494341","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7494341/15/ja"
"特許7465511","特願2022-179920","2022/11/09","2024/04/11","自走式ロボット","株式会社ＲｏｂｏＳａｐｉｅｎｓ,戸田建設株式会社","G05D1/02@H,G01D21/00@K,G01N15/06@D,G05D1/24,G05D1/242,G05D1/43,G05D1/60,G05D105:00,G05D109:00,G05D111:00,G05D111:63","特開2024-069108","","特許7465511","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7465511/15/ja"
"特開2024-013454","特願2022-115544","2022/07/20","2024/02/01","コンクリート配管切替装置、コンクリート打設システム、及びコンクリート打設方法","戸田建設株式会社,大栄工機株式会社","E21D11/10@B","特開2024-013454","","","","","特許 有効","特許権の設定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-013454/11/ja"
"特許7411030","特願2022-124561","2022/08/04","2024/01/10","空気環境計測システム","戸田建設株式会社","G06Q50/10","特開2024-021609","","特許7411030","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7411030/15/ja"
"特開2023-151243","特願2022-060744","2022/03/31","2023/10/16","セグメント継手","戸田建設株式会社,日本ヒューム株式会社","E21D11/04@A,E21D11/08","特開2023-151243","","特許7736617","","","特許 有効","特許権の設定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-151243/11/ja"
"特開2023-142731","特願2022-049775","2022/03/25","2023/10/05","コンクリート床面の検査方法及びコンクリート床面の検査装置","戸田建設株式会社","G01N25/72@K,G01N33/38,G01M99/00@Z","特開2023-142731","","特許7781689","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-142731/11/ja"
"特許7356551","特願2022-131205","2022/08/19","2023/10/04","太陽光発電システム、及び太陽光発電システムの接続方法","株式会社戸上電機製作所,戸田建設株式会社","H02S50/00,H02S40/30,H02B1/40@A","特開2024-027968","","特許7356551","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7356551/15/ja"
"特開2023-136667","特願2022-042465","2022/03/17","2023/09/29","先組鉄筋の仮接合方法","戸田建設株式会社","E04G21/12,105@D","特開2023-136667","","特許7722953","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-136667/11/ja"
"特開2023-134012","特願2022-039326","2022/03/14","2023/09/27","地盤改良効果確認のための試験装置及び試験方法","ＮＰＯ法人地盤防災ネットワーク,戸田建設株式会社,太洋基礎工業株式会社","E02D1/08,E02D3/12,101","特開2023-134012","","特許7780146","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-134012/11/ja"
"特開2023-128880","特願2022-033530","2022/03/04","2023/09/14","推定結果表示システム","株式会社きんそく,戸田建設株式会社,富士通株式会社","G01V3/12@B,G01S13/88,200","特開2023-128880","","特許7779479","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-128880/11/ja"
"特開2023-128247","特願2022-032462","2022/03/03","2023/09/14","管内伝搬音抑制構造体","戸田建設株式会社","G10K11/16,100,G10K11/172","特開2023-128247","","特許7731824","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-128247/11/ja"
"特開2023-122049","特願2022-025470","2022/02/22","2023/09/01","支保工継手構造、支保工連結部材および支保工組立方法","株式会社進富,戸田建設株式会社,構法開発株式会社","E21D11/40@A","特開2023-122049","","特許7738217","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-122049/11/ja"
"特開2023-118294","特願2022-021171","2022/02/15","2023/08/25","柱筋固定治具","戸田建設株式会社","E04G21/12,105@D,E04G21/18@A,E04G21/18@Z","特開2023-118294","","特許7736595","","","特許 有効","特許権の設定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-118294/11/ja"
"特開2023-114687","特願2022-017139","2022/02/07","2023/08/18","発破情報処理装置、発破情報処理方法、および学習済みモデル","戸田建設株式会社","E21D9/00@C","特開2023-114687","","特許7725145","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-114687/11/ja"
"特開2023-112921","特願2022-014951","2022/02/02","2023/08/15","超高強度鉄筋コンクリートセグメント及びその製造方法","戸田建設株式会社,西松建設株式会社,日本コンクリート工業株式会社","E21D11/08","特開2023-112921","","特許7381623","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-112921/11/ja"
"特開2023-100384","特願2022-001016","2022/01/06","2023/07/19","法肩接近警報装置、法肩接近警報プログラム及び法肩接近警報システム","株式会社山陽測器,戸田建設株式会社","E02F9/24@B,G08B21/24,G08B25/10@D,E02F9/26@B","特開2023-100384","","特許7748668","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-100384/11/ja"
"特許7304458","特願2022-066959","2022/04/14","2023/07/06","配筋計測用の三次元配筋データ作成方法及び配筋計測装置","▲高▼松建設株式会社,株式会社ピーエス三菱,株式会社安藤・間,株式会社奥村組,株式会社熊谷組,株式会社松村組,株式会社長谷工コーポレーション,株式会社淺沼組,戸田建設株式会社,五洋建設株式会社,佐藤工業株式会社,西松建設株式会社,青木あすなろ建設株式会社,村本建設株式会社,大末建設株式会社,鉄建建設株式会社,東急建設株式会社,日本国土開発株式会社,飛島建設株式会社,北野建設株式会社,矢作建設工業株式会社","G01B11/00@H,G01B11/02@H,E04G21/12,105@Z,E04G21/12","特開2023-157206","","特許7304458","","","特許 有効","出願人・権利者等の氏名変更","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7304458/15/ja"
"特開2023-083866","特願2021-197820","2021/12/06","2023/06/16","連結継手","戸田建設株式会社","E21D11/08","特開2023-083866","","特許7680339","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-083866/11/ja"
"特許7289968","特願2022-106455","2022/06/30","2023/06/12","裏込め材注入方法及び装置、裏込め材","花王株式会社,株式会社立花マテリアル,戸田建設株式会社,西松建設株式会社,日本シビックコンサルタント株式会社","E21D11/00@A,E21D9/06","特開2024-005957","","特許7289968","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7289968/15/ja"
"特開2023-077710","特願2021-191101","2021/11/25","2023/06/06","シールド工法における掘削土量測定システム","戸田建設株式会社","E21D9/06,301@Z,E21D9/00@Z","特開2023-077710","","特許7772564","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-077710/11/ja"
"特開2023-068805","特願2021-180152","2021/11/04","2023/05/18","トンネル支保工継手","戸田建設株式会社","E21D11/40@A,E21D11/18","特開2023-068805","","特許7672950","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-068805/11/ja"
"特開2023-068272","特願2021-179190","2021/11/02","2023/05/17","鋼殻エレメントの構築方法","戸田建設株式会社","E21D9/06,311@A,E21D9/04@F,E21D13/00","特開2023-068272","","特許7681493","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-068272/11/ja"
"特開2023-068271","特願2021-179188","2021/11/02","2023/05/17","鋼殻エレメントの構築方法","戸田建設株式会社","E21D13/00,E21D9/04@F","特開2023-068271","","特許7752511","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-068271/11/ja"
"特許7268115","特願2021-182366","2021/11/09","2023/05/02","配筋リスト読取装置、リスト読取装置、配筋リスト読取方法及びプログラム","▲高▼松建設株式会社,株式会社ピーエス三菱,株式会社フォトラクション,株式会社安藤・間,株式会社奥村組,株式会社熊谷組,株式会社松村組,株式会社長谷工コーポレーション,株式会社淺沼組,戸田建設株式会社,五洋建設株式会社,佐藤工業株式会社,西松建設株式会社,青木あすなろ建設株式会社,村本建設株式会社,大末建設株式会社,鉄建建設株式会社,東急建設株式会社,日本国土開発株式会社,飛島建設株式会社,北野建設株式会社,矢作建設工業株式会社","G06T7/60,200@K,G06F30/13,G06T7/49,G06Q50/08","特開2023-070290","","特許7268115","","","特許 有効","出願人・権利者等の氏名変更","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7268115/15/ja"
"特許7267473","特願2022-017143","2022/02/07","2023/05/01","耐火構造","株式会社フジタ,株式会社安藤・間,株式会社熊谷組,株式会社鴻池組,株式会社大林組,株式会社竹中工務店,戸田建設株式会社,五洋建設株式会社,三井住友建設株式会社,鹿島建設株式会社,清水建設株式会社,西松建設株式会社,前田建設工業株式会社,大和ハウス工業株式会社","E04B1/94@M,E04B1/94@E,E04B2/74,551@Z","特開2023-114689","","特許7267473","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7267473/15/ja"
"特開2023-058966","特願2021-168805","2021/10/14","2023/04/26","地中レーダ装置","戸田建設株式会社","G01V3/12@C,E21D9/06,301@Z,G01S13/88,200","特開2023-058966","","特許7772546","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-058966/11/ja"
"特開2023-058965","特願2021-168804","2021/10/14","2023/04/26","地中レーダ装置","戸田建設株式会社","G01V3/12@C,E21D9/06,301@Z,G01S13/88,200","特開2023-058965","","特許7772545","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-058965/11/ja"
"特開2023-058333","特願2021-168297","2021/10/13","2023/04/25","距離計測器を備えた吹付けノズル装置","エフティーエス株式会社,戸田建設株式会社,清水建設株式会社,西松建設株式会社,前田建設工業株式会社","E21D11/10@D","特開2023-058333","","特許7737109","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-058333/11/ja"
"特開2023-054489","特願2021-163365","2021/10/04","2023/04/14","除草・防草装置及び除草・防草方法","戸田建設株式会社,国立大学法人　熊本大学","A01M21/04","特開2023-054489","","特許7718656","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-054489/11/ja"
"特開2023-054485","特願2021-163361","2021/10/04","2023/04/14","除草・防草作業機","戸田建設株式会社,国立大学法人　熊本大学","A01M21/04@Z,A01B39/18","特開2023-054485","","特許7738291","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-054485/11/ja"
"特開2023-043638","特願2021-151359","2021/09/16","2023/03/29","発破情報処理装置、発破情報処理方法、および学習済みモデル","戸田建設株式会社","E21D9/00@C,F42D1/00","特開2023-043638","","特許7661188","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-043638/11/ja"
"特開2023-042094","特願2021-149198","2021/09/14","2023/03/27","位置管理システム","戸田建設株式会社","G01S5/02@Z","特開2023-042094","","特許7752497","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-042094/11/ja"
"特開2023-034745","特願2021-141123","2021/08/31","2023/03/13","肌落ち予測装置、機械学習装置、肌落ち予測方法、及び、機械学習方法","一般財団法人先端建設技術センター,株式会社安藤・間,株式会社想画,基礎地盤コンサルタンツ株式会社,戸田建設株式会社,鹿島建設株式会社,清水建設株式会社,日本システムウエア株式会社","E21D9/00@Z,G06N20/00,130,G06T7/00,350@C","特開2023-034745","","特許7712151","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-034745/11/ja"
"特開2023-034740","特願2021-141107","2021/08/31","2023/03/13","切羽評価支援装置、及び、切羽評価支援方法","一般財団法人先端建設技術センター,株式会社安藤・間,株式会社想画,基礎地盤コンサルタンツ株式会社,戸田建設株式会社,鹿島建設株式会社,清水建設株式会社,日本システムウエア株式会社","G06T7/00,610@Z,G06T7/00,350@B,E21D9/00@Z,G06V10/30","特開2023-034740","","特許7679262","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-034740/11/ja"
"特開2023-033838","特願2021-139754","2021/08/30","2023/03/13","植物病害虫の防除装置","戸田建設株式会社,国立大学法人　熊本大学","A01M1/22@Z","特開2023-033838","","特許7710210","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-033838/11/ja"
"特開2023-033832","特願2021-139747","2021/08/30","2023/03/13","街路樹の生育制御方法","戸田建設株式会社,国立大学法人　熊本大学","A01G7/06@Z","特開2023-033832","","特許7705120","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-033832/11/ja"
"特開2023-027617","特願2021-132839","2021/08/17","2023/03/02","薬液注入工法による地盤改良効果の評価方法","ＮＰＯ法人地盤防災ネットワーク,戸田建設株式会社,太洋基礎工業株式会社","E02D1/08,E02D3/12,101","特開2023-027617","","特許7696565","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-027617/11/ja"
"特許7225352","特願2021-190292","2021/11/24","2023/02/20","裏込め材注入方法及び装置、裏込め材","花王株式会社,株式会社立花マテリアル,戸田建設株式会社,西松建設株式会社,日本シビックコンサルタント株式会社","E21D11/00@A","特開2023-077126","","特許7225352","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7225352/15/ja"
"特許7219933","特願2022-073692","2022/04/27","2023/02/09","避雷装置","株式会社アールアンドアール,株式会社大同機械,戸田建設株式会社","H05F3/04@F","特開2023-162960","","特許7219933","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7219933/15/ja"
"特開2023-015919","特願2021-120004","2021/07/20","2023/02/01","シールド掘進機の切羽土水圧計測方法及び切羽土水圧計測装置","戸田建設株式会社","E21D9/093@E","特開2023-015919","","特許7661167","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-015919/11/ja"
"特開2023-014706","特願2021-118816","2021/07/19","2023/01/31","切断対象物の切断装置及び切断方法","岡谷酸素株式会社,戸田建設株式会社,日酸ＴＡＮＡＫＡ株式会社","B23K7/10@M,E04G23/08@H,B23K7/10@Z,B23K7/00@C","特開2023-014706","","特許7665459","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-014706/11/ja"
"特開2023-012744","特願2021-116395","2021/07/14","2023/01/26","覆工コンクリートの加温方法及び加温装置","戸田建設株式会社,積水化成品工業株式会社,大栄工機株式会社","E21D11/10@Z,E04G21/02,104","特開2023-012744","","特許7227317","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-012744/11/ja"
"特開2023-012326","特願2021-115907","2021/07/13","2023/01/25","動吸振器","戸田建設株式会社,三和テッキ株式会社","F16F15/02@C,E04H9/02,341@E","特開2023-012326","","特許7640386","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-012326/11/ja"
"特開2023-011131","特願2021-114770","2021/07/12","2023/01/24","コンクリート製プレキャスト部材の接合用ガイド部材及びコンクリート製プレキャスト部材の接合方法","極東興和株式会社,戸田建設株式会社","E01D19/12,E04B5/02@R,E04B1/04@G,E04B1/61,502@H","特開2023-011131","","特許7653852","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-011131/11/ja"
"特開2023-010295","特願2021-114336","2021/07/09","2023/01/20","薬液注入工法による地盤改良効果の評価方法","ＮＰＯ法人地盤防災ネットワーク,戸田建設株式会社,太洋基礎工業株式会社","E02D3/12,101,E02D1/02,E02D1/08","特開2023-010295","","特許7696563","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-010295/11/ja"
"特開2023-009814","特願2021-113412","2021/07/08","2023/01/20","フレッシュコンクリートの均質性評価方法","ムネカタインダストリアルマシナリー株式会社,学校法人　芝浦工業大学,戸田建設株式会社","G01N33/38,G01N27/02@Z","特開2023-009814","","特許7673904","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-009814/11/ja"
"特開2023-006208","特願2021-108686","2021/06/30","2023/01/18","所定層の層剛性推定方法及び層剛性推定装置","戸田建設株式会社","G01M7/02@H,G01M99/00@Z","特開2023-006208","","特許7752977","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-006208/11/ja"
"特開2023-001683","特願2021-102551","2021/06/21","2023/01/06","地下構造物の構築方法及び地下構造物、並びにそのためのプレキャストコンクリート側壁又は中間壁／柱","戸田建設株式会社","E02D29/05@F,E02D29/07","特開2023-001683","","特許7633891","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-001683/11/ja"
"特開2022-191661","特願2021-100015","2021/06/16","2022/12/28","コンクリート圧送ポンプ、コンクリートの圧送性評価試験装置、コンクリートの圧送方法及びコンクリートの圧送性評価試験方法","株式会社北斗工業,戸田建設株式会社,西松建設株式会社","G01N11/00@E,E04G21/04,G01N33/38,F04B15/02@A","特開2022-191661","","特許7687614","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-191661/11/ja"
"特開2022-191114","特願2021-099794","2021/06/15","2022/12/27","外壁","戸田建設株式会社,三協立山株式会社","E04B2/90,E06B7/14","特開2022-191114","","特許7594500","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-191114/11/ja"
"特開2022-191113","特願2021-099793","2021/06/15","2022/12/27","外壁","戸田建設株式会社,三協立山株式会社","E04B2/90","特開2022-191113","","特許7655795","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-191113/11/ja"
"特開2022-191112","特願2021-099792","2021/06/15","2022/12/27","外壁","戸田建設株式会社,三協立山株式会社","E04B2/90,E06B7/14","特開2022-191112","","特許7594499","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-191112/11/ja"
"特開2022-190414","特願2021-098728","2021/06/14","2022/12/26","鋼コンクリート合成構造に用いられる鋼材の接合構造","戸田建設株式会社","E04C5/03,E04B1/41,503@Z","特開2022-190414","","特許7713812","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-190414/11/ja"
"特開2022-187219","特願2021-095117","2021/06/07","2022/12/19","地中連続壁施工用のチェーン式カッター及びそれを備えた施工装置","戸田建設株式会社,太洋基礎工業株式会社","E02D5/18,102,E02D5/20,102,E02F5/06@A","特開2022-187219","","特許7602229","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-187219/11/ja"
"特開2022-187218","特願2021-095115","2021/06/07","2022/12/19","ケーソン工法","戸田建設株式会社","E02D23/00@B,E02D23/08@C,E02D23/08@D","特開2022-187218","","特許7630362","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-187218/11/ja"
"特開2022-187206","特願2021-095099","2021/06/07","2022/12/19","配管流水音を予測評価するための試験方法","戸田建設株式会社","G01H17/00@Z,G01M99/00@Z","特開2022-187206","","特許7529618","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-187206/11/ja"
"特開2022-187181","特願2021-095056","2021/06/07","2022/12/19","多層建築物","戸田建設株式会社","E04H9/02,301,E04H9/02,311,E04H9/02,331@Z","特開2022-187181","","特許7717498","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-187181/11/ja"
"特開2022-185221","特願2021-092744","2021/06/02","2022/12/14","事業継続計画支援システム","戸田建設株式会社","G06Q50/26","特開2022-185221","","特許7628892","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-185221/11/ja"
"特開2022-182343","特願2021-089852","2021/05/28","2022/12/08","調整用セット","株式会社大同機械,戸田建設株式会社","E04G21/18@C","特開2022-182343","","特許7570071","","","特許 有効","権利の移転","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-182343/11/ja"
"特開2022-180011","特願2021-086885","2021/05/24","2022/12/06","坑口止水装置","戸田建設株式会社","E21D9/06,301@E","特開2022-180011","","特許7646452","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-180011/11/ja"
"特開2022-178867","特願2021-085966","2021/05/21","2022/12/02","制振天井","株式会社安藤・間,株式会社熊谷組,戸田建設株式会社,国立大学法人豊橋技術科学大学,佐藤工業株式会社,西松建設株式会社,前田建設工業株式会社","E04B9/18@G,E04B9/18@A","特開2022-178867","","特許7716886","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-178867/11/ja"
"特開2022-176806","特願2021-083427","2021/05/17","2022/11/30","地中連続壁の芯材の付着物除去具","戸田建設株式会社","E02D5/20,102,E02D5/20,101,E02D5/12","特開2022-176806","","特許7693388","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-176806/11/ja"
"特開2022-176801","特願2021-083419","2021/05/17","2022/11/30","地中レーダ装置","戸田建設株式会社","E21D9/06,301@Z,G01S13/88,200,G01S7/03,244,G01S7/03,246,G01V3/12@B","特開2022-176801","","特許7625482","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-176801/11/ja"
"特開2022-176463","特願2021-082918","2021/05/17","2022/11/30","レール送り装置を備えた台車","岐阜工業株式会社,戸田建設株式会社","E21D11/10@Z,E21D11/38@Z,E21D11/10@B","特開2022-176463","","特許7628249","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-176463/11/ja"
"特開2022-176041","特願2021-177501","2021/10/29","2022/11/25","土留壁","戸田建設株式会社","E02D17/04@E,E02D5/04","特開2022-176041","","特許7736522","","","特許 有効","特許権の設定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-176041/11/ja"
"特開2022-175685","特願2021-082312","2021/05/14","2022/11/25","土留壁及びその施工方法","戸田建設株式会社","E02D17/04@E,E02D5/04","特開2022-175685","","特許7621880","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-175685/11/ja"
"特開2022-175684","特願2021-082311","2021/05/14","2022/11/25","土留壁","戸田建設株式会社","E02D17/04@E,E02D5/04","特開2022-175684","","特許7621879","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-175684/11/ja"
"特開2022-174655","特願2021-080605","2021/05/11","2022/11/24","反力受け装置及び発進方法","戸田建設株式会社","E21D9/06,301,E21D11/08,E21D9/06,301@C","特開2022-174655","","特許7586765","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-174655/11/ja"
"特開2022-172616","特願2021-078592","2021/05/06","2022/11/17","トンネル内周面の補強構造及びトンネル内周面の補強方法","戸田建設株式会社,公益財団法人鉄道総合技術研究所","E21D11/00@Z,E21D11/04@Z","特開2022-172616","","特許7481293","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-172616/11/ja"
"特開2022-160190","特願2021-064800","2021/04/06","2022/10/19","水中杭の打設管理方法","戸田建設株式会社","E02D7/16,E02D13/04","特開2022-160190","","特許7603513","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-160190/11/ja"
"特開2022-158114","特願2021-062801","2021/04/01","2022/10/17","交差点通行システム","戸田建設株式会社,東海プラネット株式会社","G08G1/07@P","特開2022-158114","","特許7606700","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-158114/11/ja"
"特開2022-155976","特願2021-059447","2021/03/31","2022/10/14","粉塵飛散抑制方法","戸田建設株式会社","B01D45/08@Z,E21F5/02,C09K3/00,110,G21F9/28@Z","特開2022-155976","","特許7603509","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-155976/11/ja"
"特開2022-152350","特願2021-055086","2021/03/29","2022/10/12","釜場ピット及び合成スラブ形成方法","戸田建設株式会社","E04B5/40@Z","特開2022-152350","","特許7564041","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-152350/11/ja"
"特開2022-150655","特願2021-053347","2021/03/26","2022/10/07","仮ボルト不要接合装置、及び仮ボルト不要接合装置の撤去方法","戸田建設株式会社","E04G21/18@C","特開2022-150655","","特許7564039","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-150655/11/ja"
"特開2022-150598","特願2021-053270","2021/03/26","2022/10/07","免震建物","戸田建設株式会社,昭和電線ケーブルシステム株式会社,ＳＷＣＣ株式会社","E04H9/02,331@Z,E04H9/14@Z,F16F15/02@L,F16F15/04@P,E04H9/02,331@A","特開2022-150598","","特許7706907","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-150598/11/ja"
"特許7663913","特願2023-511169","2022/03/25","2022/10/06","スパー型洋上風力発電設備用浮体の立て起こし方法","戸田建設株式会社,国立大学法人九州大学","B63B35/00@T,B63B77/10,B63B22/20,B63B35/34@A,F03D13/25","WO2022/210358","","特許7663913","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7663913/15/ja"
