"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2018-145594","特願2017-038160","2017/03/01","2018/09/20","折曲げ鉄筋による柱梁接合部の補強方法と、降伏ヒンジ位置の制御方法","戸田建設株式会社","E04B1/16@G,E04B1/21@B,E04B1/58,508@A,E04C5/18,103","特開2018-145594","","特許7045135","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-145594/11/ja"
"特開2018-141286","特願2017-034838","2017/02/27","2018/09/13","トンネル裏込め注入材の製造方法","株式会社タック,戸田建設株式会社","E21D11/00@A,E21D9/04@A","特開2018-141286","","特許6860142","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-141286/11/ja"
"特開2018-139541","特願2017-036426","2017/02/28","2018/09/13","栽培装置及び酸素供給体","戸田建設株式会社","A01G9/02@D,A01G7/00,602@A,A01G25/02,602@A,A01G9/02,103@N,A01G9/02@Z","特開2018-139541","","特許7058075","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-139541/11/ja"
"特開2018-135662","特願2017-029946","2017/02/21","2018/08/30","裏込め材保持方法及びこれに用いる裏込め注入システム","株式会社タック,戸田建設株式会社,日本シビックコンサルタント株式会社","E21D11/00@A","特開2018-135662","","特許6479868","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-135662/11/ja"
"特開2018-135637","特願2017-028845","2017/02/20","2018/08/30","防音用扉の下枠および沓摺の構造","戸田建設株式会社","E06B1/70@Z,E06B1/70@F,E06B1/56@Z,E06B7/22@F","特開2018-135637","","特許6985021","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-135637/11/ja"
"特開2018-131095","特願2017-027004","2017/02/16","2018/08/23","浮体式洋上プラットフォーム","戸田建設株式会社","B63B35/44@F,B63B35/44@L,B63B35/00@T,F03D13/25","特開2018-131095","","特許6901867","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-131095/11/ja"
"特開2018-127840","特願2017-022490","2017/02/09","2018/08/16","地盤改良材供給管の配置構造、地盤改良方法および地盤の止水方法","戸田建設株式会社","E21D9/06,301@D,E02D3/12,101,E21D9/04@F","特開2018-127840","","特許6836413","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-127840/11/ja"
"特開2018-127839","特願2017-022489","2017/02/09","2018/08/16","凍結管の配置構造および地盤の止水方法","戸田建設株式会社","E21D13/02,E21D9/06,301@D,E21D9/06,301@R,E21D11/00@A,E21D11/00@B","特開2018-127839","","特許7043123","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-127839/11/ja"
"特開2018-119277","特願2017-009621","2017/01/23","2018/08/02","到達止水装置","戸田建設株式会社","E21D9/06,301@E","特開2018-119277","","特許6884579","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-119277/11/ja"
"特開2018-104899","特願2016-249262","2016/12/22","2018/07/05","基礎構造及び基礎構造の構築方法","戸田建設株式会社","E02D27/00@Z,E02D27/44,E02D27/12@Z,E02D27/34@B,E02D27/08,E02D27/44@Z","特開2018-104899","","特許6886811","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-104899/11/ja"
"特開2018-100519","特願2016-246498","2016/12/20","2018/06/28","円周シールド掘進機の掘進基地およびその製造方法","戸田建設株式会社","E21D9/04@F,E21D9/06,301@E,E21D9/06,301@D","特開2018-100519","","特許6812072","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-100519/11/ja"
"特開2018-084052","特願2016-226610","2016/11/22","2018/05/31","複合梁における異種材料の接合方法と接合構造","戸田建設株式会社","E04B1/58,503@P,E04B1/30@H,E04B1/58,508@P,E04B1/30@C","特開2018-084052","","特許6888944","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-084052/11/ja"
"特開2018-076752","特願2016-220937","2016/11/11","2018/05/17","トンネル掘削機およびその制御方法","加島　豐,日本シビックコンサルタント株式会社,株式会社タック,戸田建設株式会社","E21D11/00@B","特開2018-076752","","特許6865020","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-076752/11/ja"
"特開2018-071705","特願2016-213612","2016/10/31","2018/05/10","免震用積層ゴム","戸田建設株式会社,昭和電線デバイステクノロジー株式会社,昭和電線ケーブルシステム株式会社","F16F15/04@P,F16J15/14@C,F16F1/40,E04H9/02,331@A","特開2018-071705","","特許6853015","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-071705/11/ja"
"特開2018-062753","特願2016-200710","2016/10/12","2018/04/19","軟弱地盤上における盛土速度の管理方法","戸田建設株式会社","E02D17/18@Z","特開2018-062753","","特許6821379","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-062753/11/ja"
"特開2018-044775","特願2016-177429","2016/09/12","2018/03/22","余震の被害拡大予測方法とその予測システム","戸田建設株式会社","G01V1/28,G01M99/00@Z","特開2018-044775","","特許6734744","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-044775/11/ja"
"特開2018-031225","特願2016-165363","2016/08/26","2018/03/01","地山補強用先受け鋼矢板の打設装置","古河ロックドリル株式会社,戸田建設株式会社","E21D9/04@D,E21D11/10@D","特開2018-031225","","特許6741522","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-031225/11/ja"
"特開2018-024985","特願2016-155407","2016/08/08","2018/02/15","杭の性能評価方法","戸田建設株式会社","E02D33/00,E02D1/08,E02D31/08","特開2018-024985","","特許6731309","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-024985/11/ja"
"特開2018-018247","特願2016-147144","2016/07/27","2018/02/01","仮設計画図支援システム","戸田建設株式会社","G06F17/50,680@B,G06F17/50,604@G,G06F17/50,606@D,G06F30/10,G06F30/13,G06F111:20","特開2018-018247","","特許6744778","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-018247/11/ja"
"特開2018-016969","特願2016-146341","2016/07/26","2018/02/01","回収可能なカッター駆動ユニットを有するシールド掘進機","株式会社イセキ開発工機,戸田建設株式会社","E21D9/087@B,E21D9/06,301@E,E21D9/06,301@Z","特開2018-016969","","特許6799227","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-016969/11/ja"
"特開2018-016965","特願2016-146137","2016/07/26","2018/02/01","帯電水粒子を用いた粉塵除去方法と装置","戸田建設株式会社,有光工業株式会社","E21F5/02,B05B5/043,B05B12/12","特開2018-016965","","特許6757198","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-016965/11/ja"
"特開2018-016302","特願2017-136733","2017/07/13","2018/02/01","洋上風力発電設備及びその施工方法","戸田建設株式会社","B63B35/00@T,B63B35/44@Z,B63B21/50@Z","特開2018-016302","","特許6937627","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-016302/11/ja"
"特開2018-003538","特願2016-135050","2016/07/07","2018/01/11","コンクリート構造体の補強構造及びコンクリート構造体の補強方法","株式会社安藤・間,株式会社熊谷組,戸田建設株式会社,国立研究開発法人建築研究所,佐藤工業株式会社,西松建設株式会社,前田建設工業株式会社","E04G23/02@E","特開2018-003538","","特許6741502","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-003538/11/ja"
"特開2018-003412","特願2016-130841","2016/06/30","2018/01/11","交換可能なテールシールを有するシールド掘進機およびシールド掘進機のテールシールの交換方法","戸田建設株式会社","E21D11/00@B,E21D9/06,301@Z","特開2018-003412","","特許6725340","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2018-003412/11/ja"
"特開2017-227109","特願2016-235016","2016/12/02","2017/12/28","遮音構造体","戸田建設株式会社,国立大学法人鳥取大学","E01F8/00,G10K11/16@D,G10K11/16,120,G10K11/168","特開2017-227109","","特許6829434","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-227109/11/ja"
"特開2017-227062","特願2016-124815","2016/06/23","2017/12/28","天井構造","フクビ化学工業株式会社,戸田建設株式会社","E04B5/52@A,E04B1/82@F,E04B9/00@A","特開2017-227062","","特許6821337","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-227062/11/ja"
"特開2017-222979","特願2016-116939","2016/06/13","2017/12/21","免震装置下コンクリートの打設方法と打設用型枠装置","戸田建設株式会社","E02D27/34@B,E04G13/02@A,E04G21/02,103,E04G21/02,103@Z","特開2017-222979","","特許6637843","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-222979/11/ja"
"特開2017-218776","特願2016-113181","2016/06/07","2017/12/14","裏込注入装置を有するシールド掘進機およびトンネルの止水方法","戸田建設株式会社","E21D9/06,301@K,E21D11/00@A","特開2017-218776","","特許6713842","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-218776/11/ja"
"特開2017-214747","特願2016-108525","2016/05/31","2017/12/07","覆工コンクリート類の充填検知方法及びコンクリート類の充填検知センサ","ムネカタ株式会社,戸田建設株式会社,ムネカタインダストリアルマシナリー株式会社","E21D11/10@Z,E04G21/02,103@Z,G01F23/14,H01L41/113,G01F23/22@H,H01L41/193,H01L41/18,H10N30/30,H10N30/85,H10N30/857","特開2017-214747","","特許6737462","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-214747/11/ja"
"特開2017-197951","特願2016-088708","2016/04/27","2017/11/02","引き込み沈下対策壁の施工方法","戸田建設株式会社,太洋基礎工業株式会社","E02D5/04,E02D17/18,E02D17/18@Z","特開2017-197951","","特許6765096","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-197951/11/ja"
"特開2017-197950","特願2016-088707","2016/04/27","2017/11/02","挿入杭式土留め壁","戸田建設株式会社","E02D17/04@E,E02D5/04","特開2017-197950","","特許6826820","拒絶2020-016862","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-197950/11/ja"
"特開2017-190646","特願2016-082237","2016/04/15","2017/10/19","天井補強構造およびその施工方法","株式会社桐井製作所,戸田建設株式会社","E04B5/54@B,E04B5/58@S,E04B9/04@B,E04B9/18@F,E04B9/18@E,E04B9/18@B","特開2017-190646","","特許6723060","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-190646/11/ja"
"特開2017-173253","特願2016-062254","2016/03/25","2017/09/28","一軸拘束ひび割れ試験用コンクリート供試体とその作製具","株式会社フジタ,株式会社安藤・間,株式会社熊谷組,戸田建設株式会社,佐藤工業株式会社,西松建設株式会社,前田建設工業株式会社","G01N33/38","特開2017-173253","","特許6780946","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2017-173253/11/ja"
