"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特許7410348","特願2023-083726","2023/05/22","2024/01/09","制御装置、制御方法及び制御システム","株式会社エヌジーシー,双日株式会社,日商エレクトロニクス株式会社","B60L53/62,H02J7/00@P,H02J7/00@B,H02J13/00,301@A,H02J13/00,311@S,B60L50/60,B60L53/14,B60L58/12,B60L53/65,B60L53/66,H02J13/00,H02J13/12,H02J107:10,H02J7/00,H02J7/40,H02J7/50","(57)【要約】
【課題】それぞれの充電器が車両のバッテリーの残量を検知することができない場合であっても、複数の車両のバッテリー残量に応じて各充電器に適切な量の電力を充電させることができるようにする。
【解決手段】複数の充電器を制御する制御装置１である。接続された車両のバッテリーに充電を開始したことを示す充電開始データを充電器識別情報に関連付けて取得する充電開始データ取得部１３１と、受電を開始したことを示す受電開始データを車両識別情報に関連付けて取得する受電開始データ取得部１３２と、所定の期間内に取得された充電開始データに含まれる充電器識別情報に対応する充電器と受電開始データに含まれる車両識別情報に対応する車両とを関連付ける関連付け部１３３と、充電する対象となる車両に関連付けられた充電器を制御するための制御データを送信するデータ送信部１３４を有する。
【選択図】図３

","特開2024-006991","","特許7410348","","","特許 有効","出願人・権利者等の氏名変更","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7410348/15/ja"
"特許7285388","特願2023-501108","2022/10/19","2023/06/01","制御装置、制御方法及び制御システム","株式会社エヌジーシー,双日株式会社","B60L53/62,B60L53/14,B60L58/12,B60L53/67,B60L53/65,H02J7/00@P,H02J7/02@J,H02J7/00,H02J7/40,H02J7/50","【要約】
  複数の充電器を制御する制御装置１である。接続された車両のバッテリーに充電を開始したことを示す充電開始データを充電器識別情報に関連付けて取得する充電開始データ取得部１３１と、受電を開始したことを示す受電開始データを車両識別情報に関連付けて取得する受電開始データ取得部１３２と、所定の期間内に取得された充電開始データに含まれる充電器識別情報に対応する充電器と受電開始データに含まれる車両識別情報に対応する車両とを関連付ける関連付け部１３３と、充電する対象となる車両に関連付けられた充電器を制御するための制御データを送信するデータ送信部１３４を有する。

","WO2024/009524","","特許7285388","","","特許 有効","出願人・権利者等の氏名変更","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7285388/15/ja"
"特開2013-172645","特願2012-037404","2012/02/23","2013/09/05","ジャガイモ原料の糖化方法及び液体燃料の製造方法","独立行政法人産業技術総合研究所,双日株式会社,日立造船株式会社","C12P7/02,C12P19/04@Z,C12P19/02,C12P7/10","(57)【要約】
【課題】ジャガイモ塊茎由来原料を効率的に糖化する方法、及びジャガイモ塊茎由来原料を利用した液体燃料の製造法の提供。
【解決手段】ジャガイモ塊茎由来原料を、加水分解酵素を含有する細胞壁高分解性糸状菌の分泌酵素液で処理することを特徴とする、糖化物の製造方法。
【選択図】なし
","特開2013-172645","","特許5843264","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2013-172645/11/ja"
"特開2012-168984","特願2012-113749","2012/05/17","2012/09/06","与信機能を備えた匿名電子商取引システム及び方法","リスクモンスター株式会社,双日株式会社","G06F17/60,306,G06F17/60,314,G06F17/60,414,G06Q20/40,100,G06Q20/40,110,G06Q20/42,G06Q30/06,122,G06Q30/06,130,G06Q20/38,330,G06Q20/40,320,G06Q30/06,300,G06Q30/06,312,G06Q30/0601,G06Q30/0601,312","(57)【要約】      （修正有）
【課題】コンピュータネットワーク上でのリアルタイム与信判断、取引限度管理、債権管理、認証リスク管理などを提供する。
【解決手段】コンピュータネットワーク上に構築されたサイト上で、商取引に売主または買主として新たに関与しようとする者が所定の条件を充足している場合に取引者として認証し、前記認証を受けた取引者に関する、資本金、売上高及び業歴の少なくとも一つを含む所定の企業データに基づいて前記取引者のランクを設定し、該ランクに基づいて前記取引者の前記商取引の取引限度額を設定し、前記商取引の額が該商取引の売主または買主の前記取引限度額を超える場合に前記商取引を制限する。
【選択図】図１
","特開2012-168984","","特許5456841","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2012-168984/11/ja"
"特開2011-192295","特願2011-103869","2011/05/06","2011/09/29","与信機能を備えた匿名電子商取引システム及び方法","リスクモンスター株式会社,双日株式会社","G06F17/60,306,G06F17/60,314,G06F17/60,330,G06F17/60,414,G06Q20/40,110,G06Q20/42,G06Q30/06,122,G06Q30/06,130,G06Q20/38,330,G06Q20/40,320,G06Q30/06,300,G06Q30/06,312,G06Q30/0601,G06Q30/0601,312","(57)【要約】      （修正有）
【課題】コンピュータネットワーク上に構築されたサイト上で完全匿名の商取引を可能にする商取引与信方法を提供する。
【解決手段】サイト上での商取引に売主５１，５２，５３または買主６１，６２，６３として新たに関与しようとする者が所定の条件を充足している場合に取引者として認証し、前記認証を受けた取引者に関する、資本金、売上高及び業歴の少なくとも一つを含む所定の企業データ８３に基づいて前記取引者のランクを設定し、該ランクに基づいて前記取引者の前記商取引の取引限度額を設定し、前記商取引の額が該商取引の売主５１，５２，５３または買主６１，６２，６３の前記取引限度額を超える場合に前記商取引を制限する。
【選択図】図１
","特開2011-192295","","特許5258929","拒絶2012-009147","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2011-192295/11/ja"
"再表2011/001493","特願2011-520686","2009/06/29","2011/01/06","有機溶媒に可溶な、ＰＭＤＡ、ＤＡＤＥ、ＤＡ、ビス（アミノ－４－ヒドロキシフェニル）スルホン成分を含むポリイミドおよびその製造方法","ソルピー工業株式会社,双日株式会社","C08G73/10,C08J5/18,C09D179/08@A,C09D179/08","(57)【要約】
  本発明は、（１）ピロメリット酸ジ無水物（ＰＭＤＡ）、（２）ビフェニルテトラカルボン酸ジ無水物（ＢＰＤＡ）またはベンゾフェノンテトラカルボン酸ジ無水物（ＢＴＤＡ）を含むカルボン酸ジ無水物（ＤＡ）、（３）ジアミノジフェニルエーテル（ＤＡＤＥ）、ならびに（４）ビス（３－アミノ－４－ヒドロキシフェニル）スルホン（ＨＯＡＢＳＯ２）を重合して得られる耐熱性ポリイミドに関する。本発明により、耐熱性に優れ、かつ有機溶媒に可溶なポリイミドおよびその製造方法が提供できる。
","WO2011/001493","","特許5523456","","再表2011/001493","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2011-001493/19/ja"
"再表2008/120398","特願2009-507385","2007/04/03","2008/10/09","溶剤に可溶な６，６－ポリイミド共重合体及びその製造方法","ソルピー工業株式会社,双日株式会社","C08G73/10,C09D5/44@Z,C09J179/08@Z","(57)【要約】
  ピロメリット酸ジ無水物（ＰＭＤＡ）、１，４－ジアミノジフェニルエーテル（ＤＡＤＥ）、ビフェニルテトラカルボン酸ジ無水物（ＢＰＤＡ）及び２，４－ジアミノトルエン（ＤＡＴ）の４成分からなる超耐性ポリイミドにおいて、(ＢＰＤＡ)：（ＤＡＤＥ）：(ＰＭＤＡ)：（ＤＡＴ）のモル比が、２：２：ｍ：ｍである（ここで、ｍは、３，４又は５の整数である。）前記超耐性ポリイミド溶液を提供する。
","WO2008/120398","","特許5281568","","再表2008/120398","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2008-120398/19/ja"
"特開2007-119952","特願2005-313903","2005/10/28","2007/05/17","加工羽毛の製造方法","ヤマセイ株式会社","D06M13/238,D06M15/03,D06M19/00","(57)【要約】
【課題】  羽毛の嵩高性を損うことなく、アレルギー抗原の不活化活性能を付与した加工羽毛の製造方法を提供する。
【解決手段】  原料羽毛を、熱風中で撹拌しながらタンニン酸水溶液を噴霧し、該原料羽毛にタンニン酸を付着させて乾燥させる。前記タンニン酸水溶液の濃度が０．３～２０質量％であることが好ましく、原料羽毛１００質量部に対して、前記タンニン酸水溶液を３～１００質量部噴霧することが好ましい。また、前記熱風の温度が６０～１１０℃であることが好ましい。更に、前記タンニン酸水溶液が抗菌剤を含有するものであることが好ましく、前記抗菌剤がキトサンであることが好ましい。本発明の加工羽毛の製造方法は、布団、枕、クッション、ダウンジャケット、寝袋から選ばれた１種に適用されることが好ましい。
【選択図】  なし
","特開2007-119952","","特許4732123","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2007-119952/11/ja"
