"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2012-046623","特願2010-189588","2010/08/26","2012/03/08","ポリテトラフルオロエチレン造粒物の製造方法","長瀬産業株式会社","B29B9/04,B29K27:18,C08J3/12@Z","(57)【要約】
【課題】溶媒を必要とせず、かつ、十分に流動性を高くできる、ポリテトラフルオロエチレン造粒物の製造方法を提供する。
【解決手段】本発明は、ポリテトラフルオロエチレン粒子Ｒを圧延することによりシートＳを得る工程と、シートＳを多孔板３４に押し付けて多孔板３４の孔３４ａを通過させることにより造粒物Ｇを得る工程と、造粒物Ｇを転動する工程と、を備える、ポリテトラフルオロエチレン造粒物の製造方法である。
【選択図】図１
","特開2012-046623","","特許5457305","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2012-046623/11/ja"
"特開2011-234520","特願2010-103088","2010/04/28","2011/11/17","ケーブル保護管接続用ブロック体及びケーブル保護管の接続構造","株式会社利川プラスチック,ナガセプラスチックス株式会社,東拓工業株式会社","H02G1/06,311@D,H02G9/10,H02G1/06","(57)【要約】
【課題】ハンドホール等の側壁に取り付けて、ケーブル保護管を接続するためのブロック体において、ケーブル保護管の接続作業を簡単且つ確実に行う。
【解決手段】このブロック体２０は、挿着孔部２３を有するレジンコンクリート製のブロック本体２１と、合成樹脂製の複数の抜け止め部材２２・・とを備える。各抜け止め部材２２は、ブロック本体２１に埋設した固定片４０と、挿着孔部２３内に張り出して、挿着孔部２３の径方向に弾性を有する係止片４１とからなる。ケーブル保護管５の係合凸部１１の押し込みによって、係止片４１・・を径外方向へ押し広げることで、挿着孔部２３へのケーブル保護管５の差し込みを許容する。挿着孔部２３へ差し込んだケーブル保護管５の係合凸部１１に、弾性復帰した係止片４１・・を係止させて、挿着孔部２３からのケーブル保護管５の抜けを阻止する。
【選択図】図１２
","特開2011-234520","","特許5413678","","","特許 有効","出願人・権利者等の変更申請","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2011-234520/11/ja"
"特開2009-279517","特願2008-134268","2008/05/22","2009/12/03","フィルター用リテーナ","長瀬産業株式会社,株式会社東海スプリング製作所","B01D29/34,501@C,B01D29/39,B01D29/52","(57)【要約】
【課題】従来のフィルターエレメントの内部構造による精度や圧損等の種々の問題点を一挙に解決可能と全く新規な構造のフィルター用リテーナを提供する。
【解決手段】両面上に濾材を支持するフィルター用リテーナ（１）であって、化学的エッチングにより形成された貫通穴（４）が周方向に多数配列された一対のエッチング処理円板（３ａ、３ｂ）が、対応する各貫通穴（４）の位置を一致させた状態で、互いに接合されており、接合された形態にて、一対のエッチング処理円板（３ａ、３ｂ）間に径方向に延びる内部通路（８）が形成されていることを特徴とするフィルター用リテーナ。
【選択図】図５
","特開2009-279517","","特許5031663","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2009-279517/11/ja"
"特開2009-065837","特願2007-234352","2007/09/10","2009/04/02","プロモーターおよびその活性化方法","長瀬産業株式会社,岡山県","C12N1/21,C12N15/00@A,C12P21/02@C,C12N15/63,100@Z,C12N15/67@Z,C12N15/76@Z","(57)【要約】      （修正有）
【課題】放線菌においてタンパク質の発現量を増加させる方法を提供する。
【解決手段】プロモーターが挿入されているベクターが組み込まれた組換え微生物を、マグネシウム、カルシウム、およびマンガンからなる群より選択される金属塩を含む培地中で培養する工程を含む、プロモーターを活性化する方法。プロモーターの活性化とは、プロモーターによって、組換え微生物におけるタンパク質の発現量が増加させることである。この方法において、プロモーターは、特定な配列からなる塩基配列における配列番号の１位から４２７位までの塩基配列を有するか、または該塩基配列において１もしくは数個の塩基が欠失、置換もしくは付加されかつ該塩基配列と同等またはそれ以上の活性を発揮し得る塩基配列からなる。
【選択図】なし
","特開2009-065837","","特許4586149","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2009-065837/11/ja"
"再表2008/155999","特願2009-520424","2008/06/06","2008/12/24","ＧＡＢＡ作動性ニューロン賦活剤","長瀬産業株式会社,国立大学法人徳島大学","A23K1/00,101,A23K1/16,303@A,A23K1/16,303@D,A23K1/16,304@C,A23L1/30@B,A61K31/567,A61K31/704,A61K35/74@Z,A61K35/78@M,A61K35/78@Y,A61K35/78,A61P25/20,A61P25/22,A61P25/24,A61P43/00,111,C12P19/14,A23L33/135,A23K10/12,A23K10/14,A23K10/18,A23K10/30,A23K20/163,A61K35/747,A61K36/25,A61K36/258","(57)【要約】
  安全性に優れ、かつ、ＧＡＢＡ作動性ニューロンを賦活し得るＧＡＢＡ作動性ニューロン賦活剤を提供する。
  本発明のＧＡＢＡ作動性ニューロン賦活剤は、醗酵人参エキスを有効成分として含有する。本発明の睡眠障害の予防または治療のために用いられる旨の表示を付した飲食物は、該ＧＡＢＡ作動性ニューロン賦活剤を含有し、ＧＡＢＡ作動性ニューロン賦活作用を有することを特徴とする。
","WO2008/155999","","特許5204771","拒絶2012-025010","再表2008/155999","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2008-155999/19/ja"
"特開2008-222208","特願2008-030375","2008/02/12","2008/09/25","自動車用耐荷重ボードおよびその製造方法","株式会社タケヒロ,長瀬産業株式会社","B60R5/04@Z","(57)【要約】
【課題】軽量でかつ十分な強度、特に、荷重に対する剛性および局所荷重に対する耐久性を有する自動車用耐荷重ボードを提供すること、ならびにこの自動車用耐荷重ボードを簡単な工程により製造する方法を提供すること。
【解決手段】本発明の自動車用耐荷重ボードは、第一繊維性基材と熱可塑性発泡コア層と第二繊維性基材とがこの順に積層されてなる積層構造体を一体プレスして得られるコアボードを備え、これらの繊維性基材は繊維状物と樹脂バインダーとを含有する絡合不織布でなり、そして熱可塑性発泡コア層を構成する樹脂成分の融点は、樹脂バインダーの融点よりも高い。本発明の自動車用耐荷重ボードは軽量であり、かつリーンホースなどの補強材を用いることなく、十分な強度を有し得、フロアボード、リアパッケージトレイなどに用いられ得る。
【選択図】図２
","特開2008-222208","","特許5252942","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2008-222208/11/ja"
"特開2007-314947","特願2006-142555","2006/05/23","2007/12/06","デッキ材、デッキ構造、デッキ組み立て方法およびデッキフロア","フクビ化学工業株式会社","E04F15/02@P,E04F15/02,101@H","(57)【要約】
【課題】高品質で、水はけがよく、安全で、耐久性に富み、かつ、組み立てが容易な、木質系のデッキフロアを実現すること。
【解決手段】隣接するデッキ材（１００ａ，１００ｂ）の側面に設けられている嵌合溝（１１２，１１０）に、デッキ材連結具（ジョイント）の係止部（ｄ，ｃ）を嵌合させると共に、規制爪（ｅ）にてデッキ材１００ａの位置決めをする。規制爪（ｅ）は、作業時の圧力では降伏しないが、デッキ材の吸水による膨張圧力では降伏し、応力を吸収する。また、雨水を下に落とすための入り組んだ構造の隙間（流路）も自動的に構築され、かつ、突出片（１１４）によって、コインの落下も防止される。
【選択図】図５
","特開2007-314947","","特許4781907","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2007-314947/11/ja"
"特開2007-240572","特願2006-058940","2006/03/06","2007/09/20","液晶表示装置の製造方法","カシオ計算機株式会社,三和フロスト工業株式会社,長瀬産業株式会社","C03C15/00@C,G02F1/13,101,G02F1/1333,500,G02F1/1339,505","(57)【要約】
【課題】  互いに貼り合わされた２枚のガラス基板の厚さを薄くするためのエッチングの終了時点を決定するためのパラメータ数を少なくする。
【解決手段】  エッチング速度がエッチング槽１２内のエッチング液１３の温度及び濃度に応じて一意的に決定されることに着目し、エッチング槽１２内のエッチング液１３の温度及び濃度を一定に維持して、互いに貼り合わされた２枚のガラス基板１、２のエッチング厚さをエッチング時間で管理すると、パラメータはエッチング時間のみであり、互いに貼り合わされた２枚のガラス基板の厚さを薄くするためのエッチングの終了時点を決定するためのパラメータ数を少なくすることができる。
【選択図】  図４
","特開2007-240572","","特許4738212","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2007-240572/11/ja"
"再表2007/074553","特願2007-551850","2006/07/07","2007/07/05","立体選択的にストレッカー反応を進行させ得る触媒、およびそれを用いたα－アミノニトリル誘導体を立体選択的に製造するための方法","長瀬産業株式会社,国立大学法人京都大学","B01J31/02,102@Z,B01J31/12@Z,C07B53/00@B,C07B61/00,300,C07C67/307,C07C69/76@A,C07C303/36,C07C311/19,C07D223/14","(57)【要約】
  本発明によれば、４級アンモニウム塩からなるストレッカー反応用触媒およびそれを用いたα－アミノニトリル誘導体を立体選択的に製造するための方法が提供される。本発明で得られたα－アミノニトリル誘導体を用いれば、従来のアルキル化反応では困難であった光学活性なα－アミノ酸およびその誘導体を容易に製造することができる。
","WO2007/074553","","特許5344523","","再表2007/074553","特許 有効","権利の移転","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2007-074553/19/ja"
"特開2007-114138","特願2005-308121","2005/10/24","2007/05/10","欠陥マーキング装置","長瀬産業株式会社","G01N21/892@A","(57)【要約】
【課題】長さ方向に搬送される長尺のシート状製品の欠陥を検査装置により検出し、検出された欠陥部分に正確かつ明瞭にマーキングを施すことができる欠陥マーキング装置を提供する。
【解決手段】長さ方向に搬送される長尺のシート状製品の欠陥を検査装置により検出し、該検査装置より搬送方向の下流側において検出された欠陥部分にマーキングを施す装置において、マーキング部材の押し出しと引き込みをソレノイドの作動により行い、ソレノイドへの印加電圧及び電圧印加時間を多段階に調整することを可能とした回路を有することを特徴とする欠陥マーキング装置。
【選択図】図４
","特開2007-114138","","特許4322243","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2007-114138/11/ja"
"再表2007/013698","特願2007-526956","2006/07/28","2007/02/01","アルジミンまたはその誘導体を用いる一置換アルキル化化合物の製造方法","長瀬産業株式会社","C07B53/00@B,C07B61/00,300,C07C227/16,C07C227/32,C07C229/36,C07C237/20,C07C249/02,C07C251/24","(57)【要約】
本発明は、アルジミン型シッフ塩基を用いて、特定の式で表されるα－アミノ酸の不斉一置換アルキル化化合物を製造する方法を提供する。本発明の方法においては、媒体中、光学活性な４級アンモニウム塩系相間移動触媒および無機塩基の存在下にて、アルジミン型シッフ塩基をアルキル化する工程を開始した後、該アルキル化反応の化学量論的反応完結時間よりも前の時間にクエンチすることによって、光学純度が高い一置換アルキル化物を得ることができる。
","WO2007/013698","","特許4879896","拒絶2011-022532","再表2007/013698","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2007-013698/19/ja"
"再表2007/013697","特願2007-526955","2006/07/28","2007/02/01","軸不斉を有する光学活性な４級アンモニウム塩およびそれを用いたα－アミノ酸およびその誘導体の製造方法","長瀬産業株式会社","C07B53/00@B,C07B53/00@G,C07B61/00,300,C07C227/04,C07C229/36,C07C249/02,C07C251/24,C07D223/14,C07D223/18","(57)【要約】
  本発明によれば、比較的少ない工程で製造可能な２，２’－ジメチレンブロミド－１，１’－ビナフチル誘導体と、入手が容易な２級アミンとを反応させることによって製造できる、単純化された構造を有するキラル相間移動触媒が提供される。本発明のキラル相間移動触媒は、下記式（Ｉ）で表される化合物であり、その化学構造中に長鎖のアルキル基Ｒ７を有する。そのため、不斉アルキル化反応などにおいて、従来の触媒では十分な立体選択性を得られなかった反応でも高い立体選択性が得られることが期待される。
","WO2007/013697","","特許4802191","","再表2007/013697","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2007-013697/19/ja"
