"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特許7787367","特願2025-535119","2025/01/22","2025/12/16","生分解性農業資材用熱可塑性樹脂組成物、生分解性農業資材、及びその製造方法","ナガセヴィータ株式会社,長瀬産業株式会社","C08L67/00,C08L67/02,C08L67/04,C08K5/1545,A01G13/00,501@D,A01G13/35,C08L101/16","【要約】
  本開示の目的は、適度な靭性を有するとともに伸縮性及び柔軟性に優れ、高い生分解性を有し、鋤き込み後に土壌改良効果を奏し得る、生分解性農業資材用の熱可塑性樹脂組成物を提供することである。
  本実施形態は、生分解性を有する脂肪族ポリエステル系樹脂と、生分解性を有する脂肪族芳香族ポリエステル系樹脂と、トレハロースとを含む、生分解性農業資材用の熱可塑性樹脂組成物である。
","WO2025/164463","","特許7787367","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7787367/15/ja"
"特許7781328","特願2025-065838","2025/04/11","2025/12/05","エルゴチオネインの定量方法","長瀬産業株式会社","G01N33/68,C12N9/88,C12Q1/527","【要約】
【課題】本開示によれば、グロビンタンパク質を含むサンプルの簡便且つ正確なエルゴチオネインの定量方法を提供できる。
【解決手段】採取されたサンプル中のエルゴチオネインを定量する方法であって、
（Ａ）前記サンプルを加熱する工程、
（Ｂ）加熱されたサンプルとトリクロロ酢酸を混合する工程、および
（Ｃ）工程（Ｂ）で得られたサンプルを定量操作に供する工程、
を含む、方法。
【選択図】図２
","","","特許7781328","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7781328/15/ja"
"特許7692106","特願2024-205593","2024/11/26","2025/06/12","成形体の製造方法","ナガセプラスチックス株式会社,長瀬産業株式会社","B29C45/76,B29C45/26,C08L67/02,C08L101/16","【要約】
【課題】ポリヒドロキシアルカノエート（ＰＨＡ）粉体造粒物のメルトメモリー効果を有効に利用して、射出成形によりＰＨＡ成形体を製造する方法を提供する。
【解決手段】成形体の製造方法は、射出成形機によりＰＨＡを射出成形することを含む。前記射出成形は、ＰＨＡ粉体を含む粉体造粒物を可塑化溶融温度ＴＰ（単位：℃）で溶融して溶融物を得ること、前記溶融物を金型に注入すること、及び前記溶融物を冷却して固化することを含む。前記可塑化溶融温度ＴＰは、式（１）
      ＴＭ－２０＜ＴＰ≦ＴＭ＋２０      （１）
（式中、ＴＭ（単位：℃）は、窒素雰囲気中で前記粉体造粒物を室温から１０℃／ｍｉｎの速度で昇温させる示差走査熱量測定において観測される最高融解ピーク温度を表す。）
を満たす。
【選択図】図１
","","","特許7692106","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7692106/15/ja"
"特許7692105","特願2024-205462","2024/11/26","2025/06/12","押出成形体の製造方法","ナガセプラスチックス株式会社,長瀬産業株式会社","B29C48/92,B29C48/14,B29C48/88,B29C48/305,B29B9/08,C08J5/00","【要約】
【課題】ポリヒドロキシアルカノエート（ＰＨＡ）粉体造粒物を用いて、安定的にＰＨＡ押出成形体を連続的に製造することができる、押出成形体の製造方法を提供する。
【解決手段】押出成形体の製造方法は、押出成形機によりポリヒドロキシアルカノエート（ＰＨＡ）を押出成形することを含む。前記押出成形は、ＰＨＡ粉体を含む粉体造粒物を可塑化溶融温度ＴＰ（単位：℃）で溶融して溶融物を得ること、前記溶融物をダイスから押し出すこと、及び押し出された前記溶融物を冷却して固化することを含む。前記可塑化溶融温度ＴＰは、式（１）
      ＴＭ－１０＜ＴＰ≦ＴＭ＋２０      （１）
（式中、ＴＭ（単位：℃）は、窒素雰囲気中で前記粉体造粒物を室温から１０℃／ｍｉｎの速度で昇温させる示差走査熱量測定において観測される最高融解ピーク温度を表す。）
を満たす。
【選択図】図１
","","","特許7692105","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7692105/15/ja"
"特許7766851","特願2025-520115","2024/11/25","2025/06/05","組成物および固形成形体","ナガセヴィータ株式会社,長瀬産業株式会社","A23L5/00@M,A23L5/00@N,A23L5/00@D,A23L33/17,A61K9/20,A61K47/42,A61K47/26","null","WO2025/115792","","特許7766851","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7766851/15/ja"
"特許7671906","特願2024-146900","2024/08/28","2025/05/02","粉体造粒物および粉体造粒物の製造方法","ナガセプラスチックス株式会社,長瀬産業株式会社","C08L101/00,C08J3/12@Z,C08J3/12,C08L25/04,C08L33/00,C08L101/14","【要約】
【課題】真球状ポリマー微粒子を含む粉体造粒物であって、光学特性、物理的特性および生産性に優れる粉体造粒物を提供すること。
【解決手段】本発明の実施形態による粉体造粒物は、真球状ポリマー微粒子（Ａ）と、透明ポリマー粉体（Ｂ）と、結着剤（Ｃ）とを含み、該真球状ポリマー微粒子（Ａ）の含有割合が、粉体造粒物１００質量部に対して、１０質量部～９７質量部であり、該透明ポリマー粉体（Ｂ）の含有割合が、粉体造粒物１００質量部に対して、１質量部～８８質量部であり、該結着剤（Ｃ）の含有割合が、粉体造粒物１００質量部に対して、２質量部～３０質量部（乾燥質量）であり、結着剤（Ｃ）が水系ポリマーを含み、該水系ポリマーが、親水性基と疎水性基とを有する。
【選択図】図１

","","","特許7671906","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7671906/15/ja"
"特許7755772","特願2025-519185","2024/06/12","2024/12/19","化合物又はその塩及びその製造方法、組成物、過酸化水素除去剤、並びに、細胞毒性抑制剤","長瀬産業株式会社","C07D233/84,A61K31/4178,A61P43/00,111,A61P39/02,A61K9/08","null","WO2024/257775","","特許7755772","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7755772/15/ja"
"特許7583971","特願2024-080912","2024/05/17","2024/11/14","バッテリーデバイス用クーリング部材、同クーリング部材を含むバッテリー構造体及びクーリング部材の製造方法","長瀬産業株式会社","H01M10/653,H01M10/613,H01M10/625,H01M10/6554,H01M10/6556","(57)【要約】
【課題】車両の床下に搭載するバッテリー構造体の衝撃対策と熱対策を比較的単純な構成で実現するためのバッテリーデバイスを構成するクーリング部材とその製造方法を提供する。
【解決手段】
  電気エネルギーを駆動源として利用する車両に搭載するバッテリー構造体のバッテリーデバイスを構成する複数のバッテリーセルを載置するクーリング部材が、発泡金属層に冷却手段を配設して一体に構成されることを特徴とする。
【選択図】図２
","特開2025-174499","","特許7583971","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7583971/15/ja"
"特許7479652","特願2023-162994","2023/09/26","2024/05/09","氷核活性剤","学校法人　関西大学,長瀬産業株式会社","A61K47/46,A61K9/08,A23L3/36@Z,C09K3/00@Z,C09K5/06@Z,C09K3/24,A23B2/80@Z","(57)【要約】
【課題】
  生体に対してより安全性が高く、様々な分野において利用可能な氷核活性物質が求められているが、まだ十分な報告がなされていない。
【解決手段】
  植物破砕物、及び／又は、その抽出残渣を有効量含有する、氷核活性剤を調製する。
【選択図】なし
","特開2025-053891","","特許7479652","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7479652/15/ja"
"特許7458543","特願2023-130352","2023/08/09","2024/03/29","情報処理装置、情報処理方法、プログラム、及び記録媒体","長瀬産業株式会社","G06F40/279","(57)【要約】
【課題】ユーザにとって有用な情報を含む要約を生成する
【解決手段】情報処理装置（１００）は、クエリを取得する第１の取得部（１１）と、前記クエリを参照して、１又は複数の対象チャンクから、前記クエリに適合するチャンクである１又は複数の適合チャンクを抽出する第１の抽出部（１２）と、前記１又は複数の対象チャンクの要約を生成するための指示情報であって、前記１又は複数の適合チャンクを含む指示情報を生成する第１の生成部（１３）と、前記指示情報が入力された言語モデルが出力する出力情報を取得する第２の取得部（１４）とを備えている。
【選択図】図１
","特開2025-025519","","特許7458543","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7458543/15/ja"
"特許7454735","特願2023-130342","2023/08/09","2024/03/22","情報処理装置、情報処理方法、プログラム、及び記録媒体","長瀬産業株式会社","G06F16/332,G06F16/90,100,G06F16/2452,G06F16/3331,G06F16/90","(57)【要約】
【課題】コストの上昇を抑えつつ、正確性の高いデータを生成する
【解決手段】情報処理装置（１００）は、  クエリを取得する第１の取得部（１１）と、１又は複数の対象チャンクと、前記クエリに含まれる第１の条件に応じた指示文とを含む入力情報を生成する第１の生成部（２１）と、前記入力情報が入力された言語モデルが出力する出力情報を取得する第２の取得部（１２）とを備えている。
【選択図】図１
","特開2025-025517","","特許7454735","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7454735/15/ja"
"特許7454097","特願2023-173896","2023/10/05","2024/03/21","結晶性ポリマーの粉体造粒物及びその製造方法","ナガセプラスチックス株式会社,長瀬産業株式会社","C08J3/12@Z,C08J3/12,B29B9/08","(57)【要約】
【課題】本実施形態の目的は、成形加工において結晶化特性に優れた結晶性ポリマー粉体の造粒物を提供することである。
【解決手段】本実施形態は、結晶性ポリマー粉体の粉体造粒物であって、前記粉体造粒物を室温から１０℃／ｍｉｎの昇温速度で第１のホールド温度ＴＨ１まで昇温させてから第１のホールド温度ＴＨ１で１５分間保持した後に、１０℃／ｍｉｎの降温速度で降温させる条件にて第１のＤＳＣ測定を行った場合において、降温時に、結晶性ポリマーの再結晶化による発熱ピークが現れる第１のホールド温度ＴＨ１が存在し、第１のホールド温度ＴＨ１は、前記第１のＤＳＣ測定の昇温時に最も高温側に現れる結晶性ポリマーの融解ピーク温度ＴＭより高い温度である、粉体造粒物である。
【選択図】図３
","特開2025-064282","","特許7454097","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7454097/15/ja"
"特開2024-033008","特願2024-015940","2024/02/05","2024/03/12","ポリエステル系樹脂組成物","長瀬産業株式会社","C08L67/02,C08K9/08","(57)【要約】
【課題】ポリエステル系樹脂の結晶化速度が速く、成形サイクルに優れるポリエステル系樹脂組成物であって、耐熱性、剛性等の機械的特性に優れた成形体を形成し得るポリエステル系樹脂組成物を提供すること。
【解決手段】本発明のポリエステル系樹脂組成物は、ポリエステル系樹脂と、フィラーと、フィラー分散剤および／またはフィラー結着剤とを含む、ポリエステル系樹脂組成物であって、該ポリエステル系樹脂組成物中、該フィラーの含有割合が、２０重量％～７０重量％である。
【選択図】なし
","特開2024-033008","","特許7766121","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-033008/11/ja"
"特許7572573","特願2023-573484","2023/08/17","2024/02/29","ラッカーゼ活性を有するタンパク質","長瀬産業株式会社","C12N15/53,C12N15/63@Z,C12N9/02,C12N7/00,C12N1/21,C12N1/19,C12N1/15,C12P7/00,H01M8/16,H01M8/1016,H01M4/90@Y","null","WO2024/043159","","特許7572573","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7572573/15/ja"
"特開2024-026319","特願2023-207214","2023/12/07","2024/02/28","電子機器、情報処理システム","株式会社シーズ,長瀬産業株式会社","G06F11/10,604,H04L1/00@A","(57)【要約】
【課題】データの伝送におけるデータ破壊リスクを、さらに低減し得る技術を提供すること。
【解決手段】データブロック生成部３２ｇは、センサ情報に基づいてデータブロックＢＤ１、データブロックＢＤ２、及びデータブロックＢＤ３を生成する。第１処理部３３ｇは、第２関連付情報ＦＴ１を生成し、これを第１関連付情報ＨＤ２としてデータブロックＢＤ２に付加する。第２処理部３４ｇは、データブロックＢＤ２から得られるハッシュ値を少なくとも含む第２関連付情報ＦＴ２を生成してデータブロックＢＤ２に付加する。記憶制御部３６ｇは、第１関連付情報ＨＤ２及び第２関連付情報ＦＴ２が付加されたデータブロックＢＤ２を、データブロックＢＤ１を含む１以上の他の前記単位のデータに対して、ブロックチェーンの技術を利用した対応付けを行って、記憶部１２ｇに記憶させる制御を実行する。これにより、上記課題を解決する。
【選択図】図６
","特開2024-026319","","特許7766307","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-026319/11/ja"
"特開2023-174772","特願2023-174273","2023/10/06","2023/12/08","フィラー造粒物の製造方法","長瀬産業株式会社","C08L101/00,C08L23/00,C08K5/10,C08K3/013,B01J2/00@A,B01J2/20,B01F23/50,B29B9/00","(57)【要約】
【課題】フィラー造粒物中のフィラーの高濃度化、フィラー造粒物の生産性、適用フィラーの汎用性、熱可塑性樹脂組成物中でのフィラーの分散性等に優れるフィラー造粒物を提供すること。
【解決手段】本発明のフィラー造粒物の製造方法は、ポリマー液と、フィラーと、分散剤とを混合する混合工程と、混合工程を経て得られた混合物を造粒して造粒物前駆体を得る造粒工程と、造粒物前駆体を乾燥する乾燥工程とを含む、フィラー造粒物の製造方法であって、フィラー造粒物が、ポリマーと、フィラーと、分散剤とを含み、分散剤が、多価アルコール脂肪酸エステル、脂肪酸アマイド、ポリグリセリン脂肪酸エステル、縮合ヒドロキシ脂肪酸および縮合ヒドロキシ脂肪酸のアルコールエステルからなる群から選ばれる少なくとも１種であり、フィラーの含有割合が、ポリマーとフィラーの合計量１００重量部に対して、８０重量部～９９．９重量部である。
【選択図】なし
","特開2023-174772","","特許7576675","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-174772/11/ja"
"特許7387950","特願2023-080938","2023/05/16","2023/11/29","熱可塑性樹脂粉体造粒物","ナガセプラスチックス株式会社,長瀬産業株式会社","B29B9/08,C08J3/12@Z,C08J3/12,B29B9/12","(57)【要約】
【課題】本発明の目的は、熱可塑性樹脂粉体に対し、溶融混練ペレット化の工程を経ずとも、形状が安定し、嵩密度が高く、作業環境の良化をもたらし、加工機へのフィード特性（安定性、流動性）に優れ、また、溶融混練ペレット化に比べて、製造に要する電気使用量の削減、即ち、二酸化炭素の発生量を低減させることに寄与し得る、熱可塑性樹脂粉体の造粒物を提供することである。
【解決手段】本発明は、熱可塑性樹脂粉体を含む粉体造粒物であって、粉体造粒物の外縁に位置する熱可塑性樹脂粉体の少なくとも一部が溶融して構成された外壁部を有し、外壁部の内側に圧縮された熱可塑性樹脂粉体が収まっている、粉体造粒物である。
【選択図】図２
","特開2024-165088","","特許7387950","全部異議2024-700495","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7387950/15/ja"
"特開2023-163925","特願2022-075156","2022/04/28","2023/11/10","情報処理システム、情報処理方法、及びプログラム","株式会社シーズ,長瀬産業株式会社","G06Q50/10,G05B23/02@V,G06Q10/06","(57)【要約】
【課題】複数のセンサからのデータをより好適に処理するシステムを提供すること。
【解決手段】入力データを用いる所定の処理を実行するサーバ１と、入力データの少なくとも一部をサーバ１に提供する１以上の入力セル２－ｐとを含む情報処理システムにおいて、サーバ１の処理実行部５１は、入力言語データを入力データとして取得して、入力データを用いる所定の処理を実行して、その処理の実行結果を示す出力言語データを出力データとして出力する。入力セル２－ｐの言語変換ＡＩ７３は、所定の物理量を示す信号を入力して、前記言語データに変換して出力する。
【選択図】図４
","特開2023-163925","","特許7491535","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-163925/11/ja"
"特開2023-163777","特願2022-074909","2022/04/28","2023/11/10","難燃剤造粒物、難燃剤造粒物の製造方法および使用","セツナン化成株式会社,長瀬産業株式会社","C09K21/04,C08L101/00,C08K3/016,C08K9/08,C08K5/521,C08K5/5399,C08J3/12@Z,C08J3/12","(57)【要約】
【課題】非臭素系の粉体状の難燃剤について、取扱性、安全性、作業環境改善性を向上させることができ、かつ、高濃度で難燃剤が配合された樹脂組成物または樹脂成形品の生産性向上に寄与し得る難燃剤造粒物を提供する。
【解決手段】本発明の難燃剤造粒物は、非臭素系粉体状難燃剤が結着して構成される。１つの実施形態においては、上記難燃剤造粒物は、４０℃以上１５０℃未満の非臭素系粉体状難燃剤を含む。１つの実施形態においては、上記難燃剤造粒物は、液体の作用により結着可能な非臭素系粉体状難燃剤を含む。
【選択図】図１


","特開2023-163777","","特許7705824","拒絶2023-016970","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-163777/11/ja"
"特開2023-145649","特願2023-125390","2023/08/01","2023/10/11","セドヘプツロースの製造方法","長瀬産業株式会社","C12N1/21,C12N15/54,C12N15/31,C12N9/10,C12R1:465","(57)【要約】      （修正有）
【課題】七炭糖及びケトースに分類される糖の一種であり、天然に存在する数少ない七炭糖の一つであるセドヘプツロースを、バクテリアにより製造する方法に使用するためのバクテリアを提供する。
【解決手段】トランスアルドラーゼの機能が喪失又は減衰されている、ストレプトマイセス属に属するバクテリアを提供する。
【選択図】なし
","特開2023-145649","","特許7675137","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-145649/11/ja"
"特許7337219","特願2022-074908","2022/04/28","2023/09/01","粉体造粒物","セツナン化成株式会社,長瀬産業株式会社","C09D17/00,C08L101/00,C08K9/08,C08K3/013,C08K3/016,C08L23/00,C08L67/00,C08L77/00,C08J3/12@Z,C08J3/12","(57)【要約】
【課題】取扱い性および安全性に優れ、かつ、作業環境の良化をもたらし得る粉体造粒物であって、樹脂組成物を調製する際の原料供給安定性および供給精度を向上させることができ、樹脂成形品の生産性向上に寄与し得る粉体造粒物を提供すること。
【解決手段】本発明の粉体造粒物は、粉体原料Ａと、結着剤とを含む、粉体造粒物であって、結着剤が、下記要件（１）～（３）すべてを満たす結着剤粉体Ｂを含み、該結着剤粉体Ｂの含有割合が、該粉体造粒物に含有される結着剤の全量１００重量部に対して、５０重量部以上である。
  （１）３０メッシュの篩をパス
  （２）軟化温度が５０℃～１６０℃
  （３）重量平均分子量が１万以上１５万以下
【選択図】図１

","特開2023-163776","","特許7337219","","","特許 有効","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7337219/15/ja"
"特開2023-114988","特願2023-010991","2023/01/27","2023/08/18","受発注管理装置及び受発注管理システム","長瀬産業株式会社","G06Q10/087,G06Q30/06","(57)【要約】
【課題】受発注に係る処理を電子化し、発注者及び受注者の双方における事務的負担を軽減することを可能にした受発注管理装置及び受発注管理システムを提供する。
【解決手段】発注者による物品の発注及び受注者による物品の納入並びに物品の在庫に係る管理を行う受発注処理部１１と、受発注処理部１１による処理記録を管理する記録管理部２２と、備える受発注管理サーバ１は、受発注処理部１１が、発注者端末から物品に係る発注依頼情報を受け付け、受け付けた発注依頼情報を発注情報記憶部３４に記憶し、受注者端末又は発注者端末から発注依頼情報に含まれる各物品の発注状況に係る入力を受け付け、受け付けた発注状況に係る入力に基づいて発注情報記憶部３４の発注依頼情報に対応する状況データを更新し、記録管理部２２が、発注情報記憶部３４に係る登録及び更新があった場合に、日付情報を含む履歴情報を生成して履歴情報記憶部に履歴情報を記憶させる。
【選択図】図２
","特開2023-114988","","特許7463576","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-114988/11/ja"
"特開2023-095337","特願2021-211160","2021/12/24","2023/07/06","精製イオン液体の製造方法、セルロース溶解液および再生セルロース繊維の製造方法、ならびに繊維組成物および有機繊維コード","国立大学法人信州大学,長瀬産業株式会社,日本乳化剤株式会社","C07D233/58,C08B16/00,D01F2/00@Z,B01D15/00@K","(57)【要約】
【課題】セルロースの溶解処理の際にセルロースの分子量の低下を防止しうる、すなわち、経時的な保存安定性および熱安定性に優れる精製イオン液体を製造しうる手段を提供する。
【解決手段】イミダゾリウム系イオン液体、ピリジニウム系イオン液体、アンモニウム系イオン液体、ホスホニウム系イオン液体および環状アミジニウム系イオン液体からなる群から選択される少なくとも１種のイオン液体を、下記（１）～（３）のうちの少なくとも２つを満たす条件下で無機吸着剤と接触させて精製することにより、精製イオン液体を製造する；
  （１）前記無機吸着剤の量は、前記イオン液体１００質量部に対して０．５～２０質量部である；
  （２）接触させる際の温度は、２５～１２０℃である；
  （３）接触させる時間は、１０分間以上である。
【選択図】なし
","特開2023-095337","","特許7745851","","","特許 有効","特許権の設定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-095337/11/ja"
"特許7278512","特願2022-580810","2022/08/02","2023/05/19","グラフ処理装置、グラフ処理システム及びグラフ処理方法","長瀬産業株式会社","G06F16/906,G06Q50/10,G06F16/28","【要約】
  ニーズを満たす提案を得るためのグラフを生成するグラフ処理装置、グラフ処理システム及びグラフ処理方法を提供する。製品やサービスのニーズに対する提案を得るためのグラフを生成するグラフ処理サーバ１は、製品及び／又はサービスに係る素材の物性データを含む、素材に関連した関連情報を記憶する素材関連情報記憶部３５と、素材関連情報記憶部３５の関連情報を所定のカテゴリに分類してノードを生成し、ノード間をつなぐエッジによって前記カテゴリの関係性を表したグラフを生成するグラフ生成部１３と、を備える。
","WO2023/017757","","特許7278512","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7278512/15/ja"
"特開2023-059084","特願2021-168987","2021/10/14","2023/04/26","ポリプロピレン系樹脂組成物およびその製造方法","セツナン化成株式会社,長瀬産業株式会社","C08L23/10,C08K3/013,C08L23/04,C08K5/20,C08K5/103,C08K3/34,C08J5/18,C08J3/22,B29B11/16,C08J3/20@B","(57)【要約】
【課題】機械的特性に優れる成形体を加工性よく製造することを可能とする、ポリプロピレン系樹脂組成物を提供すること。
【解決手段】  本発明のポリプロピレン系樹脂組成物は、ポリプロピレン系樹脂と、粘度平均分子量が１００万以上の超高分子量ポリエチレン系樹脂と、フィラーと、フィラー分散剤および／またはフィラー結着剤とを含む、ポリプロピレン系樹脂組成物であって、該ポリプロピレン系樹脂組成物中、該超高分子量ポリエチレン系樹脂の含有割合が、３重量％～３０重量％であり、該ポリプロピレン系樹脂組成物中、該フィラーの含有割合は、２０重量％～６０重量％である。
【選択図】なし
","特開2023-059084","","特許7685417","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-059084/11/ja"
"特開2023-054403","特願2021-163218","2021/10/04","2023/04/14","ポリプロピレン系樹脂組成物","セツナン化成株式会社,長瀬産業株式会社","C08L23/10,C08K3/013,C08K5/20,C08K5/103,C08L101/00,C08K3/34","(57)【要約】
【課題】高濃度でフィラーを含み得、高剛性であり、かつ、耐熱性に優れるポリプロピレン系樹脂組成物を提供すること。
【解決手段】本発明のポリプロピレン系樹脂組成物は、ポリプロピレン系樹脂と、フィラーと、フィラー分散剤および／またはフィラー結着剤とを含む、ポリプロピレン系樹脂組成物であって、該ポリプロピレン系樹脂組成物中、該フィラーの含有割合が、２０重量％～７０重量％である。１つの実施形態においては、上記フィラー分散剤が、多価アルコール脂肪酸エステル、脂肪酸アマイド、ポリグリセリン脂肪酸エステル、縮合ヒドロキシ脂肪酸および縮合ヒドロキシ脂肪酸のアルコールエステルからなる群から選ばれる少なくとも１種である。
【選択図】なし
","特開2023-054403","","特許7742270","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-054403/11/ja"
"特開2023-050467","特願2021-160574","2021/09/30","2023/04/11","ポリ乳酸樹脂組成物","セツナン化成株式会社,長瀬産業株式会社","C08L67/04,C08L101/00,C08K5/10,C08K5/20,C08K3/34,C08J3/215","(57)【要約】
【課題】フィラー起因の特性に優れたポリ乳酸樹脂組成物であって、耐衝撃性等の特性に優れ、かつ、成形時の生産性（例えば、成形サイクル短縮）にも優れたポリ乳酸樹脂組成物、およびその製造方法を提供すること。
【解決手段】本発明のポリ乳酸樹脂組成物は、ポリ乳酸系樹脂と、フィラーと、耐衝撃改良剤と、フィラー分散剤および／またはフィラー分散用ポリマーとを含む、ポリ乳酸樹脂組成物であって、該ポリ乳酸樹脂組成物中の該フィラーの含有割合が、２０重量％～６０重量％であり、該ポリ乳酸樹脂組成物中の該耐衝撃改良剤の含有割合が、５重量％～５０重量％である。
【選択図】なし
","特開2023-050467","","特許7706318","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-050467/11/ja"
"特開2023-043490","特願2021-151156","2021/09/16","2023/03/29","ポリ乳酸樹脂組成物","セツナン化成株式会社,長瀬産業株式会社","C08L67/04,C08K3/013,C08K5/29,C08K5/353,C08K5/1515,C08K5/10,C08L101/16,C08K3/34,C08L101/00","(57)【要約】
【課題】フィラー起因の特性に優れたポリ乳酸樹脂組成物であって、溶融混練工程での熱劣化や、湿熱環境下での加水分解による劣化が防止され、成形時の生産性（成形サイクル短縮）にも優れたポリ乳酸樹脂組成物を提供すること。
【解決手段】本発明のポリ乳酸樹脂組成物は、ポリ乳酸系樹脂と、フィラーと、加水分解抑制剤と、フィラー分散剤および／またはフィラー分散用ポリマーとを含む、ポリ乳酸樹脂組成物であって、該ポリ乳酸樹脂組成物中の該フィラーの含有割合が、１０重量％～７０重量％であり、該ポリ乳酸樹脂組成物中の該加水分解抑制剤の含有割合が、０．１重量％～５重量％である。
【選択図】なし
","特開2023-043490","","特許7755959","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-043490/11/ja"
"特開2023-036154","特願2021-143016","2021/09/02","2023/03/14","難燃剤造粒物","セツナン化成株式会社,長瀬産業株式会社","C08L101/00,C08K5/00,C08K3/00,C09K21/12","(57)【要約】
【課題】粉体状の難燃剤について、取扱性、安全性、作業環境改善性を向上させることができ、かつ、高濃度で難燃剤が配合された樹脂組成物または樹脂成形品の生産性向上に寄与し得る難燃剤造粒物を提供すること。
【解決手段】本発明の難燃剤造粒物は、粉体状難燃剤と、結着剤とを含み、該粉体状難燃剤の含有割合が、該粉体状難燃剤および結着剤の合計量１００重量部に対して、８０重量部～９９．９重量部である。
【選択図】図１

","特開2023-036154","","特許7675603","拒絶2023-016854","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-036154/11/ja"
"特開2023-032658","特願2021-138921","2021/08/27","2023/03/09","フィラー造粒物","セツナン化成株式会社,長瀬産業株式会社","C08J3/12@Z,C08J3/12,C08L101/00,C08K5/10,C08K3/013,C08K9/04,C08K9/08,C01B33/18@E,C01G9/02@A,C01F5/14,B01J2/20,B01J2/28","(57)【要約】
【課題】疎水化表面修飾（表面処理）されたフィラーを含むフィラー造粒物であって、樹脂組成物を調製する際のフィラーの供給安定性および供給精度を向上させ得、高い生産性で安定的に樹脂組成物を得ることを可能とするフィラー造粒物を提供すること。
【解決手段】本発明のフィラー造粒物は、表面処理フィラーと、結着剤とを含み、該表面処理フィラーが、処理前フィラーを、シランカップリング剤、チタネートカップリング剤およびシリコーンオイルからなる群から選ばれる少なくとも１種により表面処理して構成され、該表面処理フィラーの含有割合が、表面処理フィラーおよび結着剤の合計量１００重量部に対して、４０重量部～９９.９重量部である。
【選択図】図１

","特開2023-032658","","特許7691316","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-032658/11/ja"
