"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2020-160716","特願2019-058569","2019/03/26","2020/10/01","制御系設計装置及びそれを備えた試験装置","シンフォニアテクノロジー株式会社","G05B13/02@T","特開2020-160716","","特許7273292","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-160716/11/ja"
"特開2020-160715","特願2019-058568","2019/03/26","2020/10/01","むだ時間推定装置及びそれを備えた試験装置","シンフォニアテクノロジー株式会社","G05B13/02@J,G05B13/02@E","特開2020-160715","","特許7348468","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-160715/11/ja"
"特開2020-158256","特願2019-059607","2019/03/27","2020/10/01","ワーク搬送装置","シンフォニアテクノロジー株式会社","B65G27/16,B65G27/24,B65G47/14,101@A","特開2020-158256","","特許6819010","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-158256/11/ja"
"特開2020-158239","特願2019-057929","2019/03/26","2020/10/01","ワーク搬送装置","シンフォニアテクノロジー株式会社","B65G47/14,101@C,B65G27/00,B65G47/14,101@A","特開2020-158239","","特許7274698","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-158239/11/ja"
"特開2020-150281","特願2020-103629","2020/06/16","2020/09/17","ロードポート及びＥＦＥＭ","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2020-150281","","特許7025670","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-150281/11/ja"
"特開2020-150091","特願2019-045341","2019/03/13","2020/09/17","ＥＦＥＭ","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2020-150091","","特許7299474","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-150091/11/ja"
"特開2020-139469","特願2019-036025","2019/02/28","2020/09/03","水力発電装置","シンフォニアテクノロジー株式会社,国立大学法人信州大学","F03B11/02,F03B3/04,F03B3/12","特開2020-139469","","特許7356098","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-139469/11/ja"
"特開2020-134387","特願2019-030291","2019/02/22","2020/08/31","異常予見装置","シンフォニアテクノロジー株式会社","G01N17/04,G01R31/00,H05K3/00@T","特開2020-134387","","特許7212258","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-134387/11/ja"
"特開2020-131896","特願2019-027410","2019/02/19","2020/08/31","航空機地上支援車両","シンフォニアテクノロジー株式会社","B64F1/22","特開2020-131896","","特許7233000","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-131896/11/ja"
"特開2020-112334","特願2019-005346","2019/01/16","2020/07/27","コールドクルーシブル溶解炉、および、そのメンテナンス方法","シンフォニアテクノロジー株式会社","F27B14/08,F27B14/06,F27D7/06@B,F27D11/06@A","特開2020-112334","","特許7355990","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-112334/11/ja"
"特開2020-111456","特願2019-005019","2019/01/16","2020/07/27","軟性球体搬送装置及び組換えタンパク質の製造方法","シンフォニアテクノロジー株式会社","B65G47/84@C,A01K63/00@Z,B07C5/34,C12P21/00@C,C12M1/00@A","特開2020-111456","","特許7182760","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-111456/11/ja"
"特開2020-111429","特願2019-002837","2019/01/10","2020/07/27","パーツフィーダ用コントローラ、及びパーツフィーダ","シンフォニアテクノロジー株式会社","B65G27/32,G06F3/01,560","特開2020-111429","","特許7335484","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-111429/11/ja"
"特開2020-109868","特願2020-057237","2020/03/27","2020/07/16","ロードポート及び搬送室","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2020-109868","","特許6947993","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-109868/11/ja"
"特開2020-103232","特願2018-248031","2018/12/28","2020/07/09","細胞培養システムおよび細胞培養装置","シンフォニアテクノロジー株式会社","C12M1/00@C,C12M1/10","特開2020-103232","","特許7235954","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-103232/11/ja"
"特開2020-096118","特願2018-234178","2018/12/14","2020/06/18","搬送異常検知システム","シンフォニアテクノロジー株式会社","H01L21/68@A,G01M99/00@Z,B65G43/08@E,H10P72/30@A","特開2020-096118","","特許7256360","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-096118/11/ja"
"特開2020-093908","特願2018-234078","2018/12/14","2020/06/18","部品供給装置","シンフォニアテクノロジー株式会社","B65G27/10,B65G47/14,101@A,B65G47/14,101@C","特開2020-093908","","特許7227461","全部異議2023-700856","","特許 有効","訂正後に特許権維持","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-093908/11/ja"
"特開2020-091058","特願2018-227922","2018/12/05","2020/06/11","コールドクルーシブル溶解炉、および、そのメンテナンス方法","シンフォニアテクノロジー株式会社","F27B14/18","特開2020-091058","","特許7323761","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-091058/11/ja"
"再表2020/111013","特願2020-557711","2019/11/25","2020/06/04","ウェーハストッカ","シンフォニアテクノロジー株式会社","H01L21/68@T,B65G1/00,521@D,B65G1/04,561,H10P72/10@T","WO2020/111013","","特許7445138","","再表2020/111013","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-111013/19/ja"
"特開2020-085248","特願2018-214160","2018/11/14","2020/06/04","コールドクルーシブル溶解炉、及びコールドクルーシブル溶解炉における凝固物の除去方法","シンフォニアテクノロジー株式会社","F27B14/08,F27B14/06,F27D25/00,F27D11/06@A","特開2020-085248","","特許7174235","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-085248/11/ja"
"特開2020-074422","特願2020-000621","2020/01/07","2020/05/14","パージノズルユニット、ロードポート","シンフォニアテクノロジー株式会社","H01L21/68@T,H10P72/10@T","特開2020-074422","","特許6882706","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-074422/11/ja"
"特開2020-066446","特願2018-199292","2018/10/23","2020/04/30","農産物の結束装置","シンフォニアテクノロジー株式会社,国立大学法人豊橋技術科学大学","B65B27/00@B","特開2020-066446","","特許7261406","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-066446/11/ja"
"特開2020-061436","特願2018-191020","2018/10/09","2020/04/16","ロードポート及びロードポートのＦＯＵＰ蓋異常検知方法","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2020-061436","","特許7228759","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-061436/11/ja"
"特開2020-051593","特願2018-184295","2018/09/28","2020/04/02","制振装置、制振装置を備えた車両及び制振装置の安定度判定方法","シンフォニアテクノロジー株式会社","F16F15/02@B,F16F15/02@C,G05B13/02@B,G05B13/02@S,G05D19/02@D","特開2020-051593","","特許7197774","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-051593/11/ja"
"特開2020-050496","特願2018-183111","2018/09/28","2020/04/02","振動コンベア","シンフォニアテクノロジー株式会社","B65G27/04,B65G65/44@C","特開2020-050496","","特許7201898","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-050496/11/ja"
"特開2020-038984","特願2019-202144","2019/11/07","2020/03/12","容器パージ装置","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2020-038984","","特許6889383","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-038984/11/ja"
"特開2020-036422","特願2018-159842","2018/08/29","2020/03/05","回転機の制御装置及び制御方法","シンフォニアテクノロジー株式会社","H02P21/13,H02P27/06","特開2020-036422","","特許7212243","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-036422/11/ja"
"特開2020-033151","特願2018-161246","2018/08/30","2020/03/05","ワークカウント制御システム、パーツフィーダ","シンフォニアテクノロジー株式会社","B65G43/08@C,B65G47/14,101@C","特開2020-033151","","特許7303412","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-033151/11/ja"
"特開2020-017742","特願2019-161225","2019/09/04","2020/01/30","ＥＦＥＭ","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2020-017742","","特許6853489","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-017742/11/ja"
"特開2020-014426","特願2018-140549","2018/07/26","2020/01/30","魚卵搬送装置及び魚卵の搬送方法","シンフォニアテクノロジー株式会社","C12M1/00@Z,A01K61/10,C12N5/073,C12N5/071","特開2020-014426","","特許7111963","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-014426/11/ja"
"特開2020-011812","特願2018-134828","2018/07/18","2020/01/23","振動搬送装置","シンフォニアテクノロジー株式会社","B65G27/00,B65G47/14,101@A,B65G47/52@B","特開2020-011812","","特許7140967","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-011812/11/ja"
"特開2020-010421","特願2018-126589","2018/07/03","2020/01/16","回転機","シンフォニアテクノロジー株式会社","H02K5/22","特開2020-010421","","特許7164806","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-010421/11/ja"
"特開2020-010420","特願2018-126588","2018/07/03","2020/01/16","回転機","シンフォニアテクノロジー株式会社","H02K5/22,H02K5/20","特開2020-010420","","特許7137053","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-010420/11/ja"
"特開2020-009825","特願2018-127296","2018/07/04","2020/01/16","ロードポート、および、ＥＦＥＭ","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2020-009825","","特許7177333","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-009825/11/ja"
"特開2020-009816","特願2018-127106","2018/07/03","2020/01/16","搬送装置","シンフォニアテクノロジー株式会社","H01L21/68@A,B25J9/06@E,H10P72/30@A","特開2020-009816","","特許7177332","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2020-009816/11/ja"
"特開2019-218189","特願2018-117656","2018/06/21","2019/12/26","振動フィーダ","シンフォニアテクノロジー株式会社","B65G27/32","特開2019-218189","","特許7128407","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-218189/11/ja"
"特開2019-215048","特願2018-113086","2018/06/13","2019/12/19","制振装置、制振装置を備えた車両及び制振装置の位相誤差推定方法","シンフォニアテクノロジー株式会社","F16F15/02@B,F16F15/02@C,G05B13/02@C","特開2019-215048","","特許7089173","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-215048/11/ja"
"特開2019-209503","特願2018-104821","2018/05/31","2019/12/12","熱転写プリンタ","シンフォニアテクノロジー株式会社","B41J11/70,B41J11/42","特開2019-209503","","特許7117682","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-209503/11/ja"
"特開2019-208007","特願2019-031789","2019/02/25","2019/12/05","基板収納容器管理システム、ロードポート、基板収納容器管理方法","シンフォニアテクノロジー株式会社","H01L21/68@A,H01L21/02@Z,G16Y10/25,H10P72/30@A","特開2019-208007","","特許7295384","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-208007/11/ja"
"特開2019-208001","特願2018-208981","2018/11/06","2019/12/05","基板収納容器管理システム、基板収納容器管理方法","シンフォニアテクノロジー株式会社","H01L21/68@A,H01L21/02@Z,H10P72/30@A","特開2019-208001","","特許7256358","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-208001/11/ja"
"特開2019-205978","特願2018-103155","2018/05/30","2019/12/05","材料積層装置","シンフォニアテクノロジー株式会社","B07B1/28@Z,B02C23/10,B02C19/20@Z,H01L35/34,H01L35/16,H10N10/01,H10N10/852,B02C19/20","特開2019-205978","","特許7349777","拒絶2022-014446","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-205978/11/ja"
"特開2019-205363","特願2018-101409","2018/05/28","2019/12/05","植物観察システム","シンフォニアテクノロジー株式会社","A01G7/00,603","特開2019-205363","","特許7177329","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-205363/11/ja"
"特開2019-204914","特願2018-100332","2018/05/25","2019/11/28","ヒートシンク構造","シンフォニアテクノロジー株式会社","H01L23/40@E,H05K9/00@G,H05K7/20@B,H05K7/20@D,H05K7/20@F,H05F3/02@T,H05F3/02@L,H10W40/60@E","特開2019-204914","","特許7142215","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-204914/11/ja"
"特開2019-204324","特願2018-099549","2018/05/24","2019/11/28","移動装置","シンフォニアテクノロジー株式会社,国立大学法人豊橋技術科学大学","G05D1/02@K,A01B69/00,303@F,A01B69/00,303@J,A01B69/00,301,G08G1/00@X,G08G1/16@C,G05D1/02@R,G05D1/228,G05D1/229,G05D1/24,G05D1/242,G05D1/243,G05D1/246,G05D1/43,G05D1/60,G05D1/617,G05D1/622,G05D1/639,G05D105:00,G05D105:15,G05D109:00,G05D111:00,G05D111:63","特開2019-204324","","特許7207645","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-204324/11/ja"
"特開2019-197912","特願2019-131366","2019/07/16","2019/11/14","ロードポート","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2019-197912","","特許6721852","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-197912/11/ja"
"再表2019/208395","特願2020-516290","2019/04/18","2019/10/31","異常検知装置及びそれを備えた振動搬送装置","シンフォニアテクノロジー株式会社","G01M99/00@Z","WO2019/208395","","特許7368736","拒絶2023-010878","再表2019/208395","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-208395/19/ja"
"特開2019-193432","特願2018-083806","2018/04/25","2019/10/31","電源回路及びそれを備えたパーツフィーダ","シンフォニアテクノロジー株式会社","H02M3/28@C,B65G27/24,H02M3/155@W","特開2019-193432","","特許7011168","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-193432/11/ja"
"特開2019-193395","特願2018-082341","2018/04/23","2019/10/31","回転機","シンフォニアテクノロジー株式会社","H02K9/19@B,H02K5/20,H02K9/19@Z","特開2019-193395","","特許7121261","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-193395/11/ja"
"特開2019-193370","特願2018-081415","2018/04/20","2019/10/31","発電システム","シンフォニアテクノロジー株式会社","H02K7/18@Z,F03B7/00,F03B11/00@Z,H02P9/04@A,H02K11/21,H02P101:10,H02P103:20","特開2019-193370","","特許7079915","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-193370/11/ja"
"特開2019-193369","特願2018-081411","2018/04/20","2019/10/31","発電システム","シンフォニアテクノロジー株式会社","H02K5/167@B,F03B7/00,F03B11/00@Z,H02P9/04@A,H02K7/18@Z,H02K11/21,H02P101:10,H02P103:20,H02K7/18@A","特開2019-193369","","特許7061745","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-193369/11/ja"
"特開2019-193340","特願2018-080383","2018/04/19","2019/10/31","振動系の制御装置およびワーク搬送装置","シンフォニアテクノロジー株式会社","H02N2/06,G01D5/48@B,B65G27/32,B65G27/34","特開2019-193340","","特許6820484","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-193340/11/ja"
"特開2019-193339","特願2018-080382","2018/04/19","2019/10/31","振動系の制御装置およびワーク搬送装置","シンフォニアテクノロジー株式会社","H02N2/06,G01D5/48@B,B65G27/32,B65G27/34","特開2019-193339","","特許6901688","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-193339/11/ja"
"特開2019-192684","特願2018-080406","2018/04/19","2019/10/31","排気ノズルユニット、ロードポート、及びＥＦＥＭ","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2019-192684","","特許7100243","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-192684/11/ja"
"特開2019-191679","特願2018-080405","2018/04/19","2019/10/31","発電装置","シンフォニアテクノロジー株式会社","G05F1/67@Z","特開2019-191679","","特許7022277","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-191679/11/ja"
"特開2019-186293","特願2018-072021","2018/04/04","2019/10/24","ロードポート及びＥＦＥＭ","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2019-186293","","特許7125591","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-186293/11/ja"
"特開2019-184191","特願2018-077895","2018/04/13","2019/10/24","誘導加熱溶解装置における出湯方法、及び、誘導加熱溶解装置","シンフォニアテクノロジー株式会社","F27B14/20,H05B6/32,B22F9/08@A,F27B14/18,F27D19/00@Z,F27D21/00@A","特開2019-184191","","特許7313122","拒絶2022-017243","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-184191/11/ja"
"特開2019-166740","特願2018-056941","2018/03/23","2019/10/03","印刷物の製造方法","シンフォニアテクノロジー株式会社","B41J2/325@Z,B41J3/50,101@Z,B41J3/54@B,B41M5/50,300,B41M5/50,400,B32B3/30,G03H1/02","特開2019-166740","","特許7025640","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-166740/11/ja"
"特開2019-166701","特願2018-055631","2018/03/23","2019/10/03","プリンタ","シンフォニアテクノロジー株式会社","B41J29/38@Z,B41J29/13,103,B41J29/38,B41J29/38,401","特開2019-166701","","特許7004904","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-166701/11/ja"
"特開2019-161705","特願2018-041263","2018/03/07","2019/09/19","同期電動機の位置センサレス制御装置","シンフォニアテクノロジー株式会社","H02P21/24,H02P27/08,H02P6/18","特開2019-161705","","特許7075002","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-161705/11/ja"
"特開2019-161120","特願2018-048470","2018/03/15","2019/09/19","ＥＦＥＭ","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2019-161120","","特許7140960","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-161120/11/ja"
"特開2019-161119","特願2018-048467","2018/03/15","2019/09/19","ＥＦＥＭ","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2019-161119","","特許6963179","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-161119/11/ja"
"特開2019-161117","特願2018-048437","2018/03/15","2019/09/19","ＥＦＥＭ、及び、ＥＦＥＭにおけるガス置換方法","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2019-161117","","特許7137047","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-161117/11/ja"
"特開2019-161116","特願2018-048432","2018/03/15","2019/09/19","ＥＦＥＭ","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2019-161116","","特許7037049","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-161116/11/ja"
"特開2019-161115","特願2018-048429","2018/03/15","2019/09/19","ＥＦＥＭ","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2019-161115","","特許7048885","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-161115/11/ja"
"特開2019-161097","特願2018-048072","2018/03/15","2019/09/19","ＥＦＥＭシステム及びＥＦＥＭシステムにおけるガス供給方法","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2019-161097","","特許7125589","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-161097/11/ja"
"特開2019-158074","特願2018-048421","2018/03/15","2019/09/19","密閉設備","シンフォニアテクノロジー株式会社","F16J15/10@P,H01L21/02@Z,H01L21/68@A,H10P72/30@A","特開2019-158074","","特許7132483","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-158074/11/ja"
"特開2019-137481","特願2018-019905","2018/02/07","2019/08/22","部品供給装置","シンフォニアテクノロジー株式会社","B65G27/08,B65G27/04","特開2019-137481","","特許7071623","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-137481/11/ja"
"特開2019-125801","特願2019-043785","2019/03/11","2019/07/25","ＥＦＥＭ装置","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2019-125801","","特許6777869","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-125801/11/ja"
"特開2019-124408","特願2018-005644","2018/01/17","2019/07/25","振動乾燥装置","シンフォニアテクノロジー株式会社","F26B21/00@B,F26B3/092,F26B17/26,F26B21/55,100","特開2019-124408","","特許7022928","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-124408/11/ja"
"特開2019-123571","特願2018-003401","2018/01/12","2019/07/25","パーツフィーダ","シンフォニアテクノロジー株式会社","B65G47/14,101@A,B65G27/08","特開2019-123571","","特許7068572","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-123571/11/ja"
"特開2019-117955","特願2019-082398","2019/04/24","2019/07/18","パージノズルユニット、ロードポート","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2019-117955","","特許6882698","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-117955/11/ja"
"特開2019-109054","特願2017-240194","2017/12/15","2019/07/04","硝酸イオンおよび亜硝酸イオンの濃度検出方法および濃度検出装置ならびに植物生長・延命剤製造装置","国立大学法人豊橋技術科学大学,シンフォニアテクノロジー株式会社,愛知みなみ農業協同組合","G01N21/27@Z,G01N21/33,A01N3/02,G01N21/59@Z","特開2019-109054","","特許7032729","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-109054/11/ja"
"特開2019-106752","特願2017-236322","2017/12/08","2019/06/27","分散型電源ユニット、および周波数変動時における分散型電源の単独運転状態の検出方法","シンフォニアテクノロジー株式会社","H02J3/38,110,H02J3/38,130,H02J3/38,160,H02J3/38,180,H02J3/00,H02J3/38,H02J3/388,H02J101:20,H02J101:22,H02J101:24,H02J101:28","特開2019-106752","","特許6940770","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-106752/11/ja"
"特開2019-095904","特願2017-222814","2017/11/20","2019/06/20","無駄時間補償装置及びそれを備えた共振抑制制御装置","シンフォニアテクノロジー株式会社","G05B11/36,501","特開2019-095904","","特許7032636","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-095904/11/ja"
"特開2019-095903","特願2017-222813","2017/11/20","2019/06/20","無駄時間補償装置及びそれを備えた共振抑制制御装置","シンフォニアテクノロジー株式会社","G05B11/36,501,G05B13/04","特開2019-095903","","特許7032635","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-095903/11/ja"
"特開2019-088077","特願2017-213928","2017/11/06","2019/06/06","誘導電動機のオブザーバ制御装置","シンフォニアテクノロジー株式会社","H02P21/13","特開2019-088077","","特許6923801","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-088077/11/ja"
"特開2019-087598","特願2017-213547","2017/11/06","2019/06/06","ロードポート、及びロードポートにおけるマッピング処理方法","シンフォニアテクノロジー株式会社","H01L21/68@A,H01L21/68@L,H10P72/00@L,H10P72/30@A","特開2019-087598","","特許7082274","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-087598/11/ja"
"特開2019-079970","特願2017-206747","2017/10/26","2019/05/23","マウンタ用エア制御装置","クロダニューマティクス株式会社,シンフォニアテクノロジー株式会社,株式会社ＴＡＩＹＯ","H05K13/04@A","特開2019-079970","","特許7001425","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-079970/11/ja"
"特開2019-076802","特願2017-203034","2017/10/20","2019/05/23","振動系の制御装置およびワーク搬送装置","シンフォニアテクノロジー株式会社","B06B1/02@A,B65G27/32,H02N2/06","特開2019-076802","","特許6882685","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-076802/11/ja"
"特開2019-069827","特願2017-195664","2017/10/06","2019/05/09","ワーク搬送装置","シンフォニアテクノロジー株式会社","B65G27/02,B65G27/04,B65G47/14,101@A,B65G47/14,101@C","特開2019-069827","","特許7125585","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-069827/11/ja"
"特開2019-068777","特願2017-197212","2017/10/10","2019/05/09","魚卵処理装置","シンフォニアテクノロジー株式会社","C12M1/34@B,B65G47/84@C,C12M1/00@A,C12N5/0735","特開2019-068777","","特許7511315","拒絶2022-012395","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-068777/11/ja"
"特開2019-068776","特願2017-197211","2017/10/10","2019/05/09","魚卵処理装置","シンフォニアテクノロジー株式会社","C12M1/34@B,B65G47/84@C,C12M1/00@A","特開2019-068776","","特許7048878","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-068776/11/ja"
"特開2019-061567","特願2017-186895","2017/09/27","2019/04/18","葉状農作物の形状認識プログラム及び形状認識装置","シンフォニアテクノロジー株式会社,国立大学法人豊橋技術科学大学","G06T7/60,150@S,G01B11/24@K,G06T7/66,G06T7/70@B,G06T7/00,610","特開2019-061567","","特許6958810","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-061567/11/ja"
"特開2019-059518","特願2017-186879","2017/09/27","2019/04/18","葉状農作物収納カセット及び葉状農作物処理装置","シンフォニアテクノロジー株式会社,国立大学法人豊橋技術科学大学","B65B35/02,B65B35/18,B07C5/02,B65B25/04@Z,B65D6/02","特開2019-059518","","特許6940068","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-059518/11/ja"
"特開2019-059517","特願2017-186869","2017/09/27","2019/04/18","農産物の結束装置","シンフォニアテクノロジー株式会社,国立大学法人豊橋技術科学大学","B65B27/00@B","特開2019-059517","","特許6958809","","","特許 有効","年金の支払い","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2019-059517/11/ja"
