"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特開2023-022095","特願2022-182477","2022/11/15","2023/02/14","搬送室","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2023-022095","","特許7545068","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-022095/11/ja"
"特開2023-019386","特願2021-124060","2021/07/29","2023/02/09","基板搬送装置","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2023-019386","","特許7773024","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-019386/11/ja"
"特開2023-016949","特願2022-195158","2022/12/06","2023/02/02","ロードポート","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2023-016949","","特許7731338","拒絶2024-017007","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-016949/11/ja"
"特開2023-013335","特願2021-117430","2021/07/15","2023/01/26","発電制御装置","シンフォニアテクノロジー株式会社","H02P9/00@Z,H02P103:20","特開2023-013335","","特許7659187","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-013335/11/ja"
"特開2023-010011","特願2021-113753","2021/07/08","2023/01/20","電磁ブレーキ","シンフォニアテクノロジー株式会社","F16D65/16,H01F7/06@P,F16D121:22,F16D131:02","特開2023-010011","","特許7648901","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-010011/11/ja"
"特開2023-009443","特願2021-112730","2021/07/07","2023/01/20","電磁ブレーキ","シンフォニアテクノロジー株式会社","F16D65/18,F16D55/06@A,F16D121:22,F16D121:14","特開2023-009443","","特許7719356","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-009443/11/ja"
"特開2023-005311","特願2021-107129","2021/06/28","2023/01/18","ジブクレーンの制御方法および制御システム","シンフォニアテクノロジー株式会社,株式会社相浦機械,国立大学法人豊橋技術科学大学","B66C23/00@C,B66C13/22@M","特開2023-005311","","特許7645510","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-005311/11/ja"
"特開2023-000779","特願2021-101787","2021/06/18","2023/01/04","自律走行型配達ロボット","シンフォニアテクノロジー株式会社","B65G61/00,550,B60P1/44@D","特開2023-000779","","特許7640850","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-000779/11/ja"
"特開2022-191423","特願2022-166715","2022/10/18","2022/12/27","ドア開閉システムおよびドア開閉システムを備えたロードポート","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2022-191423","","特許7445162","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-191423/11/ja"
"特開2022-190997","特願2021-099581","2021/06/15","2022/12/27","異常検出装置","シンフォニアテクノロジー株式会社","G01R31/00,G01R31/50,G01R31/54,G01R31/56,G01R31/58,G01R31/40,G01R31/42","特開2022-190997","","特許7727171","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-190997/11/ja"
"特開2022-189517","特願2021-098137","2021/06/11","2022/12/22","葉状農産物の折れ曲がり修正装置","シンフォニアテクノロジー株式会社","A23N15/00@Z","特開2022-189517","","特許7664522","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-189517/11/ja"
"特開2022-184325","特願2021-092103","2021/06/01","2022/12/13","振動搬送装置、制御装置","シンフォニアテクノロジー株式会社","B65G27/32,H02P5/46@H","特開2022-184325","","特許7667421","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-184325/11/ja"
"特開2022-184324","特願2021-092102","2021/06/01","2022/12/13","振動搬送装置、制御装置","シンフォニアテクノロジー株式会社","B65G27/32,H02P5/46@H","特開2022-184324","","特許7667420","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-184324/11/ja"
"特開2022-183595","特願2021-091002","2021/05/31","2022/12/13","接近経路設定システム及び地上支援装置","シンフォニアテクノロジー株式会社","B64F1/32,B64F1/36","特開2022-183595","","特許7691614","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-183595/11/ja"
"特開2022-180057","特願2021-086961","2021/05/24","2022/12/06","熱音響機関","シンフォニアテクノロジー株式会社","F25B9/00@Z","特開2022-180057","","特許7761826","拒絶2025-011511","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-180057/11/ja"
"特開2022-177424","特願2021-083665","2021/05/18","2022/12/01","加熱溶解装置","シンフォニアテクノロジー株式会社","B22F9/08@A,F27D11/06@A,F27B14/14,H05B6/06,386,H05B6/18","特開2022-177424","","特許7741365","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-177424/11/ja"
"特開2022-170477","特願2021-076629","2021/04/28","2022/11/10","ＥＦＥＭ","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2022-170477","","","","","特許 有効","特許権の設定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-170477/11/ja"
"特開2022-170181","特願2021-076120","2021/04/28","2022/11/10","マッピング機構、ロードポート、マッピング処理方法","シンフォニアテクノロジー株式会社","H01L21/68@T,H10P72/10@T","特開2022-170181","","特許7733289","","","特許 有効","特許権の設定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-170181/11/ja"
"特開2022-169980","特願2021-075763","2021/04/28","2022/11/10","パージ装置、ロードポート","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2022-169980","","特許7736983","","","特許 有効","特許権の設定","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-169980/11/ja"
"特開2022-162003","特願2022-132184","2022/08/23","2022/10/21","ＥＦＥＭ","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2022-162003","","特許7417023","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-162003/11/ja"
"特開2022-162002","特願2022-132183","2022/08/23","2022/10/21","搬送ロボット、及びＥＦＥＭ","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2022-162002","","特許7496493","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-162002/11/ja"
"特開2022-160598","特願2022-126001","2022/08/08","2022/10/19","ＥＦＥＭシステム及びＥＦＥＭシステムにおけるガス供給方法","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2022-160598","","特許7477785","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-160598/11/ja"
"特開2022-156045","特願2021-059543","2021/03/31","2022/10/14","作業機械周辺検出対象物位置検出システム、作業機械周辺検出対象物位置検出プログラム","シンフォニアテクノロジー株式会社","E02F9/24@Z,G01B11/00@H,G06T7/00,650@B","特開2022-156045","","特許7633508","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-156045/11/ja"
"特開2022-143674","特願2021-044324","2021/03/18","2022/10/03","養液加熱殺菌システム及び該養液加熱殺菌システムの設置方法","シンフォニアテクノロジー株式会社","A01G31/00,601@A","特開2022-143674","","特許7633497","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-143674/11/ja"
"特開2022-125553","特願2021-023198","2021/02/17","2022/08/29","無人搬送車ルート案内システム、無人搬送車ルート案内方法","シンフォニアテクノロジー株式会社","G05D1/02@J,G08G1/00@X,G01C21/34,G05D1/224,G05D1/225,G05D1/229,G05D1/24,G05D1/242,G05D1/243,G05D1/245,G05D1/246,G05D1/248,G05D1/43,G05D1/60,G05D1/622,G05D1/644,G05D1/646,G05D1/80,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:40,G05D109:00,G05D109:10,G05D111:00,G05D111:50,G05D111:63","特開2022-125553","","特許7698185","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-125553/11/ja"
"特開2022-125503","特願2021-023115","2021/02/17","2022/08/29","回転電機","シンフォニアテクノロジー株式会社","H02K9/19@A,H02K3/24@C","特開2022-125503","","特許7780068","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-125503/11/ja"
"特開2022-119670","特願2021-016956","2021/02/04","2022/08/17","細胞培養装置","シンフォニアテクノロジー株式会社","C12M3/00,C12M1/00@D,C12M3/00@Z","特開2022-119670","","特許7680666","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-119670/11/ja"
"特開2022-103434","特願2022-083561","2022/05/23","2022/07/07","マッピング方法、ＥＦＥＭ","シンフォニアテクノロジー株式会社","H01L21/68@A,H10P72/30@A","特開2022-103434","","特許7385151","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-103434/11/ja"
"特開2022-094396","特願2020-207243","2020/12/15","2022/06/27","自動スライス装置","シンフォニアテクノロジー株式会社","A22C25/18,A22C25/08,B26D3/28,620@K,B26D7/20,B26D3/28,620@P,B26D7/06@D,B07C5/10","特開2022-094396","","特許7529990","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-094396/11/ja"
"特開2022-092398","特願2020-205202","2020/12/10","2022/06/22","異常検知装置","シンフォニアテクノロジー株式会社","G01M99/00@A,G05B23/02,302@R,G05B23/02,302@Z,G01M99/00@Z","特開2022-092398","","特許7591711","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-092398/11/ja"
"特開2022-089571","特願2020-202063","2020/12/04","2022/06/16","プリンタ","シンフォニアテクノロジー株式会社","B41J2/325@A,B41J11/68,B41J29/38,B41J29/00@H,B41J29/38,206","特開2022-089571","","特許7572615","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-089571/11/ja"
"特開2022-089570","特願2020-202062","2020/12/04","2022/06/16","プリンタ","シンフォニアテクノロジー株式会社","B41J11/42,B41J11/68,B41J15/16,B41J15/04,B65H23/185","特開2022-089570","","特許7656164","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-089570/11/ja"
"特開2022-083025","特願2020-194249","2020/11/24","2022/06/03","搬送システム及び貨物搬送方法","シンフォニアテクノロジー株式会社","G05D1/02@P,B65G1/137@B,G05D1/223,G05D1/225,G05D1/226,G05D1/228,G05D1/229,G05D1/24,G05D1/242,G05D1/43,G05D1/60,G05D1/644,G05D1/648,G05D1/69,G05D1/692,G05D1/698,G05D105:00,G05D105:20,G05D107:00,G05D107:20,G05D107:70,G05D109:00,G05D109:10,G05D111:00,G05D111:63","特開2022-083025","","特許7645449","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-083025/11/ja"
"特開2022-075157","特願2020-185758","2020/11/06","2022/05/18","接近経路設定システム及び接近経路設定方法","シンフォニアテクノロジー株式会社","G08G1/16@A,B64F1/36,B64F1/12,B64F1/22,B64F1/28,B64F1/315,G08G5/04@A,G08G1/123@A,G01C21/34,G16Y10/40,G16Y40/10,G16Y40/60,G08G5/22","特開2022-075157","","特許7594175","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-075157/11/ja"
"特開2022-074760","特願2020-185091","2020/11/05","2022/05/18","モータ","シンフォニアテクノロジー株式会社","H02K1/32@Z,H02K9/06@C","特開2022-074760","","特許7503738","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-074760/11/ja"
"特開2022-073001","特願2020-182739","2020/10/30","2022/05/17","保護装置","シンフォニアテクノロジー株式会社","G05B9/02@B,H02P29/024,G01L5/00@H","特開2022-073001","","特許7518381","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-073001/11/ja"
"特開2022-067442","特願2020-176151","2020/10/20","2022/05/06","インバータ用平滑回路、および、航空機用のインバータ","シンフォニアテクノロジー株式会社","H02M7/48@Z,H05K7/20@F","特開2022-067442","","特許7606073","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2022-067442/11/ja"
