会社名,業種,排出量区分
丸紅株式会社,卸売業・小売業,1
三井物産株式会社,卸売業・小売業,1
三菱商事株式会社,卸売業・小売業,1
ユアサ商事株式会社,卸売業・小売業,1
株式会社エルコム,卸売業・小売業,1
株式会社第一工芸社,卸売業・小売業,1
株式会社日本木材,卸売業・小売業,1
株式会社岩田産業グループホールディングス,卸売業・小売業,1
株式会社 泉州屋,卸売業・小売業,1
タキヒヨー株式会社,卸売業・小売業,1
株式会社ミック,卸売業・小売業,1
株式会社佳雅,卸売業・小売業,1
株式会社AAOkennel,卸売業・小売業,1
株式会社VOLT,卸売業・小売業,1
ビーワイディージャパン株式会社,卸売業・小売業,1
姫路インザイ株式会社,卸売業・小売業,1
株式会社富谷オートパーツ,卸売業・小売業,1
株式会社G-grow,卸売業・小売業,1
株式会社ＩＢｅｅＴ,金融業・保険業,0
ＪＡ三井リース株式会社,金融業・保険業,0
ＭＳ＆ＡＤインシュアランスグループホールディングス株式会社,金融業・保険業,0
オリックス株式会社,金融業・保険業,0
株式会社ＳＢＩ新生銀行,金融業・保険業,0
株式会社ＳＤＧインパクトジャパン,金融業・保険業,0
株式会社Ｔ＆Ｄホールディングス,金融業・保険業,0
株式会社格付投資情報センター,金融業・保険業,0
株式会社九州フィナンシャルグループ,金融業・保険業,0
株式会社京都フィナンシャルグループ,金融業・保険業,0
株式会社群馬銀行,金融業・保険業,0
株式会社コンコルディア・フィナンシャルグループ,金融業・保険業,0
株式会社佐賀銀行,金融業・保険業,0
株式会社山陰合同銀行,金融業・保険業,0
株式会社滋賀銀行,金融業・保険業,0
株式会社しずおかフィナンシャルグループ,金融業・保険業,0
株式会社七十七銀行,金融業・保険業,0
株式会社十六フィナンシャルグループ,金融業・保険業,0
株式会社第四北越フィナンシャルグループ,金融業・保険業,0
株式会社大和証券グループ本社,金融業・保険業,0
株式会社千葉銀行,金融業・保険業,0
株式会社千葉興業銀行,金融業・保険業,0
株式会社ちゅうぎんフィナンシャルグループ,金融業・保険業,0
株式会社東京きらぼしフィナンシャルグループ,金融業・保険業,0
株式会社東京金融取引所,金融業・保険業,0
株式会社東邦銀行,金融業・保険業,0
株式会社西日本フィナンシャルホールディングス,金融業・保険業,0
株式会社日本政策投資銀行,金融業・保険業,0
株式会社日本取引所グループ,金融業・保険業,0
株式会社八十二銀行,金融業・保険業,0
株式会社ふくおかフィナンシャルグループ,金融業・保険業,0
株式会社北洋銀行,金融業・保険業,0
株式会社北陸銀行,金融業・保険業,0
株式会社北海道銀行,金融業・保険業,0
株式会社保険ステーション,金融業・保険業,0
株式会社みずほフィナンシャルグループ,金融業・保険業,0
株式会社三井住友フィナンシャルグループ,金融業・保険業,0
株式会社三菱ＵＦＪフィナンシャル・グループ,金融業・保険業,0
株式会社めぶきフィナンシャルグループ,金融業・保険業,0
株式会社山口フィナンシャルグループ,金融業・保険業,0
株式会社山梨中央銀行,金融業・保険業,0
株式会社りそなホールディングス,金融業・保険業,0
株式会社琉球銀行,金融業・保険業,0
シティグループ証券株式会社,金融業・保険業,0
スターリングパートナーズ合同会社,金融業・保険業,0
住友生命保険相互会社,金融業・保険業,0
損害保険ジャパン株式会社,金融業・保険業,0
第一生命ホールディングス株式会社,金融業・保険業,0
東海東京フィナンシャル・ホールディングス株式会社,金融業・保険業,0
東京海上日動火災保険株式会社,金融業・保険業,0
日本生命保険相互会社,金融業・保険業,0
農林中央金庫,金融業・保険業,0
野村ホールディングス株式会社,金融業・保険業,0
フィデアホールディングス株式会社,金融業・保険業,0
ブリックレイヤー・アセット・マネジメント株式会社,金融業・保険業,0
みずほリース株式会社,金融業・保険業,0
三井住友信託銀行株式会社,金融業・保険業,0
三菱ＨＣキャピタル株式会社,金融業・保険業,0
明治安田生命保険相互会社,金融業・保険業,0
アフラック生命保険株式会社,金融業・保険業,0
株式会社オリエントコーポレーション,金融業・保険業,0
ジーアイエネジーストレージマネジメント株式会社,金融業・保険業,0
株式会社日本格付研究所,金融業・保険業,0
いちご株式会社,不動産業・物品賃貸業,1
株式会社ＪＥＣＣ,不動産業・物品賃貸業,1
シンバホールディングス株式会社,不動産業・物品賃貸業,1
大東建託株式会社,不動産業・物品賃貸業,1
東急株式会社,不動産業・物品賃貸業,1
東急不動産ホールディングス株式会社,不動産業・物品賃貸業,1
