会社名,業種,排出量区分
ＪＦＥ条鋼株式会社,鉄鋼業,2
愛知製鋼株式会社,鉄鋼業,2
株式会社ＨＡＲＩＴＡ,鉄鋼業,2
株式会社イボキン,鉄鋼業,2
株式会社神戸製鋼所,鉄鋼業,2
株式会社中山製鋼所,鉄鋼業,2
株式会社プロテリアル,鉄鋼業,2
共英製鋼株式会社,鉄鋼業,2
合同製鐵株式会社,鉄鋼業,2
山陽特殊製鋼株式会社,鉄鋼業,2
新日本電工株式会社,鉄鋼業,2
大同特殊鋼株式会社,鉄鋼業,2
中部鋼鈑株式会社,鉄鋼業,2
日鉄ステンレス株式会社,鉄鋼業,2
日本製鉄株式会社,鉄鋼業,2
日本冶金工業株式会社,鉄鋼業,2
三菱製鋼株式会社,鉄鋼業,2
株式会社德岡テクノ,鉄鋼業,2
ＪＸ金属株式会社,非鉄金属製造業,2
株式会社田中貴金属グループ,非鉄金属製造業,2
※ 株式会社ＬＩＸＩＬ,非鉄金属製造業,2
株式会社ＵＡＣＪ,非鉄金属製造業,2
株式会社アーレスティ,非鉄金属製造業,2
株式会社アビリティー,非鉄金属製造業,2
株式会社大阪チタニウムテクノロジーズ,非鉄金属製造業,2
株式会社フジクラ,非鉄金属製造業,2
住友金属鉱山株式会社,非鉄金属製造業,2
住友電気工業株式会社,非鉄金属製造業,2
東邦チタニウム株式会社,非鉄金属製造業,2
日本軽金属ホールディングス株式会社,非鉄金属製造業,2
古河電気工業株式会社,非鉄金属製造業,2
※ 三井金属鉱業株式会社,非鉄金属製造業,2
三菱マテリアル株式会社,非鉄金属製造業,2
ＹＫＫ　ＡＰ株式会社,金属製品製造業,1
株式会社ＩＨＩ,金属製品製造業,1
株式会社駒井ハルテック,金属製品製造業,1
株式会社コロナ,金属製品製造業,1
三協立山株式会社,金属製品製造業,1
デノラ・ペルメレック株式会社,金属製品製造業,1
不二サッシ株式会社,金属製品製造業,1
リンナイ株式会社,金属製品製造業,1
ＮＴＮ株式会社,はん用、生産用、業務用機械器具製造業,1
オーエスジー株式会社,はん用、生産用、業務用機械器具製造業,1
株式会社アマダ,はん用、生産用、業務用機械器具製造業,1
株式会社荏原製作所,はん用、生産用、業務用機械器具製造業,1
株式会社ＫＡＪＩＷＡＲＡ,はん用、生産用、業務用機械器具製造業,1
株式会社クボタ,はん用、生産用、業務用機械器具製造業,1
株式会社島津製作所,はん用、生産用、業務用機械器具製造業,1
株式会社西部技研,はん用、生産用、業務用機械器具製造業,1
株式会社ダイフク,はん用、生産用、業務用機械器具製造業,1
株式会社酉島製作所,はん用、生産用、業務用機械器具製造業,1
木村工機株式会社,はん用、生産用、業務用機械器具製造業,1
ダイキン工業株式会社,はん用、生産用、業務用機械器具製造業,1
田中鉄工株式会社,はん用、生産用、業務用機械器具製造業,1
トーヨーカネツ株式会社,はん用、生産用、業務用機械器具製造業,1
日本精工株式会社,はん用、生産用、業務用機械器具製造業,1
フクシマガリレイ株式会社,はん用、生産用、業務用機械器具製造業,1
三浦工業株式会社,はん用、生産用、業務用機械器具製造業,1
三菱重工業株式会社,はん用、生産用、業務用機械器具製造業,1
ＬＧエナジーソリューションジャパン株式会社,電子部品・デバイス・電子回路製造業,1
株式会社村田製作所,電子部品・デバイス・電子回路製造業,1
キオクシアホールディングス株式会社,電子部品・デバイス・電子回路製造業,1
京セラ株式会社,電子部品・デバイス・電子回路製造業,1
コンテンポラリー・アンプレックス・テクノロジー・ジャパン株式会社,電子部品・デバイス・電子回路製造業,1
サムスンＳＤＩジャパン株式会社,電子部品・デバイス・電子回路製造業,1
シャープ株式会社,電子部品・デバイス・電子回路製造業,1
シライ電子工業株式会社,電子部品・デバイス・電子回路製造業,1
新光電気工業株式会社,電子部品・デバイス・電子回路製造業,1
ソニーセミコンダクタソリューションズ株式会社,電子部品・デバイス・電子回路製造業,1
デルタ電子株式会社,電子部品・デバイス・電子回路製造業,1
ニチコン株式会社,電子部品・デバイス・電子回路製造業,1
ヌヴォトンテクノロジージャパン株式会社,電子部品・デバイス・電子回路製造業,1
浜松ホトニクス株式会社,電子部品・デバイス・電子回路製造業,1
ビークルエナジージャパン株式会社,電子部品・デバイス・電子回路製造業,1
ホシデン株式会社,電子部品・デバイス・電子回路製造業,1
マイクロンメモリジャパン株式会社,電子部品・デバイス・電子回路製造業,1
ローム株式会社,電子部品・デバイス・電子回路製造業,1
ＢＥＭＡＣ株式会社,電気機械器具製造業,1
ＳＭＡジャパン株式会社,電気機械器具製造業,1
Ｓｕｎｇｒｏｗ　Ｊａｐａｎ株式会社,電気機械器具製造業,1
ＴＡＯＫＥ　ＥＮＥＲＧＹ株式会社,電気機械器具製造業,1
アズビル株式会社,電気機械器具製造業,1
インフォメティス株式会社,電気機械器具製造業,1
オムロン株式会社,電気機械器具製造業,1
株式会社ＧＳユアサ,電気機械器具製造業,1
株式会社ＳＣＲＥＥＮホールディングス,電気機械器具製造業,1
株式会社遠藤照明,電気機械器具製造業,1
株式会社オキサイド,電気機械器具製造業,1
株式会社長府製作所,電気機械器具製造業,1
株式会社東光高岳,電気機械器具製造業,1
※ 株式会社東芝,電気機械器具製造業,1
株式会社パワーエックス,電気機械器具製造業,1
株式会社日立製作所,電気機械器具製造業,1
株式会社明電舎,電気機械器具製造業,1
シュナイダーエレクトリックホールディングス株式会社,電気機械器具製造業,1
ジンコソーラージャパン株式会社,電気機械器具製造業,1
シンフォニアテクノロジー株式会社,電気機械器具製造業,1
株式会社ＴＭＥＩＣ,電気機械器具製造業,1
株式会社ダイヘン,電気機械器具製造業,1
日東工業株式会社,電気機械器具製造業,1
パイオニア株式会社,電気機械器具製造業,1
パナソニックホールディングス株式会社,電気機械器具製造業,1
富士電機株式会社,電気機械器具製造業,1
プライムアースＥＶエナジー株式会社,電気機械器具製造業,1
プライムプラネットエナジー＆ソリューションズ株式会社,電気機械器具製造業,1
マブチモーター株式会社,電気機械器具製造業,1
三菱電機株式会社,電気機械器具製造業,1
横河電機株式会社,電気機械器具製造業,1
ＥＩＺＯ株式会社,情報通信機械器具製造業,1
ＵＤトラックス株式会社,輸送用機械器具製造業,1
愛三工業株式会社,輸送用機械器具製造業,1
いすゞ自動車株式会社,輸送用機械器具製造業,1
株式会社ＳＵＢＡＲＵ,輸送用機械器具製造業,1
株式会社アイシン,輸送用機械器具製造業,1
株式会社エフ・シー・シー,輸送用機械器具製造業,1
株式会社ジェイテクト,輸送用機械器具製造業,1
株式会社ジャパンエンジンコーポレーション,輸送用機械器具製造業,1
株式会社デンソー,輸送用機械器具製造業,1
株式会社東海理化電機製作所,輸送用機械器具製造業,1
株式会社豊田自動織機,輸送用機械器具製造業,1
株式会社ヨロズ,輸送用機械器具製造業,1
川崎重工業株式会社,輸送用機械器具製造業,1
株式会社キャタラー,輸送用機械器具製造業,1
小島プレス工業株式会社,輸送用機械器具製造業,1
スズキ株式会社,輸送用機械器具製造業,1
ダイハツ工業株式会社,輸送用機械器具製造業,1
トピー工業株式会社,輸送用機械器具製造業,1
豊田合成株式会社,輸送用機械器具製造業,1
トヨタ自動車株式会社,輸送用機械器具製造業,1
トヨタ紡織株式会社,輸送用機械器具製造業,1
日産自動車株式会社,輸送用機械器具製造業,1
Ａｓｔｅｍｏ株式会社,輸送用機械器具製造業,1
日野自動車株式会社,輸送用機械器具製造業,1
フォロフライ株式会社,輸送用機械器具製造業,1
本田技研工業株式会社,輸送用機械器具製造業,1
マツダ株式会社,輸送用機械器具製造業,1
三菱自動車工業株式会社,輸送用機械器具製造業,1
三菱ふそうトラック・バス株式会社,輸送用機械器具製造業,1
ヤマハ発動機株式会社,輸送用機械器具製造業,1
流体テクノ株式会社,輸送用機械器具製造業,1
ＹＫＫ株式会社,その他の製造業,1
石原ケミカル株式会社,その他の製造業,1
大塚ホールディングス株式会社,その他の製造業,1
小野薬品工業株式会社,その他の製造業,1
カナデビア株式会社,その他の製造業,1
株式会社アブラックス,その他の製造業,1
株式会社マリンドライブ,その他の製造業,1
株式会社諸岡,その他の製造業,1
栗田工業株式会社,その他の製造業,1
興和株式会社,その他の製造業,1
国軒高科日本株式会社,その他の製造業,1
コマニー株式会社,その他の製造業,1
酒井重工業株式会社,その他の製造業,1
田島ルーフィング株式会社,その他の製造業,1
戸﨑産業株式会社,その他の製造業,1
株式会社バンダイナムコホールディングス,その他の製造業,1
日立建機株式会社,その他の製造業,1
ヤマハ株式会社,その他の製造業,1
ａｕリニューアブルエナジー株式会社,電気業,2
ＵＮＩＶＥＲＧＹ株式会社,電気業,2
エネルギーパワー株式会社,電気業,2
沖縄電力株式会社,電気業,2
株式会社ＪＥＲＡ,電気業,2
株式会社エナリス,電気業,2
株式会社エフオン,電気業,2
株式会社クローバー・テクノロジーズ,電気業,2
株式会社グローバルエンジニアリング,電気業,2
株式会社コベルコパワー神戸,電気業,2
株式会社モデル・ティ,電気業,2
関西電力株式会社,電気業,2
九州電力株式会社,電気業,2
四国電力株式会社,電気業,2
自然電力株式会社,電気業,2
ソネディックス・ジャパン株式会社,電気業,2
中国電力株式会社,電気業,2
中部電力株式会社,電気業,2
デジタルグリッド株式会社,電気業,2
電源開発株式会社,電気業,2
東京電力エナジーパートナー株式会社,電気業,2
東京電力ホールディングス株式会社,電気業,2
東北電力株式会社,電気業,2
日本アイビーヴォーグト株式会社,電気業,2
バンプージャパン株式会社,電気業,2
ブルーリーフ・エナジー・ジャパン株式会社,電気業,2
北陸電力株式会社,電気業,2
北海道電力株式会社,電気業,2
リエス株式会社,電気業,2
リニューアブル・ジャパン株式会社,電気業,2
レジル株式会社,電気業,2
大阪瓦斯株式会社,ガス業,2
株式会社サンワ,ガス業,2
株式会社サーラコーポレーション,ガス業,2
西部ガスホールディングス株式会社,ガス業,2
静岡ガス株式会社,ガス業,2
常磐共同ガス株式会社,ガス業,2
東京瓦斯株式会社,ガス業,2
