spEmitCode,year,score__energy_co2,score__adjusted_emissions,score__total_emissions,score__non_energy_co2,score__energy_co2_pre_allocation,score__total,rank__total,n_scored_metrics,quality_weight,score__phaseE,rank__phaseE,gap_to_next
985642304,2023,0.9508196721311476,,0.9508196721311476,,,0.9508196721311476,11.0,2,0.6615384615384615,0.6290037831021438,1.0,0.05060949978982776
580031215,2023,0.8743169398907104,,0.8743169398907104,,,0.8743169398907102,24.0,2,0.6615384615384615,0.578394283312316,2.0,0.021689785624211866
986331452,2023,0.8415300546448088,,0.8415300546448088,,,0.8415300546448087,29.0,2,0.6615384615384615,0.5567044976881041,3.0,0.04337957124842373
580042649,2023,0.7759562841530054,,0.7759562841530054,,,0.7759562841530053,42.0,2,0.6615384615384615,0.5133249264396804,4.0,0.014703256619355232
580000120,2023,0.9972677595628416,0.9971910112359552,0.9972677595628416,,,0.9972433396406504,1.0,3,0.5,0.4986216698203252,5.0,0.0031281920326863832
580006221,2023,0.9972677595628416,0.9775280898876404,0.9972677595628416,,,0.9909869555752776,2.0,3,0.5,0.4954934777876388,6.0,0.0019005676585341913
420015816,2023,0.989071038251366,0.9831460674157304,0.989071038251366,,,0.9871858202582092,3.0,3,0.5,0.4935929101291046,7.0,0.005437967815937805
985405005,2023,0.9836065573770492,0.9606741573033708,0.9836065573770492,,,0.9763098846263336,4.0,3,0.5,0.4881549423131668,8.0,7.535290276139417e-05
280263436,2023,0.9781420765027322,0.9719101123595506,0.9781420765027322,,,0.9761591788208108,5.0,3,0.5,0.4880795894104054,9.0,0.005437967815937916
580038181,2023,0.9726775956284152,0.949438202247191,0.9726775956284152,,,0.965283243188935,6.0,3,0.5,0.4826416215944675,10.0,0.0009691220549574164
260094087,2023,0.9672131147540984,0.9550561797752808,0.9672131147540984,,,0.9633449990790202,7.0,3,0.5,0.4816724995395101,11.0,0.002088949915437288
400095131,2023,0.9453551912568308,0.9887640449438202,0.9453551912568308,,,0.9591670992481456,8.0,3,0.5,0.4795835496240728,12.0,0.0005222374788592665
985036501,2023,0.9398907103825136,0.9971910112359552,0.9398907103825136,,,0.958122624290427,9.0,3,0.5,0.4790613121452135,13.0,0.0019330112694453394
800162996,2023,0.9617486338797814,0.9382022471910112,0.9617486338797814,,,0.9542566017515364,10.0,3,0.5,0.4771283008757682,14.0,0.002756660359349572
580006526,2023,0.9562841530054644,0.9325842696629212,0.9562841530054644,,,0.9487432810328372,12.0,3,0.5,0.4743716405164186,15.0,0.003951841122590838
985146306,2023,0.9289617486338798,0.9662921348314608,0.9289617486338798,,,0.9408395987876556,13.0,3,0.5,0.4704197993938278,16.0,0.004393492858219272
985091807,2023,0.9344262295081968,0.9269662921348316,0.9344262295081968,,,0.932052613071217,14.0,3,0.5,0.4660263065356085,17.0,0.007300859023091522
400231841,2023,0.9234972677595628,0.904494382022472,0.9234972677595628,,,0.917450895025034,15.0,3,0.5,0.458725447512517,18.0,0.0038011353170682716
985456201,2023,0.907103825136612,0.9157303370786516,0.907103825136612,,,0.9098486243908974,16.0,3,0.5,0.4549243121954487,19.0,0.0016368324988697003
985101000,2023,0.918032786885246,0.8820224719101124,0.918032786885246,,,0.906574959393158,17.0,3,0.5,0.453287479696579,20.0,0.0036504295115457053
985851108,2023,0.912568306010929,0.8707865168539326,0.912568306010929,,,0.8992741003700666,18.0,3,0.5,0.4496370501850333,21.0,0.0015913184153192317
985780104,2023,0.8688524590163934,0.9438202247191012,0.8688524590163934,,0.9333333333333332,0.8960914635394283,19.0,4,0.5,0.4480457317697141,22.0,0.0030282331511839455
580028819,2023,0.9016393442622952,0.8651685393258427,0.9016393442622952,,,0.8900349972370603,20.0,3,0.5,0.4450174986185301,23.0,0.005437967815937916
580191442,2023,0.8961748633879781,0.8426966292134831,0.8961748633879781,,,0.8791590616051845,21.0,3,0.5,0.4395795308025922,24.0,0.00045211741656758786
985794404,2023,0.8633879781420765,0.9101123595505618,0.8633879781420765,,,0.8782548267720492,22.0,3,0.5,0.4391274133860246,25.0,0.0019382441099148329
985786805,2023,0.8524590163934426,0.9213483146067416,0.8524590163934426,,,0.8743783385522197,23.0,3,0.5,0.4371891692761098,26.0,0.002153837137259418
500107029,2023,0.8907103825136612,0.8258426966292135,0.8907103825136612,,,0.8700706642777007,25.0,3,0.5,0.4350353321388504,27.0,0.0001507058055225663
580000489,2023,0.8797814207650273,0.848314606741573,0.8797814207650273,,,0.8697692526666557,26.0,3,0.5,0.4348846263333278,28.0,0.0026059545538271167
800351401,2023,0.8852459016393442,0.8202247191011236,0.8852459016393442,,,0.8645573435590014,27.0,3,0.5,0.4322786717795007,29.0,0.011101994340159793
580021818,2023,0.8579234972677595,0.8089887640449438,0.8579234972677595,,,0.8423533548786819,28.0,3,0.5,0.4211766774393409,30.0,0.002465714429243593
580014081,2023,0.8087431693989071,0.898876404494382,0.8087431693989071,,,0.8374219260201946,30.0,3,0.5,0.4187109630100973,31.0,0.002530601651065889
985836308,2023,0.819672131147541,0.8595505617977528,0.819672131147541,,,0.8323607227180629,31.0,3,0.5,0.4161803613590314,32.0,0.0014107737905857953
581100003,2023,0.8469945355191257,0.7921348314606742,0.8469945355191257,,,0.8295391751368912,32.0,3,0.5,0.4147695875684456,33.0,0.003801135317068327
740054417,2023,0.8306010928961749,0.8033707865168539,0.8306010928961749,,,0.8219369045027546,33.0,3,0.5,0.4109684522513773,34.0,0.002756660359349572
985376100,2023,0.825136612021858,0.797752808988764,0.825136612021858,,,0.8164235837840554,34.0,3,0.5,0.4082117918920277,35.0,0.0007430633466736225
