法人番号,特定排出者コード,事業者・事業所名,区分,業種,所在地,"温室効果ガス算定排出量(tCO2)",ページ
1122001030277,313020027,大昭和精機株式会社,特定事業所排出者,生産用機械器具製造業,大阪府東大阪市,9249,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=313020027&repDivID=1"
9120001207887,715022694,ニッタ化工品株式会社,特定事業所排出者,ゴム製品製造業,大阪府大阪市,9249,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=715022694&repDivID=1"
1090001004387,280279786,ＹＩＴＯＡマイクロテクノロジー株式会社,特定事業所排出者,電子部品・デバイス・電子回路製造業,山梨県甲府市,9248,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=280279786&repDivID=1"
5180301012804,400196886,カリツー株式会社,特定事業所排出者,道路貨物運送業,愛知県安城市,9248,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=400196886&repDivID=1"
4013401002394,985642108,日本フイルコン株式会社,特定事業所排出者,金属製品製造業,東京都稲城市,9247,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985642108&repDivID=1"
5120001047593,580068000,丸一鋼管株式会社,特定荷主,鉄鋼業,大阪府大阪市,9242,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=580068000&repDivID=5"
1050001031336,985041055,株式会社廣澤精機製作所,特定事業所排出者,金属製品製造業,茨城県つくば市,9240,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985041055&repDivID=1"
5100001022185,582034029,旭松食品株式会社,特定事業所排出者,食料品製造業,長野県飯田市,9236,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=582034029&repDivID=1"
3010001027880,985735708,アルフレッサ株式会社,特定貨物輸送事業者,その他の卸売業,東京都千代田区,9229,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985735708&repDivID=2"
1180301006033,440034621,夢コーポレーション株式会社,特定事業所排出者,娯楽業,愛知県豊橋市,9219,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=440034621&repDivID=1"
6290001019336,800575815,ニッポンロジ株式会社,特定貨物輸送事業者,道路貨物運送業,福岡県福岡市,9219,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=800575815&repDivID=2"
5320001009417,985134717,ＳＢカワスミ株式会社,特定事業所排出者,業務用機械器具製造業,神奈川県川崎市,9219,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985134717&repDivID=1"
8010401045635,981391000,双日商業開発株式会社,特定事業所排出者,不動産賃貸業・管理業,東京都中央区,9216,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=981391000&repDivID=1"
9430001053466,090096416,苫小牧飼料株式会社,特定事業所排出者,飲料・たばこ・飼料製造業,北海道苫小牧市,9215,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=090096416&repDivID=1"
8013201003390,985380505,大東カカオ株式会社,特定事業所排出者,食料品製造業,東京都目黒区,9212,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985380505&repDivID=1"
3000020332089,993320806,総社市,特定事業所排出者,地方公務,岡山県総社市,9209,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=993320806&repDivID=1"
2230001004826,370052280,細川機業株式会社,特定事業所排出者,繊維工業,富山県上市町,9208,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=370052280&repDivID=1"
6220001018492,380096841,株式会社ウイル・コーポレーション,特定事業所排出者,印刷・同関連業,石川県白山市,9207,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=380096841&repDivID=1"
8150001005744,580390025,株式会社栗原製作所,特定事業所排出者,プラスチック製品製造業（別掲を除く）,奈良県大和郡山市,9207,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=580390025&repDivID=1"
3020001020736,200497605,株式会社ソディック,特定事業所排出者,生産用機械器具製造業,神奈川県横浜市,9206,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=200497605&repDivID=1"
6010001008655,985040906,飯野海運株式会社,特定事業所排出者,不動産賃貸業・管理業,東京都千代田区,9203,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985040906&repDivID=1"
8190001017125,980991133,株式会社エラストミックス,特定事業所排出者,ゴム製品製造業,三重県四日市市,9196,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=980991133&repDivID=1"
5180001092361,400384429,愛同工業株式会社,特定事業所排出者,非鉄金属製造業,愛知県大府市,9195,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=400384429&repDivID=1"
9350001008560,880078505,株式会社ミヤチク,特定事業所排出者,食料品製造業,宮崎県都城市,9192,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=880078505&repDivID=1"
4021001032092,200258741,富士屋ホテル株式会社,特定事業所排出者,宿泊業,神奈川県箱根町,9188,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=200258741&repDivID=1"
3260001001076,610008706,岡山スイキュウ株式会社,特定貨物輸送事業者,道路貨物運送業,岡山県岡山市,9184,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=610008706&repDivID=2"
7140001052904,580650367,ＪＲ西日本不動産開発株式会社,特定事業所排出者,不動産賃貸業・管理業,大阪府大阪市,9183,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=580650367&repDivID=1"
4000020092088,990920805,小山市,特定事業所排出者,地方公務,栃木県小山市,9183,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=990920805&repDivID=1"
8370101001068,100209583,株式会社東北三之橋,特定事業所排出者,金属製品製造業,宮城県丸森町,9181,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=100209583&repDivID=1"
3230001004965,370025818,株式会社陽進堂,特定事業所排出者,化学工業,富山県富山市,9178,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=370025818&repDivID=1"
2040001019406,260064776,株式会社東日本コクボ,特定事業所排出者,飲料・たばこ・飼料製造業,千葉県八千代市,9176,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=260064776&repDivID=1"
8330002024535,870129271,有限会社高木商店,特定事業所排出者,食料品製造業,熊本県宇土市,9176,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=870129271&repDivID=1"
8350005000688,880088842,生活協同組合コープみやざき,特定事業所排出者,飲食料品小売業,宮崎県宮崎市,9175,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=880088842&repDivID=1"
1040001004219,260318063,大和千葉製罐株式会社,特定事業所排出者,金属製品製造業,千葉県千葉市,9170,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=260318063&repDivID=1"
6310005002450,860001290,社会医療法人財団　白十字会,特定事業所排出者,医療業,長崎県佐世保市,9170,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=860001290&repDivID=1"
3010001032864,982013576,株式会社ソラスト,特定事業所排出者,その他のサービス業,東京都港区,9169,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=982013576&repDivID=1"
5000020428728,994287205,北松北部環境組合,特定事業所排出者,廃棄物処理業,長崎県平戸市,9167,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=994287205&repDivID=1"
6180301022307,440107497,稲垣工業株式会社,特定事業所排出者,輸送用機械器具製造業,愛知県西尾市,9165,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=440107497&repDivID=1"
2110001026460,350105214,株式会社セイタン,特定事業所排出者,輸送用機械器具製造業,新潟県南魚沼市,9164,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=350105214&repDivID=1"
1010401014101,983238820,株式会社叙々苑,特定事業所排出者,飲食店,東京都港区,9156,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=983238820&repDivID=1"
6120001030177,983022408,株式会社イトマンスイミングスクール,特定事業所排出者,その他の教育，学習支援業,東京都新宿区,9153,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=983022408&repDivID=1"
6402701000141,130149548,住田フーズ株式会社,特定事業所排出者,食料品製造業,岩手県住田町,9152,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=130149548&repDivID=1"
1330005000787,870059515,熊本県酪農業協同組合連合会,特定事業所排出者,食料品製造業,熊本県熊本市,9148,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=870059515&repDivID=1"
8230001001264,370023223,十全化学株式会社,特定事業所排出者,化学工業,富山県富山市,9143,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=370023223&repDivID=1"
5210001011904,390034350,株式会社ふじや食品,特定事業所排出者,食料品製造業,福井県越前市,9139,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=390034350&repDivID=1"
9190001014947,460005636,三岐通運株式会社,特定貨物輸送事業者,道路貨物運送業,三重県四日市市,9139,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=460005636&repDivID=2"
5000020152048,991520405,三条市,特定事業所排出者,地方公務,新潟県三条市,9134,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=991520405&repDivID=1"
2000020262048,992620405,宇治市,特定事業所排出者,地方公務,京都府宇治市,9128,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=992620405&repDivID=1"
3080001008932,420037205,はごろもフーズ株式会社,特定事業所排出者,食料品製造業,静岡県静岡市,9126,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=420037205&repDivID=1"
5030005003016,270078391,医療法人社団東光会,特定事業所排出者,医療業,埼玉県戸田市,9125,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=270078391&repDivID=1"
1000020338591,993385909,倉敷西部清掃施設組合,特定事業所排出者,廃棄物処理業,岡山県倉敷市,9125,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=993385909&repDivID=1"
3430001022658,010134732,株式会社北海道銀行,特定事業所排出者,銀行業,北海道札幌市,9124,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=010134732&repDivID=1"
9020001071492,985732902,富士電機株式会社,特定荷主,電気機械器具製造業,東京都品川区,9122,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985732902&repDivID=5"
9010001026704,985693644,株式会社パレスホテル,特定事業所排出者,宿泊業,東京都千代田区,9121,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985693644&repDivID=1"
4420001006314,110020153,マルヨ水産株式会社,特定事業所排出者,食料品製造業,青森県八戸市,9119,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=110020153&repDivID=1"
7430001052247,967389048,住鉱国富電子株式会社,特定事業所排出者,電子部品・デバイス・電子回路製造業,北海道共和町,9118,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=967389048&repDivID=1"
6290001064472,173010321,株式会社力の源カンパニー,特定事業所排出者,飲食店,東京都台東区,9117,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=173010321&repDivID=1"
5010401049977,986331452,双日株式会社,特定荷主,各種商品卸売業,東京都千代田区,9116,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=986331452&repDivID=5"
4200001016649,450343658,太平洋精工株式会社,特定事業所排出者,輸送用機械器具製造業,岐阜県大垣市,9115,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=450343658&repDivID=1"
9160001004975,580528011,株式会社ＩＳＳ山崎機械,特定事業所排出者,鉄鋼業,滋賀県湖南市,9115,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=580528011&repDivID=1"
2260001010061,580505268,みのる化成株式会社,特定事業所排出者,プラスチック製品製造業（別掲を除く）,岡山県赤磐市,9113,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=580505268&repDivID=1"
3040001117349,352057591,株式会社ＯＰＡ,特定事業所排出者,不動産賃貸業・管理業,千葉県千葉市,9110,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=352057591&repDivID=1"
3021001019495,985090603,大久保歯車工業株式会社,特定事業所排出者,はん用機械器具製造業,神奈川県厚木市,9109,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985090603&repDivID=1"
3010601034203,989627271,株式会社前川製作所,特定事業所排出者,はん用機械器具製造業,東京都江東区,9108,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=989627271&repDivID=1"
1000020282022,992820273,尼崎市教育委員会,特定事業所排出者,地方公務,兵庫県尼崎市,9107,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=992820273&repDivID=1"
