法人番号,特定排出者コード,事業者・事業所名,区分,業種,所在地,"温室効果ガス算定排出量(tCO2)",ページ
3010001008848,985336900,日本製鉄株式会社,特定事業所排出者,鉄鋼業,東京都千代田区,74450557,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985336900&repDivID=1"
1010001008668,530045160,ＪＦＥスチール株式会社,特定事業所排出者,鉄鋼業,東京都千代田区,48581273,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=530045160&repDivID=1"
4010001133876,985661801,ENEOS株式会社,特定事業所排出者,石油製品・石炭製品製造業,東京都千代田区,14164877,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985661801&repDivID=1"
6140001005714,530000266,株式会社神戸製鋼所,特定事業所排出者,鉄鋼業,兵庫県神戸市,14082526,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=530000266&repDivID=1"
4010401082995,650003624,太平洋セメント株式会社,特定事業所排出者,窯業・土石製品製造業,東京都文京区,11952677,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=650003624&repDivID=1"
2010001217516,104058361,ＵＢＥ三菱セメント株式会社,特定事業所排出者,窯業・土石製品製造業,東京都千代田区,10800586,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=104058361&repDivID=1"
9010001011318,985052701,出光興産株式会社,特定事業所排出者,石油製品・石炭製品製造業,東京都千代田区,8747444,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985052701&repDivID=1"
5250001010002,640351830,東ソー株式会社,特定事業所排出者,化学工業,東京都中央区,7184051,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=640351830&repDivID=1"
5010001023779,985347206,住友大阪セメント株式会社,特定事業所排出者,窯業・土石製品製造業,東京都港区,6509771,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985347206&repDivID=1"
1250001009080,640006257,株式会社トクヤマ,特定事業所排出者,化学工業,東京都千代田区,6092248,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=640006257&repDivID=1"
4290001007004,800035241,九州電力株式会社,特定事業所排出者,電気業,福岡県福岡市,5868786,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=800035241&repDivID=1"
8011501009422,985313100,日本製紙株式会社,特定事業所排出者,パルプ・紙・紙加工品製造業,東京都北区,5301337,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985313100&repDivID=1"
6010001146760,985795500,三菱ケミカル株式会社,特定事業所排出者,化学工業,東京都千代田区,4936472,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985795500&repDivID=1"
3010401010164,985373108,コスモ石油株式会社,特定事業所排出者,石油製品・石炭製品製造業,東京都港区,4330690,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985373108&repDivID=1"
6010001167617,682015302,株式会社JERA,特定事業所排出者,電気業,東京都中央区,4225008,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=682015302&repDivID=1"
1430001057037,070054731,北海製鉄株式会社,特定事業所排出者,鉄鋼業,北海道室蘭市,3579994,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=070054731&repDivID=1"
4010401052081,985786108,三井化学株式会社,特定事業所排出者,化学工業,東京都中央区,3571026,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985786108&repDivID=1"
1010401099027,063006181,全日本空輸株式会社,特定航空輸送事業者,航空運輸業,東京都港区,2670029,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=063006181&repDivID=4"
9500001014345,710034905,大王製紙株式会社,特定事業所排出者,パルプ・紙・紙加工品製造業,愛媛県四国中央市,2615750,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=710034905&repDivID=1"
2010001071327,580000809,住友化学株式会社,特定事業所排出者,化学工業,東京都中央区,2517622,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=580000809&repDivID=1"
7010701007666,985651608,日本航空株式会社,特定航空輸送事業者,航空運輸業,東京都品川区,2477657,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985651608&repDivID=4"
6010001050764,985452408,電源開発株式会社,特定事業所排出者,電気業,東京都中央区,2361267,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985452408&repDivID=1"
5010001146729,625006038,王子製紙株式会社,特定事業所排出者,パルプ・紙・紙加工品製造業,東京都中央区,2352993,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=625006038&repDivID=1"
3011101018084,985710306,株式会社レゾナック,特定事業所排出者,化学工業,東京都港区,2278764,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985710306&repDivID=1"
2250001002992,650002304,ＵＢＥ株式会社,特定事業所排出者,化学工業,東京都港区,2259877,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=650002304&repDivID=1"
5010401044391,985324337,昭和四日市石油株式会社,特定事業所排出者,石油製品・石炭製品製造業,三重県四日市市,2050320,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985324337&repDivID=1"
3010001057408,985774401,丸善石油化学株式会社,特定事業所排出者,化学工業,東京都中央区,2050011,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985774401&repDivID=1"
1010001074355,986306852,王子マテリア株式会社,特定事業所排出者,パルプ・紙・紙加工品製造業,東京都中央区,2027911,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=986306852&repDivID=1"
5010001184349,118021424,キオクシア株式会社,特定事業所排出者,電子部品・デバイス・電子回路製造業,東京都港区,1892396,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=118021424&repDivID=1"
5120001059606,580004915,旭化成株式会社,特定事業所排出者,化学工業,東京都千代田区,1870288,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=580004915&repDivID=1"
9011001029597,987070351,東日本旅客鉄道株式会社,特定旅客輸送事業者,鉄道業,東京都渋谷区,1857608,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=987070351&repDivID=3"
2010001134141,985115355,鹿島石油株式会社,特定事業所排出者,石油製品・石炭製品製造業,東京都千代田区,1824791,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985115355&repDivID=1"
3010401063179,985135071,ＪＦＥミネラル株式会社,特定事業所排出者,窯業・土石製品製造業,東京都港区,1787403,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985135071&repDivID=1"
4370001011311,100034834,東北電力株式会社,特定事業所排出者,電気業,宮城県仙台市,1756530,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=100034834&repDivID=1"
2010001008650,985022102,AGC株式会社,特定事業所排出者,窯業・土石製品製造業,東京都千代田区,1609743,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985022102&repDivID=1"
5010001034867,985546003,東レ株式会社,特定事業所排出者,繊維工業,東京都中央区,1591040,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985546003&repDivID=1"
3010001008757,985451705,デンカ株式会社,特定事業所排出者,化学工業,東京都中央区,1581776,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985451705&repDivID=1"
4120001125937,580005215,株式会社ダイセル,特定事業所排出者,化学工業,大阪府大阪市,1462916,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=580005215&repDivID=1"
1120001059675,581100003,西日本旅客鉄道株式会社,特定旅客輸送事業者,鉄道業,大阪府大阪市,1396513,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=581100003&repDivID=3"
4010001021635,985396004,太陽石油株式会社,特定事業所排出者,石油製品・石炭製品製造業,東京都千代田区,1396058,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985396004&repDivID=1"
8010001008819,985492207,東京製鐵株式会社,特定事業所排出者,鉄鋼業,東京都千代田区,1388035,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985492207&repDivID=1"
9250001002978,650002215,宇部マテリアルズ株式会社,特定事業所排出者,窯業・土石製品製造業,山口県宇部市,1357390,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=650002215&repDivID=1"
4000020138568,991385605,東京二十三区清掃一部事務組合,特定事業所排出者,廃棄物処理業,東京都千代田区,1333037,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=991385605&repDivID=1"
1010001088181,982346500,株式会社セブン‐イレブン・ジャパン,特定事業所排出者,各種商品小売業,東京都千代田区,1275156,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=982346500&repDivID=1"
3010701015631,986329900,富士石油株式会社,特定事業所排出者,石油製品・石炭製品製造業,千葉県袖ケ浦市,1264700,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=986329900&repDivID=1"
9290001021578,800620616,麻生セメント株式会社,特定事業所排出者,窯業・土石製品製造業,福岡県福岡市,1256699,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=800620616&repDivID=1"
3180001031569,400540004,東海旅客鉄道株式会社,特定旅客輸送事業者,鉄道業,愛知県名古屋市,1254375,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=400540004&repDivID=3"
1430001009475,010127282,エア・ウォーター株式会社,特定事業所排出者,化学工業,大阪府大阪市,1219019,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=010127282&repDivID=1"
1260001013156,580006061,株式会社クラレ,特定事業所排出者,化学工業,東京都千代田区,1153519,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=580006061&repDivID=1"
3120001059632,580111183,関西電力株式会社,特定事業所排出者,電気業,大阪府大阪市,1126621,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=580111183&repDivID=1"
9000012120001,990006001,防衛省,特定事業所排出者,国家公務,東京都新宿区,1112861,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=990006001&repDivID=1"
9010001066980,987907697,マイクロンメモリジャパン株式会社,特定事業所排出者,電子部品・デバイス・電子回路製造業,広島県東広島市,1112065,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=987907697&repDivID=1"
9010701018950,996610695,株式会社九州サンソセンター,特定事業所排出者,化学工業,福岡県北九州市,1111119,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=996610695&repDivID=1"
4240001006753,600028671,中国電力株式会社,特定事業所排出者,電気業,広島県広島市,1106691,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=600028671&repDivID=1"
1180301018771,400087148,トヨタ自動車株式会社,特定事業所排出者,輸送用機械器具製造業,愛知県豊田市,1101760,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=400087148&repDivID=1"
1240001030509,620042452,株式会社ＪＦＥサンソセンター,特定事業所排出者,化学工業,広島県福山市,1083970,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=620042452&repDivID=1"
2010701019195,580593761,株式会社ローソン,特定事業所排出者,各種商品小売業,東京都品川区,1056748,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=580593761&repDivID=1"
4290001021319,890006205,"ソニーセミコンダクタマニュファクチャリング株式会社",特定事業所排出者,電子部品・デバイス・電子回路製造業,熊本県菊陽町,1050514,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=890006205&repDivID=1"
6180001037514,400072412,大同特殊鋼株式会社,特定事業所排出者,鉄鋼業,愛知県名古屋市,1048579,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=400072412&repDivID=1"
1010001067912,986569853,株式会社ＮＴＴドコモ,特定事業所排出者,通信業,東京都千代田区,1006546,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=986569853&repDivID=1"
8120001059628,580046998,株式会社カネカ,特定事業所排出者,化学工業,大阪府大阪市,1000285,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=580046998&repDivID=1"
9010001084826,981483003,日鉄ステンレス株式会社,特定事業所排出者,鉄鋼業,東京都千代田区,999860,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=981483003&repDivID=1"
6110001021805,985815157,明星セメント株式会社,特定事業所排出者,窯業・土石製品製造業,新潟県糸魚川市,993797,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985815157&repDivID=1"
2010001138365,285002989,株式会社すかいらーくホールディングス,特定事業所排出者,飲食店,東京都武蔵野市,990018,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=285002989&repDivID=1"
2013301010706,986024710,株式会社ファミリーマート,特定事業所排出者,各種商品小売業,東京都港区,983519,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=986024710&repDivID=1"
8010001067484,985352734,西部石油株式会社,特定事業所排出者,倉庫業,山口県山陽小野田市,979450,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985352734&repDivID=1"
8011101028104,986105891,東日本電信電話株式会社,特定事業所排出者,通信業,東京都新宿区,955195,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=986105891&repDivID=1"
9011101031552,983100569,KDDI株式会社,特定事業所排出者,通信業,東京都千代田区,953925,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=983100569&repDivID=1"
8420001006434,110087475,八戸セメント株式会社,特定事業所排出者,窯業・土石製品製造業,青森県八戸市,928145,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=110087475&repDivID=1"
9120101029579,192001684,大阪国際石油精製株式会社,特定事業所排出者,石油製品・石炭製品製造業,千葉県市原市,922985.0,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=192001684&repDivID=1"
4430001022351,010132818,北海道電力株式会社,特定事業所排出者,電気業,北海道札幌市,901588,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=010132818&repDivID=1"
7230001003022,370053821,北陸電力株式会社,特定事業所排出者,電気業,富山県富山市,900809,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=370053821&repDivID=1"
6110001023149,985753107,北越コーポレーション株式会社,特定事業所排出者,パルプ・紙・紙加工品製造業,東京都中央区,845823,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985753107&repDivID=1"
7120001077523,586770621,西日本電信電話株式会社,特定事業所排出者,通信業,大阪府大阪市,837492,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=586770621&repDivID=1"
2020001073982,985463205,東亜石油株式会社,特定事業所排出者,石油製品・石炭製品製造業,神奈川県川崎市,800283,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985463205&repDivID=1"
8010001059936,985852606,吉澤石灰工業株式会社,特定事業所排出者,窯業・土石製品製造業,栃木県佐野市,797142,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985852606&repDivID=1"
1120001036880,580006446,レンゴー株式会社,特定事業所排出者,パルプ・紙・紙加工品製造業,大阪府大阪市,795562,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=580006446&repDivID=1"
5010001008680,985330101,信越化学工業株式会社,特定事業所排出者,化学工業,東京都千代田区,792843,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985330101&repDivID=1"
9180301014251,400108408,株式会社デンソー,特定事業所排出者,輸送用機械器具製造業,愛知県刈谷市,780042,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=400108408&repDivID=1"
9470001001933,710029011,四国電力株式会社,特定事業所排出者,電気業,香川県高松市,770367,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=710029011&repDivID=1"
3320001001805,830080891,鶴崎共同動力株式会社,特定事業所排出者,熱供給業,大分県大分市,769062,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=830080891&repDivID=1"
9010401052465,987072669,ソフトバンク株式会社,特定事業所排出者,通信業,東京都港区,760363,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=987072669&repDivID=1"
8010001008769,985794709,三菱製紙株式会社,特定事業所排出者,パルプ・紙・紙加工品製造業,東京都墨田区,754244.11,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985794709&repDivID=1"
9010401015273,985346700,住友金属鉱山株式会社,特定事業所排出者,非鉄金属製造業,東京都港区,725983,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985346700&repDivID=1"
6140001048242,580044465,関西熱化学株式会社,特定事業所排出者,石油製品・石炭製品製造業,兵庫県尼崎市,725095,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=580044465&repDivID=1"
8000020130001,991300303,東京都下水道局,特定事業所排出者,水道業,東京都新宿区,721590,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=991300303&repDivID=1"
2290801001835,810338322,日鉄高炉セメント株式会社,特定事業所排出者,窯業・土石製品製造業,福岡県北九州市,715237,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=810338322&repDivID=1"
8050001020596,250371531,鹿島電解株式会社,特定事業所排出者,化学工業,茨城県神栖市,690096,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=250371531&repDivID=1"
2120001059666,580005000,東洋紡株式会社,特定事業所排出者,繊維工業,大阪府大阪市,683089,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=580005000&repDivID=1"
3010001034943,985721702,株式会社ブリヂストン,特定事業所排出者,ゴム製品製造業,東京都中央区,673184,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985721702&repDivID=1"
3240001036223,600002843,マツダ株式会社,特定事業所排出者,輸送用機械器具製造業,広島県府中町,670840,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=600002843&repDivID=1"
9010001008834,985660302,日本ゼオン株式会社,特定事業所排出者,化学工業,東京都千代田区,662604,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985660302&repDivID=1"
9180001094156,400004029,愛知製鋼株式会社,特定事業所排出者,鉄鋼業,愛知県東海市,658555,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=400004029&repDivID=1"
2040001000456,670066560,イオンリテール株式会社,特定事業所排出者,各種商品小売業,千葉県千葉市,648640,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=670066560&repDivID=1"
5013201019068,960332160,アマゾンデータサービスジャパン株式会社,特定事業所排出者,インターネット附随サービス業,東京都品川区,646453,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=960332160&repDivID=1"
9020001031109,985612708,日産自動車株式会社,特定事業所排出者,輸送用機械器具製造業,神奈川県横浜市,642288,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985612708&repDivID=1"
9010001008968,985793309,三菱瓦斯化学株式会社,特定事業所排出者,化学工業,東京都千代田区,638490,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985793309&repDivID=1"
8000020130001,991300205,東京都水道局,特定事業所排出者,水道業,東京都新宿区,638023,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=991300205&repDivID=1"
3000020141003,995500008,横浜市,特定事業所排出者,地方公務,神奈川県横浜市,622430,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=995500008&repDivID=1"
5430001050054,580248106,新日本海フェリー株式会社,特定旅客輸送事業者,水運業,大阪府大阪市,621192,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=580248106&repDivID=3"
3010001008848,985336900,日本製鉄株式会社,特定荷主,鉄鋼業,東京都千代田区,616740,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985336900&repDivID=5"
4200001013456,450047276,河合石灰工業株式会社,特定事業所排出者,窯業・土石製品製造業,岐阜県大垣市,615885,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=450047276&repDivID=1"
6160001000449,500218000,"ルネサスセミコンダクタマニュファクチュアリング株式会社",特定事業所排出者,電子部品・デバイス・電子回路製造業,茨城県ひたちなか市,612846,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=500218000&repDivID=1"
6000020278726,992787203,大阪広域環境施設組合,特定事業所排出者,廃棄物処理業,大阪府大阪市,612472,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=992787203&repDivID=1"
2180001094451,400200380,株式会社　名古屋サンソセンター,特定事業所排出者,化学工業,愛知県東海市,605348,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=400200380&repDivID=1"
4380001015963,180077607,相馬共同火力発電株式会社,特定事業所排出者,電気業,福島県相馬市,596956,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=180077607&repDivID=1"
8020001073572,200208604,株式会社デイ・シイ,特定事業所排出者,窯業・土石製品製造業,神奈川県川崎市,596145,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=200208604&repDivID=1"
5500001014778,710057104,丸住製紙株式会社,特定事業所排出者,パルプ・紙・紙加工品製造業,愛媛県四国中央市,584268,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=710057104&repDivID=1"
6010001023786,985793701,三菱マテリアル株式会社,特定事業所排出者,非鉄金属製造業,東京都千代田区,574985,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985793701&repDivID=1"
5430001056935,070025490,日鉄セメント株式会社,特定事業所排出者,窯業・土石製品製造業,北海道室蘭市,567712,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=070025490&repDivID=1"
1010001112577,989704675,日本郵便株式会社,特定事業所排出者,郵便局,東京都千代田区,567533,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=989704675&repDivID=1"
4010001174714,304017686,三菱ケミカル旭化成エチレン株式会社,特定事業所排出者,化学工業,東京都千代田区,558888,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=304017686&repDivID=1"
6140001058935,540033510,山陽特殊製鋼株式会社,特定事業所排出者,鉄鋼業,兵庫県姫路市,556922,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=540033510&repDivID=1"
1210001010868,390001519,敦賀セメント株式会社,特定事業所排出者,窯業・土石製品製造業,福井県敦賀市,555262,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=390001519&repDivID=1"
6010001034957,985786707,三井不動産株式会社,特定事業所排出者,不動産賃貸業・管理業,東京都中央区,551803,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985786707&repDivID=1"
9010001098116,980885721,株式会社ＵＡＣＪ,特定事業所排出者,非鉄金属製造業,東京都千代田区,551042,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=980885721&repDivID=1"
7010401061823,987831964,ＪＦＥ条鋼株式会社,特定事業所排出者,鉄鋼業,東京都港区,547872,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=987831964&repDivID=1"
9400001013976,827023848,キオクシア岩手株式会社,特定事業所排出者,電子部品・デバイス・電子回路製造業,岩手県北上市,547332,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=827023848&repDivID=1"
9010401160144,991340499,株式会社ＥＮＥＯＳマテリアル,特定事業所排出者,化学工業,東京都港区,546269,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=991340499&repDivID=1"
3040001028447,261054952,アマゾンジャパン合同会社,特定荷主,倉庫業,東京都目黒区,536377,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=261054952&repDivID=5"
4190001027573,215057829,シャープディスプレイテクノロジー株式会社,特定事業所排出者,電子部品・デバイス・電子回路製造業,三重県亀山市,535694,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=215057829&repDivID=1"
9120001077620,580003239,株式会社日本触媒,特定事業所排出者,化学工業,大阪府大阪市,513387,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=580003239&repDivID=1"
6180301013611,400000066,株式会社アイシン,特定事業所排出者,輸送用機械器具製造業,愛知県刈谷市,512510,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=400000066&repDivID=1"
2010701019419,985454402,トピー工業株式会社,特定事業所排出者,鉄鋼業,東京都品川区,507428,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985454402&repDivID=1"
7010001064648,986105907,エヌ・ティ・ティコミュニケーションズ株式会社,特定事業所排出者,通信業,東京都千代田区,506563,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=986105907&repDivID=1"
4130001000049,500062007,京セラ株式会社,特定事業所排出者,電子部品・デバイス・電子回路製造業,京都府京都市,501675,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=500062007&repDivID=1"
3010401046159,986945521,株式会社ＳＵＭＣＯ,特定事業所排出者,電気機械器具製造業,東京都港区,497406,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=986945521&repDivID=1"
6010401020094,985466806,東海カーボン株式会社,特定事業所排出者,窯業・土石製品製造業,東京都港区,497116,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985466806&repDivID=1"
1010001012819,985084151,小名浜製錬株式会社,特定事業所排出者,非鉄金属製造業,福島県いわき市,494895,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985084151&repDivID=1"
5120001062898,580085029,共英製鋼株式会社,特定事業所排出者,鉄鋼業,大阪府大阪市,489051,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=580085029&repDivID=1"
8020001016738,200609309,J＆T環境株式会社,特定事業所排出者,廃棄物処理業,神奈川県横浜市,481372,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=200609309&repDivID=1"
4010001008806,985834401,山崎製パン株式会社,特定事業所排出者,食料品製造業,東京都千代田区,479533,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985834401&repDivID=1"
3010401038783,985710601,株式会社プロテリアル,特定事業所排出者,鉄鋼業,東京都江東区,479439,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985710601&repDivID=1"
1010001092605,985974467,ヤマト運輸株式会社,特定貨物輸送事業者,道路貨物運送業,東京都中央区,477051,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985974467&repDivID=2"
4010001008772,985795009,三菱電機株式会社,特定事業所排出者,電気機械器具製造業,東京都千代田区,464904,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=985795009&repDivID=1"
8010501050089,818061741,ＴＯＰＰＡＮ株式会社,特定事業所排出者,印刷・同関連業,東京都台東区,464161,"https://eegs.env.go.jp/ghg-santeikohyo-result/corporate?spEmitCode=818061741&repDivID=1"
