spEmitCode,year,score__energy_co2,score__adjusted_emissions,score__total_emissions,score__non_energy_co2,score__energy_co2_pre_allocation,score__total,rank__total,n_scored_metrics,quality_weight,score__phaseE,rank__phaseE,gap_to_next,jenks_class,jenks_k,jenks_gvf
580002877,2023,0.3442622950819672,0.3089887640449438,0.366120218579235,0.8292682926829268,,0.3969580108031694,115.0,4,0.5,0.1984790054015847,115.0,0.002530061179477794,0,7,0.11859019169248773
580002803,2023,0.2896174863387978,0.2865168539325842,0.2950819672131147,0.8780487804878049,,0.3604539607378023,121.0,4,0.5,0.1802269803689011,121.0,7.619869559105652e-06,0,7,0.11859019169248773
985496609,2023,0.2622950819672131,0.2808988764044944,0.273224043715847,,0.6666666666666666,0.30369568776734,133.0,4,0.5,0.15184784388367,133.0,0.004769581555642416,0,7,0.11859019169248773
985454402,2023,0.2349726775956284,0.2191011235955056,0.2404371584699453,0.7560975609756098,,0.2941565246560552,134.0,4,0.5,0.1470782623280276,134.0,0.0013234216017372902,0,7,0.11859019169248773
400004029,2023,0.2076502732240437,0.1910112359550561,0.2021857923497267,0.7073170731707317,,0.2618584626074663,137.0,4,0.5,0.1309292313037331,138.0,0.003109437872790888,0,7,0.11859019169248773
580000120,2023,0.9972677595628416,0.9971910112359552,0.9972677595628416,,,0.9972433396406504,1.0,3,0.5,0.4986216698203252,5.0,0.0031281920326863832,1,7,0.11859019169248773
985642304,2023,0.9508196721311476,,0.9508196721311476,,,0.9508196721311476,11.0,2,0.6615384615384615,0.6290037831021438,1.0,0.05060949978982776,5,7,0.11859019169248773
580031215,2023,0.8743169398907104,,0.8743169398907104,,,0.8743169398907102,24.0,2,0.6615384615384615,0.578394283312316,2.0,0.021689785624211866,4,7,0.11859019169248773
986331452,2023,0.8415300546448088,,0.8415300546448088,,,0.8415300546448087,29.0,2,0.6615384615384615,0.5567044976881041,3.0,0.04337957124842373,3,7,0.11859019169248773
580042649,2023,0.7759562841530054,,0.7759562841530054,,,0.7759562841530053,42.0,2,0.6615384615384615,0.5133249264396804,4.0,0.014703256619355232,2,7,0.11859019169248773
